"Year","IN_Don_CAOV"
1901,0.984
1902,1.13
1903,1.057
1904,1.127
1905,1.02
1906,1.097
1907,1.185
1908,0.878
1909,0.772
1910,1.231
1911,0.766
1912,1.197
1913,0.846
1914,0.796
1915,1.313
1916,1.477
1917,0.987
1918,0.854
1919,0.894
1920,1.035
1921,0.998
1922,1.149
1923,1.075
1924,1.133
1925,0.803
1926,1.036
1927,1.12
1928,1.168
1929,0.868
1930,0.793
1931,0.861
1932,1.022
1933,0.892
1934,0.795
1935,1.102
1936,0.73
1937,0.768
1938,1.318
1939,0.954
1940,0.856
1941,0.861
1942,1.271
1943,0.734
1944,0.76
1945,1.323
1946,0.952
1947,0.855
1948,1.034
1949,0.982
1950,1.081
1951,0.904
1952,0.906
1953,0.78
1954,1.01
1955,0.963
1956,0.965
1957,0.956
1958,1.292
1959,1.032
1960,1.442
1961,0.716
1962,1.072
1963,1.098
1964,1.038
1965,1.085
1966,0.973
1967,0.845
1968,0.97
1969,0.861
1970,0.872
1971,0.903
1972,0.916
1973,1.232
1974,1.197
1975,0.943
1976,1.412
1977,0.859
1978,1.122
1979,0.959
1980,0.789
1981,0.624
1982,1.217
1983,1.014
1984,0.788
1985,1.095
1986,1.245
1987,0.654
1988,0.778
1989,1.093
1990,1.274
1991,0.853
1992,1.029
1993,1.073
1994,0.905
1995,1.026
1996,0.942
1997,0.927
1998,0.971
1999,1.14
2000,1.14
2001,0.992
2002,1.092
2003,0.929
2004,1.156
2005,0.935
2006,1.216
2007,0.821
2008,0.97
2009,1.109
2010,1.142
2011,1.113
2012,0.708
2013,1.101
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
