"Year","IN_Don_LITU"
1901,1.064
1902,0.932
1903,0.977
1904,1.14
1905,0.974
1906,1.009
1907,1.08
1908,1.004
1909,1.033
1910,1.206
1911,0.962
1912,0.972
1913,0.854
1914,0.743
1915,1.085
1916,1.512
1917,0.773
1918,0.8
1919,0.958
1920,0.986
1921,0.909
1922,1.247
1923,1.047
1924,0.991
1925,0.844
1926,0.981
1927,1.193
1928,1.164
1929,1.026
1930,0.715
1931,0.885
1932,1.006
1933,0.855
1934,0.672
1935,0.872
1936,0.524
1937,1.003
1938,1.29
1939,1.388
1940,0.714
1941,0.892
1942,1.124
1943,1.011
1944,0.631
1945,0.952
1946,1.154
1947,0.998
1948,0.995
1949,1.205
1950,1.128
1951,1.233
1952,0.795
1953,0.689
1954,0.691
1955,0.725
1956,0.823
1957,1.154
1958,1.107
1959,0.727
1960,1.333
1961,0.84
1962,0.962
1963,1.001
1964,1.016
1965,0.902
1966,1.116
1967,0.886
1968,0.995
1969,1.442
1970,0.832
1971,1.157
1972,0.788
1973,1.356
1974,1.251
1975,1.149
1976,1.184
1977,1.333
1978,1.235
1979,1.074
1980,1.01
1981,1.382
1982,1.347
1983,0.719
1984,0.678
1985,1.083
1986,1.219
1987,1.479
1988,0.197
1989,0.707
1990,1.148
1991,0.883
1992,0.711
1993,0.868
1994,0.882
1995,0.963
1996,0.902
1997,0.727
1998,1.274
1999,0.939
2000,0.785
2001,1.206
2002,1.013
2003,0.736
2004,1.333
2005,1.137
2006,1.25
2007,0.641
2008,1.077
2009,1.206
2010,1.23
2011,1.282
2012,0.213
2013,1.218
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
