"Year","IN_Don_QUAL"
1901,0.984
1902,1.125
1903,1.036
1904,0.968
1905,0.947
1906,0.937
1907,1.217
1908,0.942
1909,1.088
1910,0.98
1911,0.775
1912,1.245
1913,0.723
1914,0.661
1915,1.373
1916,1.139
1917,0.85
1918,0.832
1919,0.985
1920,0.961
1921,0.914
1922,1.055
1923,1.028
1924,1.131
1925,0.728
1926,0.986
1927,1.114
1928,1.166
1929,0.915
1930,0.824
1931,0.915
1932,1.1
1933,0.762
1934,0.867
1935,1.228
1936,0.743
1937,0.93
1938,1.196
1939,1.017
1940,0.778
1941,0.92
1942,1.202
1943,1.023
1944,0.734
1945,1.246
1946,0.939
1947,1.012
1948,1.102
1949,1.082
1950,1.242
1951,1.067
1952,0.98
1953,0.926
1954,0.761
1955,1.071
1956,0.903
1957,1.191
1958,1.157
1959,0.869
1960,1.114
1961,1.003
1962,0.951
1963,0.951
1964,0.929
1965,1.077
1966,0.958
1967,0.929
1968,0.982
1969,0.985
1970,0.915
1971,1.031
1972,0.805
1973,1.247
1974,1.149
1975,0.996
1976,1.165
1977,0.909
1978,1.106
1979,1.003
1980,1.001
1981,0.919
1982,1.206
1983,0.951
1984,0.89
1985,1.102
1986,0.988
1987,1.105
1988,0.645
1989,1.184
1990,1.048
1991,0.87
1992,1.148
1993,0.971
1994,0.942
1995,0.997
1996,0.879
1997,0.992
1998,1.083
1999,0.925
2000,1.207
2001,1.172
2002,1.068
2003,0.894
2004,0.994
2005,1.102
2006,1.188
2007,0.847
2008,1.046
2009,0.893
2010,0.824
2011,0.626
2012,0.74
2013,0.647
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
