"Year","IN_Don_QURU"
1901,0.901
1902,1.029
1903,0.913
1904,0.96
1905,1.106
1906,1.039
1907,1.211
1908,0.908
1909,1.225
1910,1.048
1911,0.849
1912,1.236
1913,0.756
1914,0.773
1915,1.365
1916,1.118
1917,0.911
1918,0.953
1919,1.064
1920,1.048
1921,1.015
1922,1.012
1923,1.052
1924,1.106
1925,0.779
1926,0.915
1927,0.913
1928,1.093
1929,0.933
1930,0.794
1931,0.924
1932,1.05
1933,0.722
1934,0.813
1935,1.057
1936,0.715
1937,0.916
1938,1.152
1939,1.07
1940,0.759
1941,1.015
1942,1.213
1943,1.037
1944,0.71
1945,1.102
1946,0.965
1947,1.003
1948,1.158
1949,1.034
1950,1.202
1951,1.098
1952,0.937
1953,0.851
1954,0.802
1955,0.985
1956,0.919
1957,1.216
1958,1.128
1959,1.118
1960,1.114
1961,1.022
1962,1.062
1963,1.106
1964,1.025
1965,1.038
1966,0.901
1967,0.91
1968,1.041
1969,1.004
1970,0.935
1971,0.987
1972,0.857
1973,1.17
1974,1.175
1975,0.965
1976,1.033
1977,0.921
1978,0.968
1979,1.027
1980,0.977
1981,0.9
1982,1.152
1983,1.042
1984,0.865
1985,0.995
1986,1.021
1987,1.086
1988,0.772
1989,0.996
1990,0.98
1991,0.995
1992,1.032
1993,0.977
1994,0.955
1995,0.999
1996,0.881
1997,0.906
1998,0.957
1999,1.071
2000,0.937
2001,1.202
2002,1.078
2003,1.053
2004,0.914
2005,0.719
2006,0.996
2007,0.982
2008,1.089
2009,0.973
2010,0.955
2011,1.021
2012,0.744
2013,0.908
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
