"Year","Acquid_QURU"
1901,0.952
1902,1.025
1903,1.042
1904,1.252
1905,1.085
1906,1.121
1907,0.885
1908,1.053
1909,0.887
1910,1.038
1911,0.905
1912,0.97
1913,0.944
1914,1.07
1915,0.994
1916,1.171
1917,0.962
1918,1.005
1919,1.09
1920,1.124
1921,0.988
1922,1.127
1923,1.042
1924,0.912
1925,0.97
1926,0.921
1927,1.167
1928,1.135
1929,0.916
1930,1.041
1931,0.869
1932,1.077
1933,1.02
1934,1.023
1935,0.98
1936,0.986
1937,0.985
1938,1.114
1939,0.859
1940,0.976
1941,1.108
1942,0.922
1943,0.887
1944,0.935
1945,0.673
1946,0.957
1947,1.108
1948,0.973
1949,0.85
1950,1.089
1951,0.938
1952,0.952
1953,1.111
1954,1.136
1955,0.953
1956,0.965
1957,0.892
1958,1.064
1959,1.159
1960,0.911
1961,1.024
1962,0.909
1963,0.966
1964,0.985
1965,0.996
1966,0.946
1967,1.098
1968,1.058
1969,0.809
1970,1.196
1971,0.84
1972,0.986
1973,0.775
1974,0.96
1975,1.07
1976,0.983
1977,0.919
1978,1.067
1979,1.105
1980,1.106
1981,0.912
1982,1.118
1983,1.01
1984,1.096
1985,1.231
1986,1.029
1987,0.957
1988,1.101
1989,1.062
1990,0.994
1991,0.911
1992,1.023
1993,0.913
1994,1.031
1995,0.95
1996,0.967
1997,1.013
1998,0.976
1999,0.812
2000,1.274
2001,1.056
2002,0.962
2003,0.717
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
