"Year","Mohonk_QUMO"
1901,1.057
1902,1.268
1903,1.013
1904,1.114
1905,0.788
1906,1.18
1907,0.859
1908,1.003
1909,0.842
1910,0.935
1911,0.953
1912,0.88
1913,0.955
1914,1.016
1915,1.062
1916,1.135
1917,1.056
1918,0.718
1919,1.035
1920,1.247
1921,0.941
1922,1.137
1923,0.874
1924,0.914
1925,0.99
1926,0.963
1927,1.016
1928,1.028
1929,0.969
1930,1.077
1931,1.165
1932,1.22
1933,0.744
1934,1.162
1935,1.093
1936,0.803
1937,1.185
1938,1.099
1939,0.891
1940,0.952
1941,1.056
1942,0.938
1943,0.896
1944,0.913
1945,0.908
1946,1.162
1947,1.016
1948,0.729
1949,0.947
1950,0.95
1951,0.975
1952,0.997
1953,1.077
1954,0.905
1955,1.105
1956,1.098
1957,0.877
1958,0.983
1959,1.016
1960,1.05
1961,1.194
1962,0.694
1963,0.922
1964,0.924
1965,0.797
1966,0.877
1967,0.987
1968,0.984
1969,1.019
1970,0.912
1971,1.078
1972,1.185
1973,1.018
1974,1.149
1975,1.128
1976,1.07
1977,0.836
1978,1.028
1979,1.051
1980,0.991
1981,0.595
1982,0.904
1983,0.982
1984,1.045
1985,1.099
1986,0.961
1987,0.953
1988,1.071
1989,1.128
1990,1.07
1991,0.803
1992,1.279
1993,0.903
1994,1.086
1995,1.139
1996,0.976
1997,0.964
1998,1.131
1999,0.758
2000,1.205
2001,1.016
2002,1.013
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
