"Year","Fiddle_LITU"
1901,1.273
1902,1.118
1903,1.198
1904,1.031
1905,1.063
1906,1.3
1907,0.707
1908,0.998
1909,1.039
1910,0.965
1911,0.892
1912,1.081
1913,1.174
1914,1.011
1915,1.015
1916,1.327
1917,0.862
1918,0.633
1919,1.141
1920,1.099
1921,1.076
1922,1.217
1923,0.923
1924,1.081
1925,1.05
1926,0.643
1927,1.207
1928,1.236
1929,0.996
1930,0.671
1931,0.912
1932,0.942
1933,1.035
1934,1.098
1935,1.231
1936,0.51
1937,1.099
1938,1.229
1939,0.917
1940,1.345
1941,1.068
1942,0.993
1943,1.042
1944,0.735
1945,0.998
1946,0.885
1947,0.961
1948,1.255
1949,1.35
1950,1.242
1951,1.197
1952,0.904
1953,1.169
1954,0.962
1955,1.107
1956,0.949
1957,0.893
1958,1.025
1959,0.839
1960,0.935
1961,0.997
1962,1.133
1963,0.457
1964,0.785
1965,0.92
1966,0.695
1967,0.876
1968,1.043
1969,0.977
1970,0.742
1971,1.034
1972,1.249
1973,0.919
1974,1.14
1975,1.214
1976,0.954
1977,0.637
1978,1.111
1979,1.012
1980,1.023
1981,0.755
1982,0.95
1983,0.867
1984,0.666
1985,1.148
1986,0.761
1987,0.808
1988,0.961
1989,0.933
1990,1.346
1991,1.269
1992,0.948
1993,1.268
1994,0.948
1995,1.428
1996,0.93
1997,1.026
1998,1.122
1999,1.009
2000,1.152
2001,1.158
2002,0.499
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
