wood_type,refday,winopen,winclose,ref month,win open month,win close month
ring porous,21,10,7,5.25,2.75,3.5
ring porous,21,10,7,5.25,2.75,3.5
diffuse-porous,25,5,2,6.25,5,5.75
diffuse-porous,25,5,2,6.25,5,5.75
other,24,11,9,6,3.25,3.75
other,24,11,9,6,3.25,3.75
