"Year","Prospe_BELE"
1901,1.137
1902,1.105
1903,0.879
1904,1.201
1905,0.972
1906,1.397
1907,1.025
1908,0.844
1909,0.955
1910,0.986
1911,0.825
1912,0.952
1913,1
1914,0.744
1915,1.143
1916,1.255
1917,1.133
1918,1.07
1919,1.076
1920,0.823
1921,1.109
1922,1.104
1923,0.78
1924,1.124
1925,1.087
1926,1.17
1927,1.263
1928,1.041
1929,1.223
1930,0.973
1931,0.926
1932,0.959
1933,0.886
1934,0.801
1935,1.026
1936,1.001
1937,0.781
1938,0.953
1939,0.948
1940,0.87
1941,0.571
1942,0.879
1943,1.001
1944,0.99
1945,1.124
1946,1.077
1947,1.341
1948,0.934
1949,0.701
1950,0.845
1951,1.184
1952,1.08
1953,0.64
1954,1.177
1955,1.191
1956,0.913
1957,1.204
1958,1.007
1959,0.972
1960,0.807
1961,1.211
1962,1.003
1963,0.887
1964,0.951
1965,0.741
1966,1.125
1967,0.999
1968,1.095
1969,1.089
1970,0.935
1971,1.024
1972,1.222
1973,1.057
1974,0.913
1975,1.064
1976,1.092
1977,1.124
1978,1.034
1979,0.784
1980,1.126
1981,0.662
1982,1.306
1983,1.05
1984,0.81
1985,0.988
1986,0.935
1987,0.938
1988,1.078
1989,0.944
1990,1.101
1991,0.995
1992,1.056
1993,1.133
1994,1.061
1995,0.8
1996,0.993
1997,1.068
1998,0.81
1999,0.835
2000,1.031
2001,1.071
2002,NA
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
