"X1","tag","year","L","K","doy_ip","r","theta","a","b","ML_value","tag_year"
1,192244,2011,422.88643483523,425.012636502205,194.125805425456,0.0340481997128935,2.19557153999315,423,424.974965000317,101.497922486437,"1922442011"
2,192244,2012,424.552726983948,428.983507007277,194.977865014681,0.0334925019984095,5.09235369302129,424.97129953284,428.942923034302,414.463305228749,"1922442012"
3,192244,2013,428.691626169981,432.351562395644,190.185900562979,0.0471553143145413,4.17419392379345,428.822915648096,432.304785549906,279.488814698925,"1922442013"
4,192244,2014,442.462008543648,447.556075120973,179.877723207885,0.0252017974264751,2.8412457287223,443.534537653783,447.426829624237,281.766136693167,"1922442014"
6,192244,2019,413.567566455052,415.913544428918,180.800832031767,0.041133786010846,4.55534202084458,413.795194745988,415.857295823509,102.686521370052,"1922442019"
7,80628,2011,532.758354942615,534.039586258519,216.031450148554,0.0278529474728492,6.82466254279652,532.8,534.034977932594,41.3373525580087,"806282011"
8,80628,2012,534.741760657963,535.408379716299,224.739121985086,0.0369217272041203,1.8944508509441,534.761422614455,535.401537020962,13.547303748438,"806282012"
9,80628,2013,535.395275484612,536.753347904771,169.001211536865,0.0659147429197497,4.00264054540344,535.430477337309,536.716989962931,45.5694512735236,"806282013"
10,80628,2014,544.310566464587,545.492507731829,146.798398198628,0.0407827913898009,0.581133907967877,544.419276330116,545.471521906227,23.5700068501286,"806282014"
14,80628,2018,549.364093493248,550.59053219406,166.643849377588,0.0754546682159868,10.9346539256639,549.425753196556,550.55104787882,36.4005216893288,"806282018"
15,80628,2019,550.525142128856,551.750493117635,208.481685303333,0.041448218491527,11.8107040842586,550.672465998651,551.746906090671,30.6172199822016,"806282019"
16,132539,2011,582.821123815203,586.912922446158,163.437120641121,0.0915982618777401,2.96657491636228,583.000334454805,586.912922388898,580.753673945285,"1325392011"
17,132539,2012,585.758227807956,592.614762685706,182.538392948953,0.0335064854666602,1.72770417958539,586.317504134592,592.587201806077,924.260989293073,"1325392012"
18,132539,2013,591.616621830847,594.507058765508,170.200507443558,0.097629864421201,2.04273220534341,591.645531037905,594.45246169479,218.318105519697,"1325392013"
19,132539,2014,604.541912330792,608.847930448072,185.590533049852,0.0602271738210726,1.70799331657684,604.56010099884,608.845367148331,346.510064277281,"1325392014"
20,132539,2015,608.849875628925,610.988833842241,191.868202656814,0.0821055106825595,1.65728436268299,608.850521403508,610.924715753251,89.4263971615351,"1325392015"
21,132539,2016,613.367762559794,616.51226732408,194.48541463979,0.0828432716604178,5.65124988888968,613.372840056895,616.485438500789,233.249095478552,"1325392016"
22,132539,2017,616.075332415652,621.321042734963,162.3272081558,0.154894443764799,6.01551891840191,616.265161721635,621.321042734933,525.000810776189,"1325392017"
23,132539,2018,620.806460516928,625.018132689609,179.268824186127,0.109430283186219,2.72639926206797,620.824401350329,625.018131929597,406.425629413575,"1325392018"
24,132539,2019,624.631432717979,627.56042748548,168.550918175825,0.115749030797553,3.24462109130801,624.632188286656,627.548513430519,227.139333238466,"1325392019"
25,72308,2011,652.901360508795,654.586277417393,162.701029156101,0.0497494477874545,2.87818633279113,652.904477087514,654.585248293904,90.4577212491338,"723082011"
26,72308,2013,655.404900247536,657.215932991142,166.505495287438,0.0633228594818704,3.34308443887852,655.480688227427,657.210607686405,80.1994570787721,"723082013"
31,72308,2018,658.886339501984,660.866585819685,167.332876010721,0.0452780741326504,3.13506033424952,659.000399884116,660.861067199679,72.3705000577992,"723082018"
32,72308,2019,660.270886684222,662.314807259886,188.805640872005,0.0540988175952509,5.01386038120084,660.346046542066,662.297902440227,91.6843648661944,"723082019"
33,102177,2011,682.978816016071,689.381230129151,287.388018368359,0.0147404120805762,8.12315482328245,685,688.888442509737,455.589313447136,"1021772011"
34,102177,2012,687.998017255876,691.88924859007,168.244399672893,0.0343396262767999,3.30043505221175,688.475657211463,691.885275993887,333.545135529795,"1021772012"
35,102177,2013,691.881511568775,695.2909143076,180.475925210278,0.0526375667407796,2.35814359396063,691.982901125211,695.284153004659,235.62455135105,"1021772013"
36,102177,2014,702.421609731305,707.201321386548,161.505906161853,0.0396908692175845,1.70362883755054,702.7999878,707.17397306443,341.457951935348,"1021772014"
37,102177,2015,706.939322796019,710.373643487956,165.951243070778,0.038767386733135,2.29546761497392,707.272971190229,710.367093883874,159.819447929835,"1021772015"
38,102177,2016,709.809769827065,713.775539972168,185.59226818146,0.0330981974585283,3.96305689924499,710.50113190345,713.761779485904,286.441098796435,"1021772016"
39,102177,2017,712.13385308225,717.120498398586,194.536034742773,0.0261998178813453,6.81003702868074,714.196658601182,717.09257201399,290.447553229771,"1021772017"
40,102177,2018,716.740267479976,719.300397111532,160.010144531414,0.0459647997685596,2.01938645841332,716.874122639239,719.292747471153,118.55968071735,"1021772018"
41,192466,2011,779.529111546445,785.474564792902,172.367149901734,0.0406506058088839,2.91887635946203,780,785.465390565056,932.144342282929,"1924662011"
42,192466,2012,783.836077281851,791.946723081527,179.302170687711,0.0256257673601141,4.11109931062911,785.647836057315,791.869752896168,1283.36015629217,"1924662012"
43,192466,2013,791.968983201812,797.380995154386,171.905930686227,0.06462204431237,4.98519582107857,792.030726261146,797.378348571912,750.84713499594,"1924662013"
44,192466,2014,808.65832427411,814.465598582194,172.209454187464,0.0424083687723587,1.83620728022783,809,814.451622237597,513.172405293573,"1924662014"
45,192466,2015,813.952150051476,821.973322088208,175.546776812352,0.037570509753179,2.08460727495403,814.510778477397,821.904965094071,805.31397849025,"1924662015"
46,192466,2016,822.510931673726,826.836110542854,201.2727345433,0.0464593585524566,2.86958400911373,822.606476307946,826.808043153853,354.673851265408,"1924662016"
47,192466,2017,825.785437982248,832.503427720808,193.063047692869,0.0302867874513451,4.48248826340174,827.498176362231,832.454244210815,484.417051588562,"1924662017"
48,192466,2018,832.042951584858,837.938987187743,174.969833658299,0.0400173597166882,2.58257417848495,832.444393520857,837.929517877859,562.444151191762,"1924662018"
49,192466,2019,837.178077710825,842.856555367213,165.275244918916,0.0465681791658813,3.12609436483178,837.674125414262,842.784198941757,613.717019171936,"1924662019"
50,192619,2011,749.272317169118,752.220945977417,189.993217346898,0.0523428073820641,3.14861849843956,749.499455065696,752.219961323483,215.548615024777,"1926192011"
51,192619,2012,752.117282615579,758.22085552125,173.270749639495,0.0352465282238399,2.93274761241922,752.362985399108,758.193905507458,869.961777337959,"1926192012"
52,192619,2013,758.215623453649,763.315873426743,172.750924752945,0.0613839110800573,4.21751530304723,758.278906858779,763.311987848902,652.134491851375,"1926192013"
53,192619,2014,786.226242065324,792.344147640777,170.201630481941,0.0279177888378115,1.79408472019846,787.11952967832,792.207314650819,416.410793456379,"1926192014"
54,192619,2015,792.154458640133,799.105165510528,180.373160705431,0.0345920994671777,1.78526016334505,792.612953498339,799.007647137568,553.002066711865,"1926192015"
55,192619,2016,800.261553072064,806.779944919941,195.335825797683,0.0389045180595075,2.49567501702357,800.597935910017,806.738990906407,727.185677777536,"1926192016"
56,192619,2017,807.337123060744,813.504269211276,188.457829905207,0.0364232250079152,3.00495589087985,808.18945979698,813.376541991419,406.346228019917,"1926192017"
57,192619,2018,813.081947242952,817.868816647218,193.786120141768,0.0284451246677644,2.10181486576621,813.452916918178,817.791192909783,278.865484607467,"1926192018"
58,192619,2019,818.014523154615,823.877136626195,172.015186598386,0.0591084290639375,3.56617924187298,818.191392232116,823.811694370901,651.857124347055,"1926192019"
59,30225,2013,300.963058047363,301.204135642978,251.262384424633,0.0656137192563776,1.97557740327167,300.964910313327,301.199841712356,3.32574823559064,"302252013"
60,30225,2014,300.893340799988,302.353614715975,145.847101635695,0.0649596563261747,1.0059072587706,300.933840483254,302.353549709889,43.8712804604762,"302252014"
61,30225,2015,302.238840273087,303.587403659334,149.950925086006,0.0975462199678589,3.26166172914699,302.244095511178,303.587403558035,39.6749214616761,"302252015"
62,30225,2016,303.305795908927,304.66534871775,141.773750204328,0.0363747098112198,1.12490428297748,303.544363821613,304.630434595192,38.9163248246608,"302252016"
63,30225,2017,304.312937883364,305.974471907012,163.635844212782,0.0293302902741755,2.19091346651373,304.811328645447,305.957758677105,32.2012660756743,"302252017"
64,30225,2018,306.148046197109,307.800940156461,175.561420362105,0.0592580149909605,6.87607457668905,306.232337422543,307.800866097164,55.8081493948205,"302252018"
65,30225,2019,307.613963134471,308.721608668208,143.735227436534,0.0651227864940241,1.77195900930675,307.746099142567,308.721596264134,32.13439885286,"302252019"
66,130838,2011,623.366926185934,628.415638950796,170.132005779664,0.0634807074527299,2.5687346161719,623.4,628.4134054191,809.756301168434,"1308382011"
67,130838,2012,627.47569667343,633.585008573834,169.274910707659,0.0666176757846499,2.1531677703225,627.500231902511,633.58166478239,1048.42553391125,"1308382012"
68,130838,2013,632.854005357009,638.341045235592,185.643867270245,0.0954250118561859,2.80148645771436,632.986228129227,638.340538177712,779.327959751268,"1308382013"
69,130838,2014,652.072864782066,657.417067993434,172.94843624579,0.0739583626272111,0.971699232611859,652.105145866917,657.406914023006,593.769460978176,"1308382014"
70,130838,2015,657.359886627298,662.903834348457,178.895118840577,0.0731010328482878,2.10732815851781,657.453111550689,662.903591787106,563.380063100631,"1308382015"
71,130838,2016,662.397640832577,666.751096786667,184.076086075389,0.0805615193618412,2.82009127901984,662.408641793135,666.75007528614,473.963104705534,"1308382016"
72,130838,2017,665.890698205598,669.521729785952,171.282493914159,0.0938651037647541,4.54245991488684,665.933596760353,669.521226598562,233.066371542936,"1308382017"
73,130838,2018,669.753123033188,674.565937202038,190.396325083725,0.0345183938745255,2.32955134541907,669.906497618661,674.39510435953,333.823717057746,"1308382018"
74,130838,2019,672.988447296306,677.787680535876,172.149453518718,0.097008550615104,2.28175653536355,672.999819339397,677.760196314649,578.61577744588,"1308382019"
75,91477,2011,208.361325336909,209.325105441394,164.1987404748,0.138742098602547,2.51670232226917,208.379255820978,209.325105441391,40.7824034039844,"914772011"
76,91477,2012,209.449148910709,210.54735592691,186.747717764411,0.0677723082623192,4.45132094893508,209.45165556561,210.511685247924,33.4732561562453,"914772012"
77,91477,2013,210.561258762435,211.781555115001,166.770297892738,0.094368299466804,1.21548044824734,210.56375880886,211.781552234209,42.4552469552895,"914772013"
78,91477,2014,209.939239057098,210.788256868053,186.817393018891,0.0597904549091359,5.9259096889059,209.972865828565,210.786220364977,16.8830942731216,"914772014"
79,91477,2015,210.722113203402,211.521974086765,152.608682013986,0.0492439054503643,2.66283965869777,210.768262955098,211.50543034769,13.5355766152778,"914772015"
80,91477,2016,211.609123621551,212.204765537438,148.709489321376,0.0495632601386095,0.717808048014955,211.640352473432,212.191721065951,10.8545037239323,"914772016"
81,91477,2017,212.214994575101,212.9986020765,181.051473540459,0.0444254489284732,3.12721365981101,212.300088262317,212.998056196566,10.028728055818,"914772017"
82,91477,2018,213.100158865746,213.969420941674,151.479928998094,0.0557326905731567,0.928135715680543,213.115010438029,213.966970971973,17.7814889633978,"914772018"
83,91477,2019,213.966548125761,214.825886365804,119.141686330949,0.0369925940964761,0.430243502590141,214.061575166316,214.822321788509,15.7543790767006,"914772019"
85,102264,2013,385.355782994794,386.52183263871,171.331615272103,0.0428232645044835,3.64090665417488,385.454965264772,386.511952789204,30.3716299460585,"1022642013"
86,102264,2014,464.150485827503,466.237034168177,161.981588659724,0.0310598578014862,1.7272936951834,464.420408369301,466.193326125176,57.1899086182719,"1022642014"
87,102264,2015,465.80728927643,467.258097799579,112.378342349731,0.0441884368724383,0.657812507152188,466.045245884009,467.257673544012,37.1559813279836,"1022642015"
89,102264,2017,468.875757963629,470.153027101339,221.561303136549,0.0225826696723652,7.82526402694491,469.355831757316,470.129122600167,17.6154683344055,"1022642017"
90,102264,2018,470.128658202257,471.627736390299,159.008446796173,0.0460100180784335,2.31645095695081,470.221775239457,471.624392296298,43.7596794160014,"1022642018"
