,plot,tag,year,L,K,doy_ip,r,theta,a,b,ML_value
1,A1,1,1998,12.81521007,13.33757802,194.9062407,0.050694266,2.056834493,12.89201317,13.33098587,7.971654739
2,A1,1,1999,13.34648553,13.67405782,171.8643942,0.072666896,0.96854402,13.34648725,13.67402725,6.393640986
3,A1,1,2000,13.67061592,14.09265878,186.0516124,0.066429899,1.334587089,13.67185678,14.09247254,8.204403339
4,A1,2,1998,32.41798043,32.43347543,189.6841556,0.113761492,1.58497158,32.41814916,32.43240228,3.844050334
5,A1,2,1999,32.42339215,32.48379623,186.0164228,0.02020429,1.461331399,32.42558694,32.47992882,4.09602992
6,A1,2,2000,32.45997239,32.60386251,154.2661351,0.059241829,0.175283105,32.46119717,32.60000308,4.717616692
7,A1,6,1998,33.10747396,33.12202147,175.1370801,6.810908141,3.41203931,33.10780705,33.12202147,3.8488896
8,A1,6,1999,33.12887944,33.11972126,5.192931307,0.227524284,2.86995745,NA,33.11972126,4.070998975
9,A1,6,2000,33.08834531,33.14466519,179.5777809,0.11182749,0.212086471,33.08894517,33.14377113,4.375930758
10,A1,8,1998,23.15446445,23.32210927,192.1418366,0.065173933,1.254188451,23.16872248,23.322012,4.330268565
11,A1,8,1999,23.18847583,23.45749534,191.3345555,0.015796241,6.073621666,23.25369286,23.444597,5.389190395
12,A1,8,2000,23.47755681,23.61541891,208.5551909,0.072942539,3.986055357,23.47768583,23.61056938,4.724469015
13,A1,9,1999,15.18405904,15.64425322,220.277635,0.0070066,10.40223595,15.50487308,15.61876665,8.651247372
14,A1,9,2000,15.61222693,15.72916947,196.0601678,0.060494797,1.830007448,15.61364285,15.72903557,4.570201666
15,A1,10,1998,12.38123453,12.51282968,200.4279257,0.084874662,0.996981702,12.38547947,12.51280782,4.200517913
16,A1,10,1999,12.57010813,12.70735356,193.218543,0.055866517,1.761614255,12.57011469,12.70715395,4.407292097
17,A1,10,2000,12.71422011,12.98857546,194.8194387,0.076093278,1.74302222,12.71711475,12.98851421,6.029355071
18,A1,11,1998,18.18399511,18.50076316,167.1931652,0.04101666,1.524023836,18.30748895,18.49997339,5.540935534
19,A1,11,1999,18.50756556,18.70637272,223.4152942,0.059543867,12.41360854,18.51215052,18.70620533,4.804663777
20,A1,11,2000,18.70564988,18.88377036,195.1679325,0.079080954,2.715724957,18.70581193,18.87985,5.052204297
21,A1,12,1999,16.2252094,16.23231653,4.157245621,1.003833639,5.617756139,16.23184478,16.23150847,4.065889775
