"","tag","year","L","K","doy_ip","r","theta","a","b","ML_value"
"1",192244,2011,422.88643483523,425.012636502205,194.125805425456,0.0340481997128935,2.19557153999315,423,424.974965000317,101.497922486437
"2",192244,2012,424.552726983948,428.983507007277,194.977865014681,0.0334925019984095,5.09235369302129,424.97129953284,428.942923034302,414.463305228749
"3",192244,2013,428.691626169981,432.351562395644,190.185900562979,0.0471553143145413,4.17419392379345,428.822915648096,432.304785549906,279.488814698925
"4",192244,2014,442.462008543648,447.556075120973,179.877723207885,0.0252017974264751,2.8412457287223,443.534537653783,447.426829624237,281.766136693167
"5",192244,2018,413.342954846142,414.13889801498,213.706541993229,19.6460112935279,-0.445627656576038,414.138977376434,414.13889801498,21.5959160662911
"6",192244,2019,413.567566455052,415.913544428918,180.800832031767,0.041133786010846,4.55534202084458,413.795194745988,415.857295823509,102.686521370052
"7",80628,2011,532.758354942615,534.039586258519,216.031450148554,0.0278529474728492,6.82466254279652,532.8,534.034977932594,41.3373525580087
"8",80628,2012,534.741760657963,535.408379716299,224.739121985086,0.0369217272041203,1.8944508509441,534.761422614455,535.401537020962,13.547303748438
"9",80628,2013,535.395275484612,536.753347904771,169.001211536865,0.0659147429197497,4.00264054540344,535.430477337309,536.716989962931,45.5694512735236
"10",80628,2014,544.310566464587,545.492507731829,146.798398198628,0.0407827913898009,0.581133907967877,544.419276330116,545.471521906227,23.5700068501286
"11",80628,2015,544.38201369191,546.779096293548,171.037789529505,0.0207371012317356,5.23527377750664,545.393102805721,546.751538086843,77.4562927367635
"12",80628,2016,531.770849996633,547.962455722208,163.449815583198,0.0209570468563064,54.2323319890526,546.821683887225,547.945903297485,7450.00911445458
"13",80628,2017,545.2747214281,549.331014576364,162.159885133924,0.0297702350973032,10.9849475075124,548.059686644625,549.327655274917,274.586325207267
"14",80628,2018,549.364093493248,550.59053219406,166.643849377588,0.0754546682159868,10.9346539256639,549.425753196556,550.55104787882,36.4005216893288
"15",80628,2019,550.525142128856,551.750493117635,208.481685303333,0.041448218491527,11.8107040842586,550.672465998651,551.746906090671,30.6172199822016
"16",132539,2011,582.821123815203,586.912922446158,163.437120641121,0.0915982618777401,2.96657491636228,583.000334454805,586.912922388898,580.753673945285
"17",132539,2012,585.758227807956,592.614762685706,182.538392948953,0.0335064854666602,1.72770417958539,586.317504134592,592.587201806077,924.260989293073
"18",132539,2013,591.616621830847,594.507058765508,170.200507443558,0.097629864421201,2.04273220534341,591.645531037905,594.45246169479,218.318105519697
"19",132539,2014,604.541912330792,608.847930448072,185.590533049852,0.0602271738210726,1.70799331657684,604.56010099884,608.845367148331,346.510064277281
"20",132539,2015,608.849875628925,610.988833842241,191.868202656814,0.0821055106825595,1.65728436268299,608.850521403508,610.924715753251,89.4263971615351
"21",132539,2016,613.367762559794,616.51226732408,194.48541463979,0.0828432716604178,5.65124988888968,613.372840056895,616.485438500789,233.249095478552
"22",132539,2017,616.075332415652,621.321042734963,162.3272081558,0.154894443764799,6.01551891840191,616.265161721635,621.321042734933,525.000810776189
"23",132539,2018,620.806460516928,625.018132689609,179.268824186127,0.109430283186219,2.72639926206797,620.824401350329,625.018131929597,406.425629413575
"24",132539,2019,624.631432717979,627.56042748548,168.550918175825,0.115749030797553,3.24462109130801,624.632188286656,627.548513430519,227.139333238466
"25",72308,2011,652.901360508795,654.586277417393,162.701029156101,0.0497494477874545,2.87818633279113,652.904477087514,654.585248293904,90.4577212491338
"26",72308,2013,655.404900247536,657.215932991142,166.505495287438,0.0633228594818704,3.34308443887852,655.480688227427,657.210607686405,80.1994570787721
"27",72308,2014,652.384468292764,655.933774546849,102.972293914965,0.0249040850121451,1.74064491873885,654.209564749814,655.875810843767,221.532066694296
"28",72308,2015,650.534355176187,657.068670504513,178.327610671301,0.0162623471081609,15.3996378067658,655.575369249769,657.015891359856,813.72988601225
"29",72308,2016,620.324027936589,658.593835887794,20.6146253188488,0.0118628249622955,7.74928063879841,656.697193884652,658.444132650686,40986.6398629028
"30",72308,2017,652.497701184996,659.337114435481,195.664139489192,0.0140701255001073,18.3066451116913,658.257063603181,659.270946853492,796.689362082077
"31",72308,2018,658.886339501984,660.866585819685,167.332876010721,0.0452780741326504,3.13506033424952,659.000399884116,660.861067199679,72.3705000577992
"32",72308,2019,660.270886684222,662.314807259886,188.805640872005,0.0540988175952509,5.01386038120084,660.346046542066,662.297902440227,91.6843648661944
"33",102177,2011,682.978816016071,689.381230129151,287.388018368359,0.0147404120805762,8.12315482328245,685,688.888442509737,455.589313447136
"34",102177,2012,687.998017255876,691.88924859007,168.244399672893,0.0343396262767999,3.30043505221175,688.475657211463,691.885275993887,333.545135529795
"35",102177,2013,691.881511568775,695.2909143076,180.475925210278,0.0526375667407796,2.35814359396063,691.982901125211,695.284153004659,235.62455135105
"36",102177,2014,702.421609731305,707.201321386548,161.505906161853,0.0396908692175845,1.70362883755054,702.7999878,707.17397306443,341.457951935348
"37",102177,2015,706.939322796019,710.373643487956,165.951243070778,0.038767386733135,2.29546761497392,707.272971190229,710.367093883874,159.819447929835
