"tot","perc","tag","DOY","sp","year","dbh","max_rate_DOY","max_rate","wood_type","site_tag","site","realtag"
0.52226443442356,0.25,"A111998",158,"betual",1998,13.20058442,181,0.00661947614466207,"diffuse-porous","A11","A1","1"
0.52226443442356,0.5,"A111998",180,"betual",1998,13.20058442,181,0.00661947614466207,"diffuse-porous","A11","A1","1"
0.52226443442356,0.75,"A111998",201,"betual",1998,13.20058442,181,0.00661947614466207,"diffuse-porous","A11","A1","1"
0.167642289985956,0.25,"A181998",171,"betual",1998,23.26795906,189,0.00273095426364733,"diffuse-porous","A18","A1","8"
0.167642289985956,0.5,"A181998",188,"betual",1998,23.26795906,189,0.00273095426364733,"diffuse-porous","A18","A1","8"
0.167642289985956,0.75,"A181998",205,"betual",1998,23.26795906,189,0.00273095426364733,"diffuse-porous","A18","A1","8"
0.131595032864261,0.25,"A1101998",187,"betual",1998,12.45248413,200,0.00279077494379543,"diffuse-porous","A110","A1","10"
0.131595032864261,0.5,"A1101998",199,"betual",1998,12.45248413,200,0.00279077494379543,"diffuse-porous","A110","A1","10"
0.131595032864261,0.75,"A1101998",212,"betual",1998,12.45248413,200,0.00279077494379543,"diffuse-porous","A110","A1","10"
0.145362054478808,0.25,"B21931998",165,"betual",1998,14.90875103,181,0.00281248519114108,"diffuse-porous","B2193","B2","193"
0.145362054478808,0.5,"B21931998",180,"betual",1998,14.90875103,181,0.00281248519114108,"diffuse-porous","B2193","B2","193"
0.145362054478808,0.75,"B21931998",194,"betual",1998,14.90875103,181,0.00281248519114108,"diffuse-porous","B2193","B2","193"
0.0305344259846922,0.25,"C13551998",186,"betual",1998,11.71098941,201,0.000595711723745396,"diffuse-porous","C1355","C1","355"
0.0305344259846922,0.5,"C13551998",200,"betual",1998,11.71098941,201,0.000595711723745396,"diffuse-porous","C1355","C1","355"
0.0305344259846922,0.75,"C13551998",214,"betual",1998,11.71098941,201,0.000595711723745396,"diffuse-porous","C1355","C1","355"
0.0561524080526077,0.25,"C34141998",185,"betual",1998,12.89228656,201,0.00100498963448103,"diffuse-porous","C3414","C3","414"
0.0561524080526077,0.5,"C34141998",200,"betual",1998,12.89228656,201,0.00100498963448103,"diffuse-porous","C3414","C3","414"
0.0561524080526077,0.75,"C34141998",216,"betual",1998,12.89228656,201,0.00100498963448103,"diffuse-porous","C3414","C3","414"
0.139572662021457,0.25,"E16841998",132,"betual",1998,29.07255377,157,0.00161710062255338,"diffuse-porous","E1684","E1","684"
0.139572662021457,0.5,"E16841998",156,"betual",1998,29.07255377,157,0.00161710062255338,"diffuse-porous","E1684","E1","684"
0.139572662021457,0.75,"E16841998",180,"betual",1998,29.07255377,157,0.00161710062255338,"diffuse-porous","E1684","E1","684"
0.0437447518456331,0.25,"E48191998",196,"betual",1998,24.62498394,206,0.00135771740668389,"diffuse-porous","E4819","E4","819"
0.0437447518456331,0.5,"E48191998",205,"betual",1998,24.62498394,206,0.00135771740668389,"diffuse-porous","E4819","E4","819"
0.0437447518456331,0.75,"E48191998",214,"betual",1998,24.62498394,206,0.00135771740668389,"diffuse-porous","E4819","E4","819"
0.03398775056929,0.25,"F29941998",93,"betual",1998,10.88515005,235,9.48095989876663e-05,"diffuse-porous","F2994","F2","994"
0.03398775056929,0.5,"F29941998",184,"betual",1998,10.88515005,235,9.48095989876663e-05,"diffuse-porous","F2994","F2","994"
0.03398775056929,0.75,"F29941998",274,"betual",1998,10.88515005,235,9.48095989876663e-05,"diffuse-porous","F2994","F2","994"
0.115811151761347,0.25,"F351998",192,"betual",1998,15.79009252,201,0.00373512040901502,"diffuse-porous","F35","F3","5"
0.115811151761347,0.5,"F351998",200,"betual",1998,15.79009252,201,0.00373512040901502,"diffuse-porous","F35","F3","5"
0.115811151761347,0.75,"F351998",209,"betual",1998,15.79009252,201,0.00373512040901502,"diffuse-porous","F35","F3","5"
0.030100681351545,0.25,"G42541998",166,"betual",1998,18.04902342,177,0.000773569004572039,"diffuse-porous","G4254","G4","254"
0.030100681351545,0.5,"G42541998",176,"betual",1998,18.04902342,177,0.000773569004572039,"diffuse-porous","G4254","G4","254"
0.030100681351545,0.75,"G42541998",187,"betual",1998,18.04902342,177,0.000773569004572039,"diffuse-porous","G4254","G4","254"
0.116099171345738,0.25,"H23431998",161,"betual",1998,43.37888038,184,0.00148159254769809,"diffuse-porous","H2343","H2","343"
0.116099171345738,0.5,"H23431998",183,"betual",1998,43.37888038,184,0.00148159254769809,"diffuse-porous","H2343","H2","343"
0.116099171345738,0.75,"H23431998",204,"betual",1998,43.37888038,184,0.00148159254769809,"diffuse-porous","H2343","H2","343"
0.31617789541264,0.25,"A1111998",129,"acerru",1998,18.45917882,157,0.0032480692566601,"diffuse-porous","A111","A1","11"
0.31617789541264,0.5,"A1111998",156,"acerru",1998,18.45917882,157,0.0032480692566601,"diffuse-porous","A111","A1","11"
0.31617789541264,0.75,"A1111998",183,"acerru",1998,18.45917882,157,0.0032480692566601,"diffuse-porous","A111","A1","11"
0.15194422164328,0.25,"A1181998",162,"acerru",1998,26.13068979,176,0.00307868436235736,"diffuse-porous","A118","A1","18"
0.15194422164328,0.5,"A1181998",175,"acerru",1998,26.13068979,176,0.00307868436235736,"diffuse-porous","A118","A1","18"
0.15194422164328,0.75,"A1181998",189,"acerru",1998,26.13068979,176,0.00307868436235736,"diffuse-porous","A118","A1","18"
0.0850649120374758,0.25,"A2251998",162,"acerru",1998,14.12737371,174,0.00210417160436727,"diffuse-porous","A225","A2","25"
0.0850649120374758,0.5,"A2251998",173,"acerru",1998,14.12737371,174,0.00210417160436727,"diffuse-porous","A225","A2","25"
0.0850649120374758,0.75,"A2251998",184,"acerru",1998,14.12737371,174,0.00210417160436727,"diffuse-porous","A225","A2","25"
