"","tag","year","L","K","doy_ip","r","theta","a","b"
"1",192244,2011,422.880631943984,425.011357354601,195.068713505574,0.0340725876072929,2.3014606186436,423,424.974402709102
"2",192244,2012,424.552726936544,428.983507022216,194.977865066203,0.0334925005393585,5.09235356323414,424.9712995,428.942923047052
"3",192244,2013,428.693355689183,432.351999636532,190.070083527327,0.0471860408631547,4.12088027392649,428.82273881658,432.304616205646
"4",192244,2014,442.462008556698,447.556075096985,179.877723186666,0.0252017977480412,2.84124575666206,443.534537642254,447.4268296
"5",192244,2018,413.342954854765,414.138898049721,213.706542027731,19.6460108673944,-0.445627698641642,414.13897738507,414.138898049721
"6",192244,2019,413.567569455076,415.913547968579,180.800835134431,0.041133972834659,4.55533119048599,413.795194740508,415.857299379895
"7",80628,2011,532.736344950854,534.039809792788,204.922432597056,0.0267358572842896,4.84158431214451,532.8,534.034117430582
"8",80628,2012,534.741760601333,535.408379712461,224.739121972414,0.0369217257684564,1.89445105108169,534.761422559823,535.401537016325
"9",80628,2013,535.395275474181,536.753347887175,169.001211406827,0.065914748674317,4.00264134932514,535.430477329715,536.716989945599
"10",80628,2014,544.310566437899,545.492507523056,146.798395647747,0.0407827920242946,0.581133629173134,544.419276276624,545.471521697316
"11",80628,2015,544.333294855463,546.781718255751,167.751558411433,0.0204179657812077,4.96201476587025,545.392292124449,546.752734731896
"12",80628,2016,539.0875103187,547.960651916167,197.45790752248,0.0219244251950667,62.6699760041796,546.819647316574,547.946490576444
"13",80628,2017,540.89530625867,549.356347549232,201.506676691072,0.0241722933342276,53.1945650919719,548.064462363264,549.34728686641
"14",80628,2018,549.363648617441,550.591977114459,166.913146347003,0.0753883132115011,11.1279828734529,549.425352338652,550.552486161465
"15",80628,2019,550.45727906378,551.815110502901,247.293065597231,0.030245591875736,17.0639984624838,550.68698113036,551.793121413583
"16",132539,2011,582.832148974559,586.911569245754,163.516047330853,0.0929386086963686,3.03530621151377,583.00033447321,586.911569201925
"17",132539,2012,585.757376451238,592.615048580761,182.550836353558,0.0334916260706674,1.72820374158557,586.317504128522,592.587424875487
"18",132539,2013,591.616621801764,594.50705877208,170.200507447847,0.0976298607252862,2.04273216017334,591.645531009061,594.452461701325
"19",132539,2014,604.541912266672,608.847930544476,185.590533092994,0.0602271734771604,1.70799329538195,604.560100935746,608.8453672445
"20",132539,2015,608.849875645605,610.988833810034,191.868202610317,0.0821055214305288,1.65728460838141,608.850521419543,610.92471572154
"21",132539,2016,613.367762531197,616.512267312952,194.485414460445,0.0828432700109423,5.65124998216559,613.372840029309,616.485438489727
"22",132539,2017,616.075332384189,621.321042721566,162.327208247608,0.154894443763522,6.0155189875762,616.2651617,621.321042721537
"23",132539,2018,620.806460510187,625.018132667003,179.26882408109,0.109430286893026,2.72639934672986,620.824401343528,625.018131906992
