"Year","Rooste_QURU"
1901,1.157
1902,1
1903,0.97
1904,1.085
1905,0.988
1906,1.049
1907,0.776
1908,0.873
1909,0.817
1910,0.965
1911,1.032
1912,0.834
1913,0.934
1914,1.039
1915,1.037
1916,1.148
1917,0.969
1918,0.753
1919,1.011
1920,1.243
1921,1.142
1922,0.99
1923,0.816
1924,1.006
1925,1.014
1926,1.032
1927,1.058
1928,1.042
1929,1.128
1930,1.028
1931,1.123
1932,1.104
1933,0.778
1934,0.991
1935,1.016
1936,0.77
1937,1.107
1938,0.945
1939,1.091
1940,1.083
1941,0.797
1942,1.068
1943,1.121
1944,1.221
1945,1.048
1946,0.966
1947,1.226
1948,0.972
1949,0.857
1950,1.094
1951,1.167
1952,1.006
1953,0.818
1954,0.806
1955,1.058
1956,0.979
1957,0.925
1958,0.918
1959,0.885
1960,0.968
1961,1.117
1962,0.837
1963,0.832
1964,1.014
1965,0.994
1966,0.873
1967,1.102
1968,1.022
1969,1.093
1970,0.842
1971,1.091
1972,1.025
1973,1.013
1974,1.065
1975,1.029
1976,1.027
1977,1.036
1978,1.082
1979,0.948
1980,1.127
1981,1.085
1982,1.022
1983,0.778
1984,1.081
1985,1.021
1986,0.966
1987,1.173
1988,0.927
1989,1.117
1990,1.007
1991,0.978
1992,0.762
1993,1.078
1994,1.185
1995,0.937
1996,0.957
1997,0.92
1998,1.031
1999,0.956
2000,0.873
2001,0.993
2002,0.995
2003,0.846
2004,0.959
2005,1.162
2006,0.925
2007,0.964
2008,1.11
2009,0.905
2010,0.875
2011,1.15
2012,1.024
2013,0.972
2014,1.134
2015,1.1
2016,NA
2017,NA
2018,NA
2019,NA
