"Year","PA_Ala_QUAL"
1901,1.057
1902,1.185
1903,1.213
1904,1.1
1905,0.934
1906,1.077
1907,0.897
1908,1.011
1909,0.741
1910,0.855
1911,1.06
1912,1.179
1913,1.018
1914,0.974
1915,0.976
1916,1.163
1917,1.195
1918,0.788
1919,1.178
1920,1.175
1921,1.139
1922,1.131
1923,0.922
1924,1.045
1925,1.025
1926,0.916
1927,1.036
1928,1.06
1929,0.776
1930,0.958
1931,0.83
1932,1.101
1933,0.931
1934,1.093
1935,1.169
1936,0.822
1937,1.004
1938,0.774
1939,0.987
1940,1.05
1941,1.01
1942,1.09
1943,0.831
1944,0.881
1945,0.974
1946,1.07
1947,1.181
1948,0.952
1949,1.015
1950,1.058
1951,0.985
1952,0.836
1953,1.147
1954,0.88
1955,0.848
1956,0.836
1957,1.026
1958,1.233
1959,1.076
1960,0.88
1961,1.041
1962,0.752
1963,1.074
1964,0.958
1965,0.85
1966,0.829
1967,1.179
1968,1.026
1969,1.047
1970,1.223
1971,1.034
1972,1.016
1973,1.142
1974,0.968
1975,1.157
1976,1.062
1977,0.943
1978,1.149
1979,1.045
1980,1.119
1981,0.911
1982,1.136
1983,0.881
1984,0.969
1985,1.184
1986,1.092
1987,1.05
1988,0.815
1989,0.932
1990,0.936
1991,0.609
1992,1.057
1993,1.049
1994,1.103
1995,1.118
1996,0.978
1997,0.86
1998,1.095
1999,0.802
2000,1.233
2001,1.095
2002,1.137
2003,0.89
2004,1.035
2005,0.8
2006,1.179
2007,0.952
2008,1.015
2009,1.074
2010,0.903
2011,0.895
2012,1.113
2013,1.004
2014,0.694
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
