"Year","PA_Ala_QURU"
1901,1.145
1902,1.292
1903,1.132
1904,1.155
1905,1.064
1906,1.332
1907,0.951
1908,1.141
1909,0.787
1910,0.808
1911,0.947
1912,1.073
1913,0.771
1914,0.935
1915,1.179
1916,1.137
1917,1.196
1918,0.743
1919,1.111
1920,1.179
1921,1.094
1922,1
1923,0.904
1924,1.033
1925,0.95
1926,1.053
1927,0.944
1928,1.234
1929,0.896
1930,0.917
1931,0.957
1932,1.057
1933,0.987
1934,0.927
1935,1.225
1936,0.81
1937,1.191
1938,0.938
1939,0.871
1940,1.053
1941,1.113
1942,1.13
1943,0.853
1944,0.956
1945,0.845
1946,1.042
1947,1.164
1948,1.049
1949,1.174
1950,1.109
1951,0.986
1952,0.65
1953,0.98
1954,0.936
1955,0.814
1956,0.697
1957,0.911
1958,0.968
1959,0.624
1960,0.758
1961,1.101
1962,0.779
1963,1.003
1964,0.942
1965,0.903
1966,0.806
1967,1.115
1968,1.216
1969,1.197
1970,1.125
1971,0.938
1972,1.012
1973,1.106
1974,1.032
1975,1.19
1976,1.032
1977,0.813
1978,1.201
1979,1.191
1980,1.056
1981,0.917
1982,1.117
1983,0.976
1984,0.898
1985,1.26
1986,1.142
1987,1.023
1988,0.852
1989,1.042
1990,1.036
1991,0.695
1992,1.032
1993,1.132
1994,0.927
1995,1.023
1996,1.067
1997,0.862
1998,1.082
1999,0.925
2000,1.197
2001,0.914
2002,1.048
2003,0.956
2004,1.164
2005,0.889
2006,1.02
2007,0.996
2008,1.079
2009,1
2010,0.878
2011,0.853
2012,1.041
2013,1.047
2014,0.766
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
