"Year","MO_Flu_QUAL"
1901,NA
1902,NA
1903,NA
1904,NA
1905,NA
1906,NA
1907,0.965
1908,1.198
1909,0.974
1910,1.111
1911,0.648
1912,1.309
1913,0.873
1914,0.956
1915,1.482
1916,0.944
1917,0.982
1918,0.617
1919,0.916
1920,0.841
1921,1.168
1922,1.162
1923,1.242
1924,1.294
1925,0.799
1926,0.971
1927,1.212
1928,1.332
1929,1.044
1930,0.919
1931,1.008
1932,1.195
1933,0.83
1934,0.583
1935,1.039
1936,0.465
1937,1.069
1938,1.091
1939,0.793
1940,0.896
1941,0.818
1942,1.198
1943,0.913
1944,0.73
1945,1.287
1946,1.057
1947,1.264
1948,1.091
1949,1.418
1950,1.181
1951,1.413
1952,0.913
1953,0.794
1954,0.621
1955,1.117
1956,0.884
1957,0.928
1958,1.014
1959,0.78
1960,1.138
1961,1.226
1962,0.915
1963,0.796
1964,0.882
1965,1.092
1966,0.94
1967,1.067
1968,0.998
1969,1.228
1970,0.903
1971,0.878
1972,0.686
1973,1.387
1974,1.025
1975,0.905
1976,0.916
1977,0.883
1978,0.98
1979,0.855
1980,0.687
1981,1.129
1982,1.32
1983,0.931
1984,0.993
1985,1.229
1986,1.005
1987,0.953
1988,0.737
1989,0.998
1990,1.242
1991,0.858
1992,1.138
1993,1.269
1994,1.043
1995,1.19
1996,0.827
1997,1.036
1998,1.018
1999,0.994
2000,0.944
2001,1.187
2002,0.976
2003,1.045
2004,0.897
2005,1.046
2006,0.919
2007,0.767
2008,1.066
2009,1.053
2010,1.08
2011,1.094
2012,0.813
2013,0.922
2014,1.015
2015,1.033
2016,NA
2017,NA
2018,NA
2019,NA
