"Year","MO_Flu_CAOV"
1901,NA
1902,NA
1903,NA
1904,NA
1905,NA
1906,NA
1907,NA
1908,0.969
1909,1.163
1910,1.266
1911,0.616
1912,1.196
1913,0.585
1914,0.628
1915,1.172
1916,0.878
1917,1.04
1918,0.967
1919,1.243
1920,0.893
1921,1.32
1922,0.942
1923,1.172
1924,1.229
1925,0.686
1926,0.862
1927,1.066
1928,1.131
1929,1.156
1930,0.942
1931,0.953
1932,1.227
1933,0.95
1934,0.87
1935,1.235
1936,0.664
1937,0.799
1938,1.03
1939,0.927
1940,0.833
1941,0.882
1942,1.166
1943,0.786
1944,0.816
1945,1.202
1946,0.841
1947,0.972
1948,1.103
1949,1.215
1950,1.166
1951,1.381
1952,0.897
1953,0.852
1954,0.793
1955,0.985
1956,0.988
1957,1.111
1958,1.067
1959,0.967
1960,1.191
1961,1.118
1962,1.034
1963,0.721
1964,1.096
1965,1.007
1966,0.963
1967,0.98
1968,1.02
1969,1.225
1970,1.043
1971,0.974
1972,0.709
1973,1.137
1974,1.128
1975,1.176
1976,0.899
1977,0.937
1978,0.997
1979,0.933
1980,0.576
1981,0.675
1982,1.124
1983,0.928
1984,0.963
1985,0.977
1986,0.945
1987,0.943
1988,0.915
1989,1.036
1990,0.974
1991,0.787
1992,1.018
1993,1.195
1994,1.013
1995,1.314
1996,1.056
1997,1.181
1998,1.121
1999,1.022
2000,1.064
2001,1.082
2002,1.062
2003,1.184
2004,1.051
2005,0.997
2006,0.868
2007,0.83
2008,0.865
2009,0.96
2010,1.056
2011,0.98
2012,0.898
2013,0.917
2014,1.021
2015,1.083
2016,0.957
2017,NA
2018,NA
2019,NA
