"Year","TN_Boo_LITU"
1901,1.165
1902,1.002
1903,1.183
1904,0.78
1905,0.927
1906,1.087
1907,1
1908,0.859
1909,1.085
1910,0.983
1911,0.888
1912,1.043
1913,1.237
1914,0.696
1915,1.203
1916,1.198
1917,0.918
1918,0.771
1919,1.153
1920,0.875
1921,1.046
1922,1.148
1923,1.23
1924,0.933
1925,0.718
1926,0.884
1927,1.048
1928,1.279
1929,1.016
1930,0.863
1931,0.95
1932,1.013
1933,1.036
1934,1.198
1935,1.059
1936,0.795
1937,1.263
1938,1.22
1939,1.086
1940,0.96
1941,0.972
1942,1.066
1943,1.044
1944,0.757
1945,0.997
1946,1.092
1947,0.848
1948,1.049
1949,1.114
1950,1.263
1951,1.062
1952,0.936
1953,1.198
1954,0.856
1955,0.986
1956,1.003
1957,1.156
1958,0.884
1959,0.927
1960,1.134
1961,0.986
1962,1.001
1963,0.877
1964,0.935
1965,0.875
1966,0.673
1967,1.049
1968,1.063
1969,0.86
1970,0.846
1971,0.994
1972,1.176
1973,1.044
1974,1.161
1975,0.812
1976,0.972
1977,0.943
1978,0.842
1979,0.867
1980,1.056
1981,0.808
1982,1.048
1983,0.938
1984,0.814
1985,0.965
1986,0.711
1987,0.959
1988,0.811
1989,1.074
1990,1.093
1991,1.107
1992,1.1
1993,1.097
1994,1.073
1995,1.279
1996,0.955
1997,0.958
1998,1.102
1999,1.093
2000,1.026
2001,1.106
2002,0.7
2003,0.978
2004,1.018
2005,0.894
2006,0.944
2007,0.868
2008,1.078
2009,1.13
2010,1.184
2011,1.158
2012,1.088
2013,1.323
2014,1.118
2015,0.929
2016,0.964
2017,1.127
2018,0.696
2019,NA
