"Species","coef","significant","significant2","ci.lower","ci.upper","chg_rad_inc_clim","chg_rad_inc_clim_ci.lower","chg_rad_inc_clim_ci.upper","chg_rad_inc_1SD_clim","variable","month","site","wood_type","Location","month_new","tmn","tmx","group"
"QURU",0.0851506491978158,FALSE,FALSE,-0.0939960910251607,0.227368871285237,0.0032709607270727,-0.00361074783502106,0.00873410426742743,0.0100658387724457,"tmn","prev.jan","Sheridan_Mountain_QURU","RP","Sheridan_Mountain",-12,-2.73865551231933,7.86470601328571,1
"QURU",-0.111508722383618,FALSE,FALSE,-0.285752806071369,0.06770356381197,-0.0045684095296299,-0.0117070289612314,0.00277375257734951,-0.0131816824863819,"tmn","prev.feb","Sheridan_Mountain_QURU","RP","Sheridan_Mountain",-11,-2.73865551231933,7.86470601328571,1
"QURU",-0.0238205755934379,FALSE,FALSE,-0.243499855074301,0.190542270344616,-0.00107387877756339,-0.0109774562616399,0.0085900233413418,-0.00281588074370842,"tmn","prev.mar","Sheridan_Mountain_QURU","RP","Sheridan_Mountain",-10,-2.73865551231933,7.86470601328571,1
"QURU",-0.0755455273022627,FALSE,FALSE,-0.290068417511603,0.150756989698381,-0.00594175753875251,-0.0228142719767866,0.011857240422401,-0.00893039694902848,"tmn","prev.apr","Sheridan_Mountain_QURU","RP","Sheridan_Mountain",-9,-2.73865551231933,7.86470601328571,1
"QURU",0.09578080943633,FALSE,FALSE,-0.114227696929671,0.279927759768819,0.00804430037214288,-0.00959359093254684,0.0235101686374693,0.0113224525516028,"tmn","prev.may","Sheridan_Mountain_QURU","RP","Sheridan_Mountain",-8,-2.73865551231933,7.86470601328571,1
"QURU",-0.0244479951875014,FALSE,FALSE,-0.200189758259459,0.164188155800774,-0.00232193082061806,-0.0190128788111162,0.0155936524205942,-0.00289004934413617,"tmn","prev.jun","Sheridan_Mountain_QURU","RP","Sheridan_Mountain",-7,-2.73865551231933,7.86470601328571,1
"QURU",-0.162931650083555,FALSE,FALSE,-0.307134447473347,0.00585547314373654,-0.0166178208161805,-0.0313254374578007,0.000597214865538221,-0.0192604957932801,"tmn","prev.jul","Sheridan_Mountain_QURU","RP","Sheridan_Mountain",-6,-2.73865551231933,7.86470601328571,1
"QURU",-0.0526042524691973,FALSE,FALSE,-0.236758075919662,0.133500201331026,-0.00484143353460367,-0.0217900347318286,0.0122866939698237,-0.00621846021243899,"tmn","prev.aug","Sheridan_Mountain_QURU","RP","Sheridan_Mountain",-5,-2.73865551231933,7.86470601328571,1
"QURU",-0.0232698035244146,FALSE,FALSE,-0.231664634933137,0.160363778245474,-0.00217405400375281,-0.0216439913889213,0.014982486370618,-0.00275077280971867,"tmn","prev.sep","Sheridan_Mountain_QURU","RP","Sheridan_Mountain",-4,-2.73865551231933,7.86470601328571,1
"QURU",0.0107150887471341,FALSE,FALSE,-0.15567084212169,0.174857923613281,0.000938804296470549,-0.0136391269235282,0.0153202062842431,0.00126665335822085,"tmn","prev.oct","Sheridan_Mountain_QURU","RP","Sheridan_Mountain",-3,-2.73865551231933,7.86470601328571,1
"QURU",-0.0171377899933947,FALSE,FALSE,-0.215265780847964,0.160988824699832,-0.00108726213663906,-0.0136569728605754,0.0102135137369295,-0.0020258944895275,"tmn","prev.nov","Sheridan_Mountain_QURU","RP","Sheridan_Mountain",-2,-2.73865551231933,7.86470601328571,1
"QURU",0.0179210147043636,FALSE,FALSE,-0.166185229729829,0.192061772693089,0.000673701801479785,-0.00624737440905379,0.0072201470950877,0.00211848114315234,"tmn","prev.dec","Sheridan_Mountain_QURU","RP","Sheridan_Mountain",-1,-2.73865551231933,7.86470601328571,1
"QURU",0.119193790198151,FALSE,FALSE,-0.069445230457429,0.297524251138689,0.00450274339025376,-0.00262340892010404,0.0112394727361872,0.0140901506461101,"tmn","curr.jan","Sheridan_Mountain_QURU","RP","Sheridan_Mountain",1,-2.73865551231933,7.86470601328571,1
"QURU",0.115851523056094,FALSE,FALSE,-0.0716120438782845,0.303045800226912,0.00473105730581233,-0.00292443875088694,0.0123755563098216,0.0136950541611939,"tmn","curr.feb","Sheridan_Mountain_QURU","RP","Sheridan_Mountain",2,-2.73865551231933,7.86470601328571,1
"QURU",-0.0879520441232125,FALSE,FALSE,-0.318143679685593,0.148087495659809,-0.00395920055945611,-0.0143213798741738,0.00666622477634982,-0.010396997605909,"tmn","curr.mar","Sheridan_Mountain_QURU","RP","Sheridan_Mountain",3,-2.73865551231933,7.86470601328571,1
"QURU",-0.0274267836166112,FALSE,FALSE,-0.2168757098735,0.16932497885311,-0.00217222092015451,-0.0171767116642599,0.013410659686201,-0.00324217823977136,"tmn","curr.apr","Sheridan_Mountain_QURU","RP","Sheridan_Mountain",4,-2.73865551231933,7.86470601328571,1
"QURU",-0.210349233446786,TRUE,FALSE,-0.384771158170807,-0.0367168649093409,-0.0177395347147761,-0.0324491856032478,-0.00309647004176878,-0.0248658288542701,"tmn","curr.may","Sheridan_Mountain_QURU","RP","Sheridan_Mountain",5,-2.73865551231933,7.86470601328571,1
"QURU",0.176017853535769,TRUE,FALSE,0.0179027264645587,0.329894527980046,0.0167545384621853,0.00170409940300447,0.0314015336880753,0.0208074436478689,"tmn","curr.jun","Sheridan_Mountain_QURU","RP","Sheridan_Mountain",6,-2.73865551231933,7.86470601328571,1
"QURU",0.310748787523732,TRUE,TRUE,0.122515882843703,0.461675457424739,0.0317745496102972,0.0125274406651363,0.0472070376933609,0.0367342730021969,"tmn","curr.jul","Sheridan_Mountain_QURU","RP","Sheridan_Mountain",7,-2.73865551231933,7.86470601328571,1
"QURU",0.345850532436656,TRUE,TRUE,0.158395309120139,0.501078702450293,0.0317543562353502,0.0145431063424213,0.0460066708801956,0.0408837246887504,"tmn","curr.aug","Sheridan_Mountain_QURU","RP","Sheridan_Mountain",8,-2.73865551231933,7.86470601328571,1
