cur_sp,variable,p-value,est,lat,lon
SCBI_FRNI,apr_summer,0.746710976,-0.000250207,38.8935,-78.1454
SCBI_FRNI,may_aug,0.799647604,-0.003822055,38.8935,-78.1454
SCBI_LITU,apr,0.854599984,0.001323597,38.8935,-78.1454
SCBI_LITU,apr_jun_apr,0.505187611,-0.011386043,38.8935,-78.1454
SCBI_LITU,apr_jun,0.41179359,0.000407547,38.8935,-78.1454
SCBI_LITU,jun,0.456938721,0.00712904,38.8935,-78.1454
SCBI_LITU,apr_jun_jul_apr,0.895773656,-0.00270059,38.8935,-78.1454
SCBI_LITU,apr_jun_jul,0.834815012,0.00012913,38.8935,-78.1454
SCBI_LITU,jun_jul,0.882891572,0.00176463,38.8935,-78.1454
SCBI_LITU,apr_summer_apr,0.931823198,-0.001872006,38.8935,-78.1454
SCBI_LITU,apr_summer,0.876989581,0.000110644,38.8935,-78.1454
SCBI_LITU,may_aug,0.903872828,0.001656814,38.8935,-78.1454
SCBI_QURU,apr,0.338568033,0.005085618,38.8935,-78.1454
SCBI_QURU,apr_jun_apr,0.18379133,0.016699189,38.8935,-78.1454
SCBI_QURU,apr_jun,0.306710176,-0.0003724,38.8935,-78.1454
SCBI_QURU,jun,0.3428988,-0.006695352,38.8935,-78.1454
SCBI_QURU,apr_jun_jul_apr,0.020943638,0.034683999,38.8935,-78.1454
SCBI_QURU,apr_jun_jul,0.034927807,-0.000949766,38.8935,-78.1454
SCBI_QURU,jun_jul,0.03824386,-0.018128794,38.8935,-78.1454
SCBI_QURU,apr_summer_apr,0.001660067,0.049647963,38.8935,-78.1454
SCBI_QURU,apr_summer,0.002715409,-0.001542915,38.8935,-78.1454
SCBI_QURU,may_aug,0.003493387,-0.028990627,38.8935,-78.1454
SCBI_JUNI,apr,0.674861567,0.003949224,38.8935,-78.1454
SCBI_JUNI,apr_jun_apr,0.039352247,0.045361472,38.8935,-78.1454
SCBI_JUNI,apr_jun,0.037723756,-0.001329744,38.8935,-78.1454
SCBI_JUNI,jun,0.038235929,-0.025600939,38.8935,-78.1454
SCBI_JUNI,apr_jun_jul_apr,0.027702282,0.058996321,38.8935,-78.1454
SCBI_JUNI,apr_jun_jul,0.028375516,-0.001771435,38.8935,-78.1454
SCBI_JUNI,jun_jul,0.030959545,-0.033697991,38.8935,-78.1454
SCBI_JUNI,apr_summer_apr,0.028541754,0.062339833,38.8935,-78.1454
SCBI_JUNI,apr_summer,0.029858358,-0.002026003,38.8935,-78.1454
SCBI_JUNI,may_aug,0.031355974,-0.038465578,38.8935,-78.1454
SCBI_CAOL,apr,0.08641486,0.010383324,38.8935,-78.1454
SCBI_CAOL,apr_jun_apr,0.039347253,0.0293809,38.8935,-78.1454
SCBI_CAOL,apr_jun,0.139476418,-0.000609178,38.8935,-78.1454
SCBI_CAOL,jun,0.177054025,-0.010885031,38.8935,-78.1454
SCBI_CAOL,apr_jun_jul_apr,0.039519515,0.035318511,38.8935,-78.1454
SCBI_CAOL,apr_jun_jul,0.118981273,-0.000800213,38.8935,-78.1454
SCBI_CAOL,jun_jul,0.13408116,-0.015075452,38.8935,-78.1454
SCBI_CAOL,apr_summer_apr,0.001631679,0.056777607,38.8935,-78.1454
SCBI_CAOL,apr_summer,0.006083209,-0.001606375,38.8935,-78.1454
SCBI_CAOL,may_aug,0.007268911,-0.030582893,38.8935,-78.1454
SCBI_FAGR,apr,0.192550988,0.010465368,38.8935,-78.1454
SCBI_FAGR,apr_jun_apr,0.032972162,0.039663356,38.8935,-78.1454
SCBI_FAGR,apr_jun,0.080907267,-0.000947525,38.8935,-78.1454
SCBI_FAGR,jun,0.073345685,-0.018883009,38.8935,-78.1454
SCBI_FAGR,apr_jun_jul_apr,0.001310778,0.072222678,38.8935,-78.1454
SCBI_FAGR,apr_jun_jul,0.003207039,-0.002009557,38.8935,-78.1454
SCBI_FAGR,jun_jul,0.002891205,-0.039388128,38.8935,-78.1454
SCBI_FAGR,apr_summer_apr,4.64E-05,0.095718946,38.8935,-78.1454
SCBI_FAGR,apr_summer,0.000112899,-0.002985942,38.8935,-78.1454
SCBI_FAGR,may_aug,7.63E-05,-0.058679177,38.8935,-78.1454
SCBI_CACO,apr,0.855423632,0.001217735,38.8935,-78.1454
SCBI_CACO,apr_jun_apr,0.001153821,0.049947175,38.8935,-78.1454
SCBI_CACO,apr_jun,0.000486813,-0.001562556,38.8935,-78.1454
SCBI_CACO,jun,0.000333738,-0.030969824,38.8935,-78.1454
SCBI_CACO,apr_jun_jul_apr,0.001913614,0.057739132,38.8935,-78.1454
SCBI_CACO,apr_jun_jul,0.001199109,-0.001813683,38.8935,-78.1454
SCBI_CACO,jun_jul,0.000901464,-0.035922942,38.8935,-78.1454
SCBI_CACO,apr_summer_apr,0.001498,0.062663541,38.8935,-78.1454
SCBI_CACO,apr_summer,0.000986928,-0.002127484,38.8935,-78.1454
SCBI_CACO,may_aug,0.000657771,-0.04216242,38.8935,-78.1454
HF_QURU,apr,0.157210476,-0.007637867,42.5388,-72.1755
HF_QURU,apr_jun_apr,0.384653658,0.011833698,42.5388,-72.1755
HF_QURU,apr_jun,0.121168088,-0.000717008,42.5388,-72.1755
HF_QURU,jun,0.086586687,-0.011511969,42.5388,-72.1755
HF_QURU,apr_jun_jul_apr,0.56475535,0.010696456,42.5388,-72.1755
HF_QURU,apr_jun_jul,0.303294177,-0.000647299,42.5388,-72.1755
HF_QURU,jun_jul,0.198548668,-0.011801856,42.5388,-72.1755
HF_QURU,apr_summer_apr,0.805118812,0.005133508,42.5388,-72.1755
HF_QURU,apr_summer,0.525409374,-0.000473931,42.5388,-72.1755
HF_QURU,may_aug,0.36761852,-0.00977756,42.5388,-72.1755
HF_ACRU,apr,0.014541603,-0.021125561,42.5388,-72.1755
HF_ACRU,apr_jun_apr,0.359834279,0.01962101,42.5388,-72.1755
HF_ACRU,apr_jun,0.040143955,-0.001500425,42.5388,-72.1755
HF_ACRU,jun,0.013940301,-0.026496737,42.5388,-72.1755
HF_ACRU,apr_jun_jul_apr,0.055544322,0.055230444,42.5388,-72.1755
HF_ACRU,apr_jun_jul,0.00612188,-0.00269577,42.5388,-72.1755
HF_ACRU,jun_jul,0.001188173,-0.04712963,42.5388,-72.1755
HF_ACRU,apr_summer_apr,0.733833241,0.011196111,42.5388,-72.1755
HF_ACRU,apr_summer,0.310473403,-0.001199421,42.5388,-72.1755
HF_ACRU,may_aug,0.128256582,-0.026574553,42.5388,-72.1755
Aquidneck_Rhode_Island_QURU,apr,0.250600145,-0.00761064,41.5692833,-71.2840333
Aquidneck_Rhode_Island_QURU,apr_jun_apr,0.03267939,0.034833665,41.5692833,-71.2840333
Aquidneck_Rhode_Island_QURU,apr_jun,0.004954226,-0.001562626,41.5692833,-71.2840333
Aquidneck_Rhode_Island_QURU,jun,0.003451759,-0.021075424,41.5692833,-71.2840333
Aquidneck_Rhode_Island_QURU,apr_jun_jul_apr,0.007387856,0.058723774,41.5692833,-71.2840333
Aquidneck_Rhode_Island_QURU,apr_jun_jul,0.001669401,-0.002327768,41.5692833,-71.2840333
Aquidneck_Rhode_Island_QURU,jun_jul,0.000664237,-0.032205665,41.5692833,-71.2840333
Aquidneck_Rhode_Island_QURU,apr_summer_apr,0.053718336,0.047206315,41.5692833,-71.2840333
Aquidneck_Rhode_Island_QURU,apr_summer,0.020638193,-0.002008304,41.5692833,-71.2840333
Aquidneck_Rhode_Island_QURU,may_aug,0.010281764,-0.027804844,41.5692833,-71.2840333
SIPSEY_WILDERNESS_CAGL,apr,0.635052478,0.004155111,34.357419,-87.427427
SIPSEY_WILDERNESS_CAGL,apr_jun_apr,0.000326384,0.053925803,34.357419,-87.427427
SIPSEY_WILDERNESS_CAGL,apr_jun,7.08E-05,-0.001538221,34.357419,-87.427427
SIPSEY_WILDERNESS_CAGL,jun,6.64E-05,-0.034609282,34.357419,-87.427427
SIPSEY_WILDERNESS_CAGL,apr_jun_jul_apr,0.000340959,0.06446947,34.357419,-87.427427
SIPSEY_WILDERNESS_CAGL,apr_jun_jul,0.000155174,-0.001868577,34.357419,-87.427427
SIPSEY_WILDERNESS_CAGL,jun_jul,0.000167538,-0.042440593,34.357419,-87.427427
SIPSEY_WILDERNESS_CAGL,apr_summer_apr,3.42E-06,0.091789936,34.357419,-87.427427
SIPSEY_WILDERNESS_CAGL,apr_summer,1.20E-06,-0.002895979,34.357419,-87.427427
SIPSEY_WILDERNESS_CAGL,may_aug,1.21E-06,-0.065949668,34.357419,-87.427427
"Arnot_Forest,_NY_QURU",apr,0.46351275,-0.004837254,42.27161667,-76.62676667
"Arnot_Forest,_NY_QURU",apr_jun_apr,0.002861754,0.058453048,42.27161667,-76.62676667
"Arnot_Forest,_NY_QURU",apr_jun,0.000691267,-0.002494507,42.27161667,-76.62676667
"Arnot_Forest,_NY_QURU",jun,0.000769075,-0.0295793,42.27161667,-76.62676667
"Arnot_Forest,_NY_QURU",apr_jun_jul_apr,0.000125247,0.097295257,42.27161667,-76.62676667
"Arnot_Forest,_NY_QURU",apr_jun_jul,3.60E-05,-0.00382592,42.27161667,-76.62676667
"Arnot_Forest,_NY_QURU",jun_jul,2.05E-05,-0.047965362,42.27161667,-76.62676667
"Arnot_Forest,_NY_QURU",apr_summer_apr,8.14E-05,0.104796035,42.27161667,-76.62676667
"Arnot_Forest,_NY_QURU",apr_summer,2.46E-05,-0.004464477,42.27161667,-76.62676667
