"tag","year","L","K","doy_ip","r","theta","a","b","ML_value","tag_year"
122482,2018,57.66706359,58.04178073,167.1001605,0.071666426,1.049944744,57.66736487,58.0417697,-19.195,"1224822018"
122482,2019,57.9578945,58.23382572,184.4207772,0.085692434,18.92885391,57.95912589,58.23318069,-18.9922,"1224822019"
82203,2011,61.10851017,61.62604961,191.6701957,0.096318508,22.52242174,61.12978471,61.62604961,-31.0296,"822032011"
82203,2012,61.58867464,61.95279585,206.3560083,0.069599389,22.82252464,61.59240545,61.95279363,-24.8108,"822032012"
82203,2013,61.93240972,62.37842821,184.9070527,0.080258708,2.012206075,61.93488372,62.37754028,-22.0151,"822032013"
82203,2014,62.77075058,63.11358548,174.5734179,0.077373431,0.828257323,62.77516804,63.10806679,-19.1056,"822032014"
82203,2015,63.11899206,63.59693902,205.2542205,0.059664929,4.718556894,63.1287462,63.59669082,-17.915,"822032015"
82203,2016,63.59137237,64.06167922,189.1512442,0.070687494,1.866890104,63.59267054,64.06125061,-20.5934,"822032016"
82203,2017,64.05011371,64.44534678,189.7585343,0.073681535,3.479085595,64.0549303,64.44533847,-15.1488,"822032017"
82203,2018,64.43717742,64.86688773,174.2311326,0.092338089,1.498423848,64.43772553,64.86648163,-18.8781,"822032018"
162543,2015,89.23664442,89.44176991,191.8954892,0.038445926,5.970722316,89.25646554,89.44134342,-17.949,"1625432015"
160910,2011,91.59587413,92.51262242,191.6286712,0.050198427,3.507768844,91.62,92.51181617,-28.7425,"1609102011"
160910,2012,92.45506318,93.33830665,176.0299367,0.054676072,1.411528473,92.46869766,93.33612349,-25.2482,"1609102012"
160910,2013,93.37996671,94.18637786,170.8124357,0.068948132,0.453007187,93.38523405,94.1800195,-21.0505,"1609102013"
160910,2014,97.3076192,98.19159251,190.1939559,0.060379861,1.322208022,97.30942198,98.18083121,-17.9497,"1609102014"
160910,2015,98.09132288,99.01641171,178.9717821,0.044175876,1.95622834,98.12335957,99.01468637,-17.535,"1609102015"
160910,2016,98.97514514,99.76937752,194.0689404,0.049000345,1.676058205,98.98642596,99.76467617,-20.1951,"1609102016"
160910,2017,99.69756028,100.394032,190.4484458,0.051136472,1.818136547,99.71575702,100.3804655,-15.0796,"1609102017"
160910,2018,100.3946165,101.0743154,187.8868419,0.05822695,2.572872501,100.4050698,101.0741234,-18.7886,"1609102018"
160910,2019,101.0608234,101.5431508,181.818495,0.073628265,2.088240273,101.0633439,101.5414368,-20.5881,"1609102019"
60458,2013,26.85476473,27.32361237,209.561896,0.057320078,5.874738707,26.95,27.32321377,-15.2048,"604582013"
60458,2014,27.36021623,27.82682067,207.799053,0.065445879,7.57165064,27.37259944,27.8266731,-18.8872,"604582014"
60458,2015,27.81966471,28.29399888,186.3869617,0.06352878,3.42217575,27.8289688,28.29392945,-17.903,"604582015"
60458,2016,28.29981741,28.76365126,214.3828982,0.062348809,10.07953319,28.3089881,28.76356449,-20.702,"604582016"
60458,2017,28.75830081,29.15499004,204.8837722,0.064883937,10.65997258,28.77015256,29.15496882,-15.1505,"604582017"
60458,2018,29.16419032,29.59589204,197.0316663,0.063101603,6.319715652,29.17049181,29.58997024,-19.174,"604582018"
60458,2019,29.5715443,30.03224227,189.8068632,0.058324507,3.336027325,29.57473246,30.01988576,-20.4793,"604582019"
60459,2013,9.919665197,10.15967547,226.7734776,0.045838727,6.703758714,9.97,10.15854232,-15.2089,"604592013"
60459,2014,9.95520199,10.44597436,203.1353838,0.037807426,1.390446515,9.975566412,10.4370024,-19.1884,"604592014"
60459,2016,10.62919263,10.94310331,236.339972,0.039090431,6.053817211,10.64344991,10.94072602,-20.6766,"604592016"
60459,2018,11.01392953,11.25768207,181.9513053,0.056590812,1.725097564,11.01916485,11.25759218,-19.3151,"604592018"
60459,2019,11.26908762,11.36942424,189.0718462,0.113927487,38.14371744,11.27000059,11.36942424,-20.7001,"604592019"
60462,2013,20.86910626,21.32971726,209.8465373,0.057412839,4.971102128,20.95,21.32925095,-15.2062,"604622013"
60462,2014,21.33470523,21.78852967,205.3884584,0.068392141,6.574691649,21.34086791,21.78842283,-19.2821,"604622014"
60462,2015,21.79276654,22.28716716,195.3191627,0.061275951,3.70239869,21.80005182,22.28701579,-17.8531,"604622015"
60462,2016,22.28059406,22.8064001,215.7115254,0.052670088,5.559558968,22.28588042,22.80589403,-20.7053,"604622016"
60462,2017,22.80219963,23.2048771,183.1750306,0.062077842,1.013183458,22.81636858,23.20479575,-15.1774,"604622017"
60462,2018,23.21451544,23.68036045,191.2020149,0.058690768,1.525047658,23.21941881,23.67555356,-19.2657,"604622018"
60462,2019,23.68573423,24.15253098,210.3961339,0.074099048,20.42122304,23.69349326,24.15251674,-20.5522,"604622019"
92139,2013,11.1205303,11.1528442,151.255369,0.070595922,2.622249312,11.12100419,11.15267617,-22.0727,"921392013"
92139,2015,11.38679461,11.43563688,152.454523,0.061206342,8.630216807,11.39338885,11.43538758,-17.9786,"921392015"
92139,2018,11.56152792,11.5926772,145.0808424,0.038073749,0.154163297,11.56305306,11.5910482,-19.3281,"921392018"
181030,2011,74.34226663,74.75780073,183.2914396,0.029910005,3.150893981,74.4,74.75297307,-31.6149,"1810302011"
181030,2013,75.10828945,75.43139989,181.9651382,0.046953075,2.83595065,75.12522627,75.43099399,-22.0335,"1810302013"
181030,2014,76.47117835,76.89152785,166.4580366,0.032065425,1.849991088,76.5228624,76.88369789,-19.3007,"1810302014"
181030,2015,76.83930334,77.15303789,163.4265413,0.037547848,2.719970015,76.88162564,77.15249298,-17.9707,"1810302015"
181030,2017,77.61455016,77.78212869,252.9885928,0.038944735,9.493814025,77.61998369,77.7807896,-15.1879,"1810302017"
181030,2018,77.75232104,78.16007286,149.1700869,0.036555488,0.589790396,77.77349548,78.15223676,-18.8137,"1810302018"
172470,2011,66.60703223,67.66972986,166.3927671,0.041321218,2.691120166,66.7,67.66952122,-31.3448,"1724702011"
172470,2013,68.5283869,69.42473777,188.4523167,0.040007071,2.691469966,68.57653112,69.41682245,-21.2644,"1724702013"
172470,2014,70.92744179,71.79945659,174.5955266,0.032405977,1.903905521,71.01232514,71.77251388,-18.8746,"1724702014"
172470,2015,71.73967886,72.54814105,184.3035871,0.043251168,2.30446768,71.76646271,72.54344312,-17.7831,"1724702015"
172470,2016,72.75109617,73.20510714,201.7122688,0.037740202,2.585448033,72.7725878,73.20124865,-20.6562,"1724702016"
172470,2017,73.15298992,73.88253956,165.6914324,0.029142602,1.355548142,73.29997927,73.87512359,-15.1601,"1724702017"
172470,2018,73.87327315,74.80275967,179.6864048,0.035865356,1.410955464,73.89775885,74.79534565,-18.8909,"1724702018"
172470,2019,74.84386637,75.85367226,190.0745471,0.04028022,3.884007425,74.9171577,75.85160138,-20.0274,"1724702019"
190067,2011,69.05160709,69.57502412,189.246194,0.066165046,4.151465038,69.07998428,69.57502088,-31.1274,"1900672011"
190067,2012,69.50826855,70.11885676,144.7686553,0.060729265,0.332046628,69.51988921,70.11849177,-24.7199,"1900672012"
190067,2013,70.08443708,70.58494993,204.4798302,0.082335488,13.29407202,70.08790811,70.58493767,-21.8754,"1900672013"
190067,2014,72.58087385,73.11123589,171.8932564,0.054399157,0.437895148,72.58667301,73.10234497,-18.869,"1900672014"
190067,2015,73.03442859,73.62138183,192.3755643,0.073878051,5.848634841,73.04417815,73.62135914,-17.6207,"1900672015"
190067,2016,73.54817873,73.99359545,174.8138362,0.060181643,1.197760171,73.55306036,73.9931558,-20.3074,"1900672016"
190067,2017,73.91486048,74.37478541,198.0610864,0.043670006,2.726112697,73.93852535,74.37396559,-15.1692,"1900672017"
190067,2018,74.35545321,74.83903818,199.840421,0.081278015,14.03210381,74.35936326,74.83678195,-18.4509,"1900672018"
72324,2011,64.45911585,64.99042348,172.9187956,0.074773811,2.679571232,64.48,64.9904231,-30.2478,"723242011"
72324,2012,64.9760702,65.47775472,189.7922075,0.054916004,3.136810273,64.98869321,65.47688298,-23.4165,"723242012"
72324,2013,65.45598957,66.18208845,184.3810221,0.069098136,1.709099355,65.4643594,66.18196298,-21.7787,"723242013"
72324,2014,66.71998778,67.28424277,187.9233843,0.074728211,2.688333533,66.73177465,67.28419439,-18.9136,"723242014"
72324,2015,67.26308191,67.75706764,203.3743788,0.071475646,11.42900217,67.27199322,67.75703946,-17.7806,"723242015"
72324,2016,67.74532011,68.15510934,194.2618621,0.084506464,4.992523482,67.74587056,68.15142324,-20.5306,"723242016"
72324,2017,68.10815312,68.55481437,186.8116364,0.067044915,3.026101465,68.11498291,68.54789567,-15.1487,"723242017"
72324,2018,68.54017999,68.94268103,200.1311301,0.062913679,3.756465697,68.5421307,68.93760779,-19.2644,"723242018"
72324,2019,68.88781699,69.34266236,206.3723936,0.086497699,30.45025859,68.88930228,69.34266045,-20.6459,"723242019"
142380,2012,55.13179961,55.61478501,169.2698687,0.034462217,1.793684395,55.16324308,55.60949591,-22.8258,"1423802012"
142380,2013,55.5704175,56.07837204,182.9246991,0.041114602,3.188500798,55.6023658,56.07718346,-21.9743,"1423802013"
142380,2014,57.3839774,58.04454441,171.0122722,0.031189162,2.788836546,57.49257557,58.02940862,-19.1194,"1423802014"
142380,2015,57.89503442,58.36478397,172.0801855,0.028919977,3.162616579,57.99491942,58.36171517,-17.902,"1423802015"
30339,2013,14.82585769,14.91557695,202.60801,0.11357031,6.862004272,14.82814287,14.91254772,-16.5835,"303392013"
30339,2014,58.77605146,59.13964652,196.1866865,0.071689448,3.051651459,58.78420284,59.13957672,-19.0685,"303392014"
30339,2015,59.12313184,59.55037907,216.5514125,0.063011679,7.850698228,59.12936808,59.55018509,-17.8196,"303392015"
30339,2016,59.48749075,59.96761139,202.2470824,0.05044903,1.997210339,59.49195626,59.96459161,-20.577,"303392016"
30339,2017,59.90858117,60.38010132,194.365147,0.049891449,1.548633757,59.91820113,60.37952479,-15.074,"303392017"
30339,2018,60.32487612,60.69754843,194.6346509,0.049299881,1.318491702,60.32582883,60.69128324,-19.2887,"303392018"
30339,2019,60.61386343,61.14908741,136.7331553,0.068391549,0.037116755,60.61868778,61.12515412,-20.0714,"303392019"
172202,2011,53.87997519,54.0065906,213.1290691,0.045927061,3.459993235,53.88107731,54.00472086,-31.6975,"1722022011"
172202,2013,54.26204073,54.37699101,99.18024494,0.08565563,0.014350254,54.272345,54.37100795,-21.9541,"1722022013"
172202,2014,55.49302127,55.83778935,133.8541239,0.046238719,0.667309055,55.51647882,55.8347122,-17.8013,"1722022014"
172202,2015,55.84249124,56.17092752,185.5453433,0.034907536,2.784099994,55.86974636,56.16917632,-17.969,"1722022015"
172202,2019,57.08681228,57.4482976,197.9387154,0.038375255,17.06407703,57.16382498,57.44759933,-20.5421,"1722022019"
82365,2013,43.18994573,43.38422908,180.1833241,0.044249862,2.185788795,43.19827183,43.38059643,-22.0858,"823652013"
82365,2014,43.77771548,43.99314192,161.7085632,0.029723559,1.887332843,43.81086962,43.9874493,-19.3423,"823652014"
82365,2016,44.1172711,44.27954389,115.7162237,0.030790852,0.401086235,44.14711983,44.27649605,-20.6616,"823652016"
82365,2018,44.37161588,44.49152244,172.8296584,0.050826229,4.279169747,44.37982943,44.49149871,-19.2774,"823652018"
82365,2019,44.46878019,44.55194986,123.231219,0.087152281,0.393172979,44.47269806,44.55194984,-20.6198,"823652019"
