tag,year,L,K,doy_ip,r,theta,a,b
192244,2011,422.88643440845607,425.01263642872277,194.1258046307933,0.03404820071008754,2.195572852258454,423,424.97496493023436
192244,2012,424.5516883776414,428.99929495247267,186.41665516866925,0.033502945140420584,3.7806357200381955,424.9712995328401,428.9539049335106
192244,2013,428.69162617364816,432.3515623993985,190.18590056437685,0.047155314302904615,4.174193924117253,428.8229156518222,432.3047855536264
192244,2014,442.46200854305386,447.55607512123527,179.87772320768036,0.02520179742719361,2.84124572866937,443.5345376533009,447.4268296242366
80628,2011,532.7583548864338,534.0395862290121,216.0314501093036,0.027852952080975643,6.824662893082444,532.8,534.0349779060447
132539,2011,582.8321490614121,586.9115693369037,163.5160476842217,0.09293860651292868,3.03530610303353,583.0003344548047,586.911569293075
132539,2012,585.7573723049277,592.6150529980436,182.55084817484553,0.033491991110849814,1.7282146772159002,586.3175041345921,592.5874307715951
132539,2013,591.6166218307675,594.5070587654367,170.20050744365986,0.09762986441911602,2.0427322053456485,591.6455310378252,594.4524616947184
132539,2014,604.5419123347135,608.8479304501591,185.590533049905,0.06022717244193934,1.7079933167078567,604.5601010052422,608.8453671500149
132539,2015,608.8498756327585,610.9888338383736,191.86820265635168,0.08210551063203742,1.6572843596801614,608.8505214073408,610.9247157494121
132539,2016,613.3677625597938,616.5122673236997,194.48541463892275,0.08284327166828942,5.651249889208874,613.3728400568916,616.4854385004103
132539,2017,616.0753324155855,621.3210427352194,162.32720813479366,0.1548944437646268,6.015518915735626,616.2651617216346,621.32104273519
132539,2018,620.8064605168389,625.0181326896552,179.26882418543897,0.10943028319063117,2.72639926320318,620.82440135024,625.0181319296438
132539,2019,624.6314327177839,627.5604274858597,168.55091817533452,0.11574903079752101,3.244621091261017,624.6321882864618,627.5485134308985
72308,2011,652.9016660777492,654.5861429119419,162.69893459639985,0.049641369070048215,2.872118128086097,652.904825551143,654.585112573403
72308,2013,655.405582595799,657.2157118732027,166.50407987918356,0.06336139114162584,3.326953277744728,655.4802026417299,657.2103867575582
72308,2014,652.3845866466536,655.9337833750983,102.980524797984,0.024904414059825762,1.7408926644938778,654.2095653995565,655.8758201359592
72308,2015,653.5489241216978,657.034822048988,146.01692343538417,0.019705295452113164,4.652551642849888,655.581167308903,657.0030875000818
72308,2016,472.840204208087,658.5514639864504,179.2297731982632,0.012402937429653975,273.1876360929215,656.6854100774743,658.4253532248106
102177,2011,682.8691787213538,689.3368825642435,290.97138410772675,0.01472662546948372,9.023632674011033,685,688.8889855906083
102177,2012,687.9980171633342,691.8892485702831,168.24439946907148,0.034339625828045096,3.300435206816683,688.4756572114629,691.8852759739445
102177,2013,691.8815115689403,695.290914307759,180.4759252103832,0.05263756673970991,2.358143593868606,691.9829011253777,695.2841530048169
102177,2014,702.4216097313015,707.2013213863588,161.50590616222658,0.03969086921872106,1.7036288377134738,702.7999878,707.1739730642436
102177,2015,706.9393227957216,710.3736434807117,165.95124307053513,0.03876738673334174,2.295467615131356,707.2729711902289,710.3670938766433
102177,2016,709.8097701316512,713.7755399065067,185.59226797199543,0.03309820170175641,3.963057046284704,710.5011319540403,713.7617794296616
102177,2017,712.1425376951986,717.1208609936532,201.0196924071415,0.02621741604425545,8.05207828332112,714.1971026762532,717.0929739569592
102177,2018,716.7402674804206,719.3003971114971,160.01014453179073,0.045964799788320854,2.0193864577219656,716.8741226395138,719.292747471122
192466,2011,779.5289632826564,785.4746365211677,172.36750877398055,0.04064768345837786,2.918748399156907,780,785.4654613211591
192466,2012,783.7958634633035,791.9459194076524,177.80201813850078,0.025491175738488595,3.9752318928203727,785.647836057315,791.8701489016881
192466,2013,791.9689806794395,797.3809944518778,171.9059435457786,0.06462196928830172,4.985192708092529,792.0307241007279,797.3783478666055
192466,2014,808.6556924274545,814.4704101745242,172.2649720714736,0.042351204267986636,1.8247988821751746,809,814.4561923369325
192466,2015,813.9521500494836,821.9733220878652,175.54677691988968,0.03757050974314827,2.0846072864298044,814.5107784767432,821.9049650940706
192466,2016,822.5109520894093,826.8360066714386,201.27404709579176,0.04647127529589711,2.8705436643247766,822.6064034644788,826.8079520411497
192466,2017,825.7854398810016,832.5034277226215,193.06305454555334,0.03028680929148351,4.482486116958845,827.4981763622312,832.4542442108145
192466,2018,832.0429516139291,837.9389871677703,174.96983352047235,0.0400173604231485,2.582574209221037,832.4443935208573,837.9295178590445
192466,2019,837.1780777093607,842.856555368116,165.27524493428965,0.0465681790643358,3.1260943579729465,837.674125414262,842.7841989426178
192619,2011,749.272317160352,752.2209459677824,189.9932173256771,0.05234280746531181,3.1486185178561272,749.4994550656959,752.2199613138673
192619,2012,752.1172826172855,758.2208555209463,173.270749643671,0.03524652824130809,2.932747611986168,752.362985399108,758.1939055071755
192619,2013,758.215623454716,763.3158734291003,172.75092474708254,0.0613839110501464,4.217515304497159,758.2789068600833,763.3119878512581
192619,2014,786.2262420394638,792.3441476411473,170.201630467131,0.027917788659736258,1.7940847322024582,787.1195296731478,792.2073146508186
192619,2015,792.1544586261978,799.1051655100016,180.3731607068723,0.03459209938726917,1.7852601707995892,792.6129534902504,799.0076471375681
192619,2016,800.2617241992242,806.779745531547,195.33603566050783,0.03889916182479621,2.4953546928039514,800.5982124100489,806.7395845140136
192619,2017,807.3371230634493,813.5042692123857,188.45782991994466,0.03642322498072662,3.004955884213026,808.1894597990469,813.3765419924131
192619,2018,813.081947253809,817.8688166464493,193.7861201874634,0.028445124703131392,2.1018148531948944,813.4529169181783,817.791192908966
