"tot","perc","tag","DOY","sp","year","dbh","max_rate_DOY","max_rate","wood_type"
0.31617789541264,0.5,"A111","156","acerru",1998,18.45917882,157,0.0032480692566601,"diffuse-porous"
0.31617789541264,0.75,"A111","183","acerru",1998,18.45917882,157,0.0032480692566601,"diffuse-porous"
0.0138290380512167,0.25,"A115","218","acerru",1998,22.12063302,294,8.17588327812757e-05,"diffuse-porous"
0.0138290380512167,0.5,"A115","270","acerru",1998,22.12063302,294,8.17588327812757e-05,"diffuse-porous"
0.0138290380512167,0.75,"A115","313","acerru",1998,22.12063302,294,8.17588327812757e-05,"diffuse-porous"
0.0191536396890655,0.25,"A117","178","acerru",1998,18.56189226,184,0.00117409495497611,"diffuse-porous"
0.0191536396890655,0.5,"A117","183","acerru",1998,18.56189226,184,0.00117409495497611,"diffuse-porous"
0.0191536396890655,0.75,"A117","187","acerru",1998,18.56189226,184,0.00117409495497611,"diffuse-porous"
0.15194422164328,0.25,"A118","162","acerru",1998,26.13068979,176,0.00307868436235736,"diffuse-porous"
0.15194422164328,0.5,"A118","175","acerru",1998,26.13068979,176,0.00307868436235736,"diffuse-porous"
0.15194422164328,0.75,"A118","189","acerru",1998,26.13068979,176,0.00307868436235736,"diffuse-porous"
0.0850649120374758,0.25,"A225","162","acerru",1998,14.12737371,174,0.00210417160436727,"diffuse-porous"
0.0850649120374758,0.5,"A225","173","acerru",1998,14.12737371,174,0.00210417160436727,"diffuse-porous"
0.0850649120374758,0.75,"A225","184","acerru",1998,14.12737371,174,0.00210417160436727,"diffuse-porous"
0.129095491228226,0.25,"A227","152","acerru",1998,10.66946902,164,0.00322561894076756,"diffuse-porous"
0.129095491228226,0.5,"A227","163","acerru",1998,10.66946902,164,0.00322561894076756,"diffuse-porous"
0.129095491228226,0.75,"A227","174","acerru",1998,10.66946902,164,0.00322561894076756,"diffuse-porous"
0.127417719832927,0.25,"A229","151","acerru",1998,15.63971833,169,0.00214202194325708,"diffuse-porous"
0.127417719832927,0.5,"A229","168","acerru",1998,15.63971833,169,0.00214202194325708,"diffuse-porous"
0.127417719832927,0.75,"A229","184","acerru",1998,15.63971833,169,0.00214202194325708,"diffuse-porous"
0.0877400640774511,0.25,"A230","176","acerru",1998,22.57171998,186,0.0024445606673531,"diffuse-porous"
0.0877400640774511,0.5,"A230","185","acerru",1998,22.57171998,186,0.0024445606673531,"diffuse-porous"
0.0877400640774511,0.75,"A230","195","acerru",1998,22.57171998,186,0.0024445606673531,"diffuse-porous"
0.0358657532351376,0.25,"A356","190","acerru",1998,11.2194885,200,0.00115592731149583,"diffuse-porous"
0.0358657532351376,0.5,"A356","199","acerru",1998,11.2194885,200,0.00115592731149583,"diffuse-porous"
0.0358657532351376,0.75,"A356","207","acerru",1998,11.2194885,200,0.00115592731149583,"diffuse-porous"
0.0748957366143586,0.25,"A360","149","acerru",1998,20.62228167,166,0.00127233712182928,"diffuse-porous"
0.0748957366143586,0.5,"A360","165","acerru",1998,20.62228167,166,0.00127233712182928,"diffuse-porous"
0.0748957366143586,0.75,"A360","181","acerru",1998,20.62228167,166,0.00127233712182928,"diffuse-porous"
0.247060450737582,0.25,"A366","125","acerru",1998,24.29296705,155,0.00239634584134762,"diffuse-porous"
0.247060450737582,0.5,"A366","154","acerru",1998,24.29296705,155,0.00239634584134762,"diffuse-porous"
0.247060450737582,0.75,"A366","182","acerru",1998,24.29296705,155,0.00239634584134762,"diffuse-porous"
0.144445813143644,0.25,"A367","103","acerru",1998,12.07144578,152,0.000740878724126759,"diffuse-porous"
0.144445813143644,0.5,"A367","155","acerru",1998,12.07144578,152,0.000740878724126759,"diffuse-porous"
0.144445813143644,0.75,"A367","209","acerru",1998,12.07144578,152,0.000740878724126759,"diffuse-porous"
0.0798163430752084,0.25,"A369","83","acerru",1998,13.19928167,147,0.000499675381721687,"diffuse-porous"
0.0798163430752084,0.5,"A369","111","acerru",1998,13.19928167,147,0.000499675381721687,"diffuse-porous"
0.0798163430752084,0.75,"A369","139","acerru",1998,13.19928167,147,0.000499675381721687,"diffuse-porous"
0.124879013449593,0.25,"B1152","167","acerru",1998,15.19484919,182,0.00249567741130541,"diffuse-porous"
0.124879013449593,0.5,"B1152","181","acerru",1998,15.19484919,182,0.00249567741130541,"diffuse-porous"
0.124879013449593,0.75,"B1152","195","acerru",1998,15.19484919,182,0.00249567741130541,"diffuse-porous"
0.607629378880738,0.25,"B1156","135","acerru",1998,33.70123022,160,0.00694559266973727,"diffuse-porous"
0.607629378880738,0.5,"B1156","159","acerru",1998,33.70123022,160,0.00694559266973727,"diffuse-porous"
0.607629378880738,0.75,"B1156","183","acerru",1998,33.70123022,160,0.00694559266973727,"diffuse-porous"
0.0689096670877589,0.25,"B1159","147","acerru",1998,28.36371338,159,0.00169878435951887,"diffuse-porous"
0.0689096670877589,0.5,"B1159","158","acerru",1998,28.36371338,159,0.00169878435951887,"diffuse-porous"
0.0689096670877589,0.75,"B1159","169","acerru",1998,28.36371338,159,0.00169878435951887,"diffuse-porous"
0.0618112946514628,0.25,"B1160","112","acerru",1998,34.75511626,160,0.00034001235137282,"diffuse-porous"
0.0618112946514628,0.5,"B1160","161","acerru",1998,34.75511626,160,0.00034001235137282,"diffuse-porous"
0.0618112946514628,0.75,"B1160","211","acerru",1998,34.75511626,160,0.00034001235137282,"diffuse-porous"
0.0392980405720351,0.25,"B1161","89","acerru",1998,18.4021557,154,0.000120335737790356,"diffuse-porous"
0.0392980405720351,0.5,"B1161","171","acerru",1998,18.4021557,154,0.000120335737790356,"diffuse-porous"
0.0392980405720351,0.75,"B1161","257","acerru",1998,18.4021557,154,0.000120335737790356,"diffuse-porous"
0.0753120313348283,0.25,"B1162","151","acerru",1998,31.52753851,176,0.000875416964095876,"diffuse-porous"
0.0753120313348283,0.5,"B1162","175","acerru",1998,31.52753851,176,0.000875416964095876,"diffuse-porous"
0.0753120313348283,0.75,"B1162","199","acerru",1998,31.52753851,176,0.000875416964095876,"diffuse-porous"
0.0195820064547725,0.25,"B2185","151","acerru",1998,13.83454673,207,0.000103920651836731,"diffuse-porous"
