"Number","Location","Species","Wood Type","CTW Tmin","CTW Tmax","Latitude","Longitude","Slope April - April:June-July Tmax","P-value April - April:June-July Tmax","Slope June-July - April:June-July Tmax","P-value June-July - April:June-July Tmax"
1,"Sheridan Mountain, VT","Quercus rubra","RP",-2.738655512,7.864706013,44.5284,-71.63805,0.00165473516736303,0.776997864750613,0.00467298357874145,0.70582446406321
2,"Goodnow Mountain, NY","Quercus rubra","RP",-3.69411771,8.826890937,43.9077167,-74.2180333,0.00906874790815367,0.225838752495473,-0.0273165761980014,0.0544707584785418
3,"UMB Flux Site, MI","Quercus rubra","RP",-1.488235324,10.05546234,45.5598,-84.7138,0.00552007905536502,0.455407004225373,-0.0132776398563086,0.28290054591697
4,"Rooster Hill, RH","Quercus rubra","RP",-1.457983214,10.80420183,43.23138,-74.52254,-0.0016049186594917,0.758593362909942,-0.00433279474163933,0.656082661530966
5,"Lake George, NY","Quercus velutina","RP",-1.120168085,11.27815145,43.6844,-73.6024667,-0.0038262679709205,0.621552122361958,-0.0438944961324572,0.00397375587737982
6,"Winooski, VT","Carya ovata","RP",0.34201681,11.7327733,44.555753,-73.113145,0.00714318528985745,0.367141236541213,-0.0484672793761562,0.00110561890323678
7,"Winooski, VT","Quercus alba","RP",0.34201681,11.7327733,44.555753,-73.113145,0.0122754455698283,0.215677300474142,-0.0600099364626763,0.00122031898627116
8,"Winooski, VT","Quercus mongolica","RP",0.34201681,11.7327733,44.555753,-73.113145,0.00688678686737024,0.44592177511986,-0.0333111740169174,0.0457314396623808
9,"Pine Lake, NY","Quercus rubra","RP",-0.775630267,11.97563046,42.4713333,-74.9258167,0.000867335051977736,0.888980851619046,-0.0418898325846237,0.000556096846692241
10,"Zoar Lick, NY","Quercus rubra","RP",-0.576470595,12.01680692,42.4230333,-78.8945,-0.00495343337008785,0.433179580795435,-0.0428598649467589,0.000496950067529424
11,"Singer Farm, NY","Quercus rubra","RP",2.115126085,12.03613465,43.3496333,-78.6612333,-0.00431053681673904,0.46405819218126,-0.0166204121145358,0.11148010182734
12,"Warren Cutler Boy Scout Res., NY","Quercus rubra","RP",1.136134473,12.20504229,42.68245,-77.4299667,-0.00624501989328761,0.309658848131036,-0.0327215723186701,0.00427877362015406
13,"Arnot Forest, NY","Quercus rubra","RP",0.464705888,12.26386578,42.2716167,-76.6267667,0.000256895336651315,0.966836112384038,-0.0480518489005536,2.98521087040397e-05
14,"Goose Egg Ridge, NY","Quercus rubra","RP",-0.589915974,12.47479012,43.0683333,-73.29,-0.0132781144408779,0.0223753994863432,-0.0242496734670267,0.0305327731977959
15,"Goose Egg Ridge, NY","Quercus alba","RP",-0.589915974,12.47479012,43.0683333,-73.29,-0.00524405604031338,0.440717439960089,-0.0494530221410457,0.000251183762904051
16,"Goose Egg Ridge, NY","Quercus mongolica","RP",-0.589915974,12.47479012,43.0683333,-73.29,-0.00907346404819738,0.197824636192773,-0.0344540323189748,0.0119216023523183
17,"Stott Farm, Argyle, NY","Carya glabra","RP",-0.589915974,12.47479012,43.188,-73.4988333,0.00366596943791535,0.545543635828425,-0.0569848136005777,3.45729800928464e-06
18,"Breglia Cliffs, NY","Quercus mongolica","RP",-0.00504202,12.62521026,42.6085833,-74.31815,0.00221520147910292,0.6928395536819,-0.0393149109603018,0.000420795300570713
19,"Curtiss-Gale Wildlife Preserve, NY","Quercus rubra","RP",2.210084064,12.6537817,43.2885833,-76.3885333,-0.00377680766714148,0.519980139742224,-0.0249228989979631,0.017230436072124
20,"Whiskey Hollow, NY","Quercus mongolica","RP",2.210084064,12.6537817,43.119135,-76.386846,0.0042738822063765,0.568099707436903,-0.042290555543499,0.00170839740990505
21,"Mt.Agamenticus, ME","Quercus mongolica","RP",0.568907573,12.9504204,43.22805,-70.6892,-0.000522760959341043,0.952278973851214,-0.0292980331507835,0.0197187147412853
22,"Prospect Mountain, NY","Carya ovata","RP",0.289915971,13.01764731,43.4216667,-73.57,-0.00828968239153887,0.22728325677668,-0.0375268438338374,0.00473894460581851
23,"Prospect Mountain, NY","Quercus rubra","RP",0.289915971,13.01764731,43.4182667,-73.7550833,-0.00472316733561967,0.377468388797034,-0.0339561109541933,0.00115043073949877
24,"Wachusett Mountain, MA","Quercus rubra","RP",1.826890791,13.08067246,42.49,-71.88,-0.00981007600190569,0.124598553556736,-0.00813318258005315,0.416254674552563
25,"Mashomack Preserve, NY","Quercus stellata","RP",3.164705937,13.20840353,41.0415,-72.2845333,0.00776029333491253,0.323106431198709,-0.0127190962057116,0.303280851439237
26,"Aquidneck, RH","Quercus rubra","RP",2.895798365,13.45042037,41.5692833,-71.2840333,-0.00118207484959273,0.857921796745143,-0.0316911429925108,0.00140701686045141
27,"New Port, RI","Quercus alba","RP",2.895798365,13.45042037,41.557004,-71.26675,-0.00616842778666972,0.405544899539146,-0.00967058310215745,0.369824488834049
28,"Mohawk Trail St.Forest, MA","Quercus rubra","RP",1.46470591,13.91260528,42.0609,-72.3009,-0.0208243638105708,0.570315766946957,-0.0404536120158623,0.498878208338786
29,"Lisha Kill, NY","Carya glabra","RP",1.743697508,14.27142882,42.7949667,-73.86005,-0.0029755107568533,0.617643264986071,-0.0485372665403861,4.83385183399013e-05
30,"Lisha Kill, NY","Quercus alba","RP",1.743697508,14.27142882,42.7914667,-73.85855,-0.0153912247250475,0.00771366733157731,-0.027256713120196,0.0138286646697333
31,"Harvard Forest, MA","Fraxinus americana","RP",0.596638667,14.38823551,42.53,-72.18,0.00148460886960105,0.830651648896586,0.0183605769581539,0.124041938628013
32,"Harvard Forest, MA","Quercus rubra","RP",0.596638667,14.38823551,42.5388,-72.1755,-0.00926159045581991,0.125376242706115,0.000620076293732876,0.951576424268985
33,"Harvard Forest LyfordPlots, MA","Quercus rubra","RP",0.5966387,14.388236,42.5388,-72.1755,-0.00926159045581991,0.125376242706115,0.000620076293732876,0.951576424268985
34,"NorthRoundPondPlot2, NH","Fraxinus americana","RP",0.596638667,14.38823551,42.84771,-72.4475,0.00017286963466346,0.977239575258071,-0.004390097131364,0.69041463707101
35,"NorthRoundPondPlot3, NH","Quercus rubra","RP",0.596638667,14.38823551,42.84417,-72.44976,-0.000311034606885286,0.952976866677133,-0.0213202194110157,0.0187766442369948
36,"Alan Seeger Natural Area, PA","Quercus alba","RP",2.962184931,14.68739521,40.69,-77.75,0.00433500398600142,0.505282442913159,-0.0336508516457201,0.00205870284554526
37,"Alan Seeger Natural Area, PA","Quercus rubra","RP",2.962184931,14.68739521,40.69,-77.75,-0.00312748278597262,0.658575281561537,-0.0419427068800842,0.000453725538517499
38,"Douglas, IN","Quercus alba","RP",2.373109279,14.69411787,41.518301,-84.866101,0.0032147020998335,0.574352678600619,-0.0379759522539246,2.16470946595627e-05
39,"Bronx, Hunter Island, NY","Quercus stellata","RP",5.645378253,14.79075655,40.8754556,-73.7900333,-0.00534574797369848,0.481230643663913,-0.0309398705817473,0.0104090197761949
40,"Montgomery Place, NY","Quercus mongolica","RP",1.978151285,14.80504227,42.0088,-73.91875,-0.00285628060175706,0.806939877981722,0.00121976997123847,0.954965120312635
41,"Montgomery Place, NY","Quercus rubra","RP",1.978151285,14.80504227,42.0088,-73.91875,0.00209103586634416,0.7439837456512,-0.0294321008276384,0.0147603653525506
42,"Rams Horn Swamp, NY","Quercus alba","RP",1.978151285,14.80504227,42.19942,-73.864775,0.0053628505716008,0.491188634881705,-0.0211413114639989,0.145130862572737
43,"Goll, OH","Carya ovata","RP",2.358823565,15.05798349,41.553988,-84.36205,0.0105413611878459,0.049167792324461,-0.0390558535206078,4.4167967317819e-06
44,"Goll, OH","Quercus alba","RP",2.358823565,15.05798349,41.553988,-84.36205,0.00182381196831479,0.740565677814391,-0.0573900188917962,3.8819417211656e-10
45,"Johnson State Nature Preserve, OH","Carya ovata","RP",3.273949632,15.13697507,40.88,-81.75,0.00232134969166494,0.573276257091729,-0.0346867976317493,2.66198764213583e-06
46,"Johnson State Nature Preserve, OH","Quercus alba","RP",3.273949632,15.13697507,40.88,-81.75,-0.0141096969972912,0.0179858313456221,-0.0418368239676884,6.35886653510585e-05
47,"Johnson State Nature Preserve, OH","Quercus rubra","RP",3.273949632,15.13697507,40.88,-81.75,-0.0020309027675843,0.699678090360702,-0.00781618527727782,0.384993757743804
48,"Black Rock Blueberry Fields, Black Rock Forest, NY","Quercus rubra","RP",2.657142908,15.21680694,41.383,-74.017,-0.0261174002946946,0.415129306437974,0.0298285185997524,0.566909270454726
49,"Black Rock Lucky Streak Red, Black Rock Forest, NY","Quercus rubra","RP",2.657142908,15.21680694,41.383,-74.017,-0.0261174002946946,0.415129306437974,0.0298285185997524,0.566909270454726
50,"Schunemunk, NY","Quercus alba","RP",2.657142908,15.21680694,41.37607,-74.115522,-0.0129990260532288,0.0589109318208324,-0.0237619927145933,0.0346187426322617
51,"Uttertown, NJ","Quercus rubra","RP",2.657142908,15.21680694,41.1170667,-74.4169833,0.00553489813152077,0.477851826291345,-0.0425879105300112,0.001112896521952
52,"Mohonk Preserve, Lenape Lane, NY","Quercus mongolica","RP",2.052941208,15.30000031,41.7638,-74.12465,-0.00658953097377657,0.367351278514591,-0.0332425720952316,0.00787299910515111
53,"Mohonk Preserve, Lenape Lane, NY","Quercus velutina","RP",2.052941208,15.30000031,41.7638,-74.12465,-0.00104543319676283,0.866348171685013,-0.0431391676677294,7.46571870964624e-05
54,"Mohonk Preserve, Bonticou Crag, NY","Carya glabra","RP",2.052941208,15.30000031,41.8012,-74.1056833,0.00367149086033469,0.62653077350981,-0.0406158094654939,0.00181048458770155
55,"Palmaghatt5, NY","Quercus mongolica","RP",2.052941208,15.30000031,41.705475,-74.251715,0.00115489612198829,0.891698006852637,-0.0535557045570208,0.000267390517415872
56,"Palmaghatt5, NY","Quercus rubra","RP",2.052941208,15.30000031,41.705475,-74.251715,0.00378332543118547,0.577974509222037,-0.0532498009700555,8.44709875901009e-06
57,"Oppenheim, IN","Carya ovata","RP",3.526890805,15.4151263,41.339479,-85.763455,0.00648753005710335,0.289682468212702,-0.0336748541001445,0.000439798775246975
58,"Oppenheim, IN","Quercus rubra","RP",3.526890805,15.4151263,41.339479,-85.763455,-0.00127814671304829,0.840324592796499,-0.00525745409911715,0.586963353745656
59,"DaveyWoods, OH","Quercus rubra","RP",2.831932815,15.55714315,40.137556,-83.907942,0.0076850304665645,0.282145917887258,-0.0507606979260165,8.45610967768829e-06
60,"Starved Rock, IL","Quercus alba","RP",4.015126111,16.15462211,41.307161,-88.993812,-0.00399347084176317,0.453089945510503,-0.0451846558270703,1.05347818004757e-07
61,"Starved Rock, IL","Quercus rubra","RP",4.015126111,16.15462211,41.307161,-88.993812,-0.00228303667444955,0.694480986938029,-0.0481488016056278,2.00355772773712e-07
62,"Palisades-Kepler State Park, IA","Carya ovata","RP",3.797479049,16.52268943,41.908174,-91.512774,-0.00165176461675675,0.798353625095581,-0.041486664186004,3.00365369110961e-05
63,"Palisades-Kepler State Park, IA","Quercus alba","RP",3.797479049,16.52268943,41.908174,-91.512774,-0.00846429526616145,0.116346907361736,-0.0432088217287587,2.83051753246654e-07
64,"Meltzer, IN","Carya ovata","RP",4.647899226,16.80924407,39.505057,-85.669107,0.000712963254150798,0.913524380626656,-0.0471351508307723,2.15974409510613e-06
65,"Meltzer, IN","Fraxinus nigra","RP",4.647899226,16.80924407,39.505057,-85.669107,-0.00114212182632472,0.857258310166933,-0.0394016138066524,3.40201045341116e-05
