"Year","MtPlea_CAGL"
1901,0.121
1902,1.694
1903,1.311
1904,1.124
1905,1.446
1906,1.851
1907,1.281
1908,1.172
1909,1.008
1910,0.246
1911,-0.012
1912,1.487
1913,1.048
1914,0.777
1915,1.229
1916,1.196
1917,1.013
1918,0.703
1919,0.956
1920,0.002
1921,0.032
1922,1.81
1923,1.178
1924,1.035
1925,1.184
1926,1.923
1927,1.154
1928,1.085
1929,1.062
1930,-0.104
1931,0.005
1932,1.686
1933,0.964
1934,1.006
1935,1.253
1936,2.008
1937,1.99
1938,0.858
1939,2.005
1940,-0.202
1941,0.227
1942,1.869
1943,1.043
1944,1.095
1945,1.436
1946,1.595
1947,1.481
1948,0.619
1949,1.415
1950,-0.228
1951,0.094
1952,2.15
1953,0.649
1954,1.455
1955,1.161
1956,1.598
1957,1.46
1958,0.683
1959,1.357
1960,-0.196
1961,0.073
1962,1.607
1963,0.874
1964,1.024
1965,1.181
1966,1.308
1967,1.262
1968,0.658
1969,1.001
1970,-0.096
1971,-0.025
1972,1.472
1973,0.698
1974,1.02
1975,1.088
1976,1.942
1977,1.561
1978,1.156
1979,1.508
1980,-0.012
1981,0.233
1982,1.293
1983,1.211
1984,0.835
1985,1.441
1986,1.33
1987,1.23
1988,0.845
1989,1.056
1990,0.169
1991,0.172
1992,1.539
1993,1.112
1994,1.078
1995,1.361
1996,1.422
1997,1.195
1998,0.972
1999,1.014
2000,0.34
2001,0.106
2002,1.744
2003,0.826
2004,1.137
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
