"Number","Location","Species","Wood Type","CTW Tmin","CTW Tmax","Latitude","Longitude","Slope April Tmax","P-value April Tmax","Slope April - April:June Tmax","P-value April - April:June Tmax","Slope April:June Tmax","P-value April:June Tmax","Slope June Tmax","P-value June Tmax","Slope April - April:June-July Tmax","P-value April - April:June-July Tmax","Slope April:June-July Tmax","P-value April:June-July Tmax","Slope June-July Tmax","P-value June-July Tmax","Slope April - April:May-August Tmax","P-value April - April:May-August Tmax","Slope April:May-August Tmax","P-value April:May-August Tmax","Slope May-August Tmax","P-value May-August Tmax"
1,"Sheridan Mountain, VT","Quercus rubra","RP",-2.738655512,7.864706013,44.5284,-71.63805,0.001985228,0.729989205,0.005545706,0.811556516,-0.000173644,0.874426148,-0.003797471,0.668499739,-0.012512157,0.713060116,0.000654738,0.665511027,0.005198293,0.669646469,0.002185606,0.949956389,-9.77e-06,0.995344376,0.002382405,0.85451417
2,"Goodnow Mountain, NY","Quercus rubra","RP",-3.69411771,8.826890937,43.9077167,-74.2180333,0.006674772,0.371755212,0.048524985,0.062624651,-0.001933982,0.093248209,-0.017606611,0.088570168,0.07701063,0.036842684,-0.003055644,0.05126435,-0.024488347,0.080660858,0.056835343,0.14004838,-0.002351103,0.183881812,-0.015352606,0.327425803
3,"UMB Flux Site, MI","Quercus rubra","RP",-1.488235324,10.05546234,45.5598,-84.7138,0.003705412,0.606833813,0.029016864,0.211630526,-0.001040381,0.251410385,-0.006270489,0.501315041,0.041845731,0.169529805,-0.001484318,0.197269468,-0.011174851,0.351875264,0.044878262,0.180649593,-0.001715356,0.208288625,-0.012499116,0.382536808
4,"Rooster Hill, RH","Quercus rubra","RP",-1.457983214,10.80420183,43.23138,-74.52254,-0.001896938,0.713303215,0.00780187,0.639768201,-0.000411797,0.540613905,-0.005885496,0.425732128,0.004736335,0.832209448,-0.000265298,0.760364913,-0.004708088,0.62435217,0.000277291,0.990841854,-9.4e-05,0.926582218,0.001198014,0.915051405
5,"Lake George, NY","Quercus velutina","RP",-1.120168085,11.27815145,43.6844,-73.6024667,-0.007642081,0.336025448,0.057031463,0.020478623,-0.00265434,0.005887286,-0.032331175,0.00285735,0.093140447,0.008136304,-0.003921698,0.003453732,-0.045128576,0.002613475,0.046150236,0.208043406,-0.002240866,0.133545459,-0.021934494,0.187266782
6,"Winooski, VT","Carya ovata","RP",0.34201681,11.7327733,44.555753,-73.113145,0.001512267,0.852043903,0.079234823,0.001264889,-0.003119766,0.000856391,-0.037007062,0.000767646,0.109531834,0.001381343,-0.004045819,0.001193956,-0.045689189,0.001598092,0.048548444,0.166738647,-0.001900603,0.168519331,-0.020163414,0.205700274
7,"Winooski, VT","Quercus alba","RP",0.34201681,11.7327733,44.555753,-73.113145,0.005303504,0.600517138,0.080741727,0.00942566,-0.003028074,0.010373006,-0.033868143,0.015059728,0.144056147,0.000748644,-0.005196911,0.00083902,-0.055235834,0.002303768,0.102464069,0.018465838,-0.003925993,0.021569541,-0.040300113,0.041699974
8,"Winooski, VT","Quercus mongolica","RP",0.34201681,11.7327733,44.555753,-73.113145,0.003016702,0.736125735,0.046820281,0.091606206,-0.001758266,0.095458259,-0.019088995,0.124244854,0.081092308,0.03478031,-0.002924283,0.036647383,-0.030632801,0.059248944,0.055740741,0.150400531,-0.002130434,0.16196593,-0.021745282,0.216588419
9,"Pine Lake, NY","Quercus rubra","RP",-0.775630267,11.97563046,42.4713333,-74.9258167,-0.002702876,0.676777016,0.051879933,0.006624548,-0.002263752,0.002572154,-0.027428994,0.001938662,0.081495023,0.002071685,-0.003323145,0.001087808,-0.041624559,0.000479803,0.064614959,0.02512238,-0.002867791,0.01690542,-0.035917022,0.011406453
10,"Zoar Lick, NY","Quercus rubra","RP",-0.576470595,12.01680692,42.4230333,-78.8945,-0.00828421,0.211518267,0.07254755,0.000255018,-0.003298607,2.2e-05,-0.039621309,1.66e-05,0.081371691,0.002625676,-0.00346907,0.000697777,-0.044236034,0.000281333,0.024159435,0.407830641,-0.001357416,0.254547323,-0.018960301,0.181756836
11,"Singer Farm, NY","Quercus rubra","RP",2.115126085,12.03613465,43.3496333,-78.6612333,-0.005849092,0.318243687,0.026646815,0.137059831,-0.001304373,0.056219388,-0.015696725,0.051790011,0.029856516,0.205773234,-0.001338581,0.119179972,-0.017863196,0.08257605,-0.011332705,0.648980235,0.000223995,0.82062258,0.002149551,0.85859467
12,"Warren Cutler Boy Scout Res., NY","Quercus rubra","RP",1.136134473,12.20504229,42.68245,-77.4299667,-0.009444013,0.133312067,0.032522073,0.09154175,-0.001664593,0.022356684,-0.020055153,0.023124284,0.063435051,0.011429232,-0.002729648,0.002909117,-0.034765428,0.002105311,0.046562663,0.078269287,-0.002283462,0.03004393,-0.02687091,0.037150226
13,"Arnot Forest, NY","Quercus rubra","RP",0.464705888,12.26386578,42.2716167,-76.6267667,-0.004837254,0.46351275,0.058453048,0.002861754,-0.002494507,0.000691267,-0.0295793,0.000769075,0.097295257,0.000125247,-0.00382592,3.6e-05,-0.047965362,2.05e-05,0.104796035,8.14e-05,-0.004464477,2.46e-05,-0.05300944,3.57e-05
14,"Goose Egg Ridge, NY","Quercus rubra","RP",-0.589915974,12.47479012,43.0683333,-73.29,-0.015025363,0.010502863,0.020536168,0.232332664,-0.001402811,0.029561069,-0.022716414,0.006311792,0.026567472,0.268770489,-0.001555103,0.075861323,-0.027815885,0.014262758,0.002353924,0.929673909,-0.000691622,0.504831507,-0.015896426,0.235591817
15,"Goose Egg Ridge, NY","Quercus alba","RP",-0.589915974,12.47479012,43.0683333,-73.29,-0.007822843,0.278448418,0.037791832,0.06952712,-0.00181014,0.020455022,-0.024582294,0.012011091,0.092392154,0.001469896,-0.003793001,0.000412449,-0.050462908,0.000172094,0.08105857,0.011253866,-0.00358844,0.004543625,-0.045035976,0.00445772
16,"Goose Egg Ridge, NY","Quercus mongolica","RP",-0.589915974,12.47479012,43.0683333,-73.29,-0.010870111,0.131825736,0.024052569,0.249433099,-0.001385847,0.076628998,-0.020785826,0.03489246,0.053549508,0.069942613,-0.002438195,0.025358553,-0.036201375,0.008231637,0.03722042,0.250498306,-0.001941576,0.128895565,-0.027839992,0.083246152
17,"Stott Farm, Argyle, NY","Carya glabra","RP",-0.589915974,12.47479012,43.188,-73.4988333,0.00068243,0.918857482,0.074604752,7.38e-05,-0.002928917,3.18e-05,-0.037949075,1.47e-05,0.117752887,8.93e-06,-0.004430404,5.65e-06,-0.056280633,3.71e-06,0.08379509,0.004864619,-0.003357141,0.004208753,-0.04164724,0.004362828
18,"Breglia Cliffs, NY","Quercus mongolica","RP",-0.00504202,12.62521026,42.6085833,-74.31815,-0.000593368,0.919683281,0.038840147,0.024300552,-0.001579284,0.015348593,-0.020836212,0.011177216,0.078086432,0.00096994,-0.002982163,0.000628516,-0.038727745,0.0004256,0.076905638,0.002889668,-0.003161937,0.002101934,-0.040268915,0.001955799
19,"Curtiss-Gale Wildlife Preserve, NY","Quercus rubra","RP",2.210084064,12.6537817,43.2885833,-76.3885333,-0.006900712,0.240369262,0.033150515,0.053532502,-0.001576381,0.013839967,-0.018485992,0.020630656,0.055043636,0.01712497,-0.002266493,0.005842289,-0.026387316,0.009691865,0.042936654,0.070480037,-0.001977989,0.030969775,-0.021908764,0.055701736
20,"Whiskey Hollow, NY","Quercus mongolica","RP",2.210084064,12.6537817,43.119135,-76.386846,-0.000997084,0.896137002,0.058458164,0.008877428,-0.002338738,0.004840709,-0.028729234,0.005121176,0.088949507,0.003022667,-0.003292114,0.001999309,-0.040645992,0.001916517,0.072017615,0.01965765,-0.002898146,0.014846011,-0.03633213,0.013550878
21,"Mt.Agamenticus, ME","Quercus mongolica","RP",0.568907573,12.9504204,43.22805,-70.6892,-0.003683106,0.67669761,0.038213927,0.050505841,-0.001623543,0.017142447,-0.019830082,0.024238231,0.060118027,0.026453834,-0.002366204,0.013145934,-0.029411528,0.017335597,0.042079117,0.169105024,-0.001785875,0.118909995,-0.021728469,0.138611392
22,"Prospect Mountain, NY","Carya ovata","RP",0.289915971,13.01764731,43.4216667,-73.57,-0.010409573,0.141888649,0.033452671,0.092050848,-0.001716842,0.019207579,-0.023909826,0.013749355,0.066284253,0.017352336,-0.002834789,0.004738245,-0.039222658,0.003108049,0.021983268,0.468442016,-0.001280518,0.272846831,-0.016077083,0.295201962
23,"Prospect Mountain, NY","Quercus rubra","RP",0.289915971,13.01764731,43.4182667,-73.7550833,-0.006641348,0.235399844,0.045435452,0.003107212,-0.002038373,0.000344932,-0.028726891,0.00012443,0.058352594,0.007949616,-0.002402333,0.002411165,-0.034922326,0.000776008,0.037075811,0.119617887,-0.001728178,0.059908166,-0.022821113,0.057829117
24,"Wachusett Mountain, MA","Quercus rubra","RP",1.826890791,13.08067246,42.49,-71.88,-0.0111011,0.072819226,0.013335442,0.409999695,-0.000911306,0.104988286,-0.014399599,0.044573978,0.005535798,0.801340269,-0.000601116,0.431636223,-0.011987993,0.220294322,0.011250115,0.633584916,-0.000851794,0.32761732,-0.016720508,0.132077188
25,"Mashomack Preserve, NY","Quercus stellata","RP",3.164705937,13.20840353,41.0415,-72.2845333,0.004924466,0.502721446,0.015802426,0.433591703,-0.000407979,0.562252695,-0.000965978,0.911510544,0.036943136,0.179427101,-0.001144547,0.226839046,-0.008438692,0.465178454,0.042637608,0.163934004,-0.001411061,0.204328336,-0.009666401,0.461008693
26,"Aquidneck, RH","Quercus rubra","RP",2.895798365,13.45042037,41.5692833,-71.2840333,-0.00761064,0.250600145,0.034833665,0.03267939,-0.001562626,0.004954226,-0.021075424,0.003451759,0.058723774,0.007387856,-0.002327768,0.001669401,-0.032205665,0.000664237,0.047206315,0.053718336,-0.002008304,0.020638193,-0.027804844,0.010281764
27,"New Port, RI","Quercus alba","RP",2.895798365,13.45042037,41.557004,-71.26675,-0.008078242,0.255734192,0.006122295,0.730753704,-0.000525136,0.3848749,-0.007271116,0.3544186,0.015039364,0.528822458,-0.000813673,0.311464633,-0.012244624,0.235836103,0.00667375,0.800875195,-0.000543212,0.563006101,-0.009340037,0.428835323
28,"Mohawk Trail St.Forest, MA","Quercus rubra","RP",1.46470591,13.91260528,42.0609,-72.3009,-0.025769499,0.472538168,0.007684526,0.932955074,-0.00123604,0.6904076,-0.027777849,0.507593468,0.046323682,0.711789739,-0.002589318,0.548610932,-0.047216121,0.419193733,0.0603633,0.657806779,-0.00323446,0.512558476,-0.05281075,0.427246823
29,"Lisha Kill, NY","Carya glabra","RP",1.743697508,14.27142882,42.7949667,-73.86005,-0.006465589,0.312343727,0.041329272,0.019306997,-0.001769636,0.0040863,-0.024917922,0.004339081,0.089105692,0.00025338,-0.003360486,5.7e-05,-0.049327498,2.95e-05,0.073668077,0.006601774,-0.003016496,0.002507023,-0.044075484,0.001854858
30,"Lisha Kill, NY","Quercus alba","RP",1.743697508,14.27142882,42.7914667,-73.85855,-0.017351122,0.003234786,-0.002462199,0.880139658,-0.000551272,0.330867388,-0.009572623,0.251024561,0.036317659,0.10705567,-0.001887107,0.014713108,-0.031344293,0.005770456,0.064298005,0.007755832,-0.003073543,0.000598031,-0.046611394,0.000413446
31,"Harvard Forest, MA","Fraxinus americana","RP",0.596638667,14.38823551,42.53,-72.18,0.002992179,0.665476962,-0.012304216,0.479501139,0.000561251,0.338394188,0.00807707,0.336413412,-0.032954646,0.171008978,0.001278879,0.119555552,0.018717095,0.111776088,0.006995142,0.794139177,-0.000151312,0.877116002,-0.003378289,0.809414906
32,"Harvard Forest LyfordPlots, MA","Quercus rubra","RP",0.5966387,14.388236,42.5388,-72.1755,-0.007637867,0.157210476,0.011833698,0.384653658,-0.000717008,0.121168088,-0.011511969,0.086586687,0.010696456,0.56475535,-0.000647299,0.303294177,-0.011801856,0.198548668,0.005133508,0.805118812,-0.000473931,0.525409374,-0.00977756,0.36761852
33,"Harvard Forest, MA","Quercus rubra","RP",0.596638667,14.38823551,42.5388,-72.1755,-0.007637867,0.157210476,0.011833698,0.384653658,-0.000717008,0.121168088,-0.011511969,0.086586687,0.010696456,0.56475535,-0.000647299,0.303294177,-0.011801856,0.198548668,0.005133508,0.805118812,-0.000473931,0.525409374,-0.00977756,0.36761852
34,"NorthRoundPondPlot2, NH","Fraxinus americana","RP",0.596638667,14.38823551,42.84771,-72.4475,-0.000161017,0.978492855,0.018708106,0.233645101,-0.000692457,0.194328309,-0.011448488,0.139264724,0.006201077,0.774538815,-0.000224977,0.759701657,-0.00434663,0.688850188,-0.006588236,0.786548689,0.000237887,0.785152416,0.00232516,0.854619349
35,"NorthRoundPondPlot3, NH","Quercus rubra","RP",0.596638667,14.38823551,42.84417,-72.44976,-0.002286372,0.667291028,0.020367795,0.130021607,-0.000834202,0.067694027,-0.012781592,0.052001542,0.038902853,0.032326163,-0.001454197,0.01816958,-0.021403372,0.016456246,0.03406663,0.095388658,-0.001349019,0.065777055,-0.018912104,0.074129037
36,"Alan Seeger Natural Area, PA","Quercus alba","RP",2.962184931,14.68739521,40.69,-77.75,0.002039757,0.761282755,0.041986882,0.016587924,-0.00145537,0.013833012,-0.020939844,0.013585266,0.065510955,0.002818898,-0.002267464,0.002424574,-0.032851796,0.002384965,0.070878865,0.002396343,-0.002678487,0.002122515,-0.038382021,0.002098591
37,"Alan Seeger Natural Area, PA","Quercus rubra","RP",2.962184931,14.68739521,40.69,-77.75,-0.005988298,0.418985204,0.043800707,0.022127641,-0.001813934,0.005197321,-0.02796599,0.002677766,0.072639307,0.002384753,-0.002808915,0.000608191,-0.042519185,0.000334912,0.084264069,0.00088976,-0.003511664,0.000225251,-0.050679877,0.000206641
