"Species","coef","significant","significant2","ci.lower","ci.upper","chg_rad_inc_clim","chg_rad_inc_clim_ci.lower","chg_rad_inc_clim_ci.upper","chg_rad_inc_1SD_clim","variable","month"
"CACO",0.0318408267604347,FALSE,FALSE,-0.164688686580618,0.207238292501998,0.00146647608906619,-0.00758497958697146,0.00954466424441975,0.00405136211999392,"tmx","curr.jan"
"CACO",-0.0870496045040576,FALSE,FALSE,-0.270961874372275,0.093458971330022,-0.00451410600010872,-0.014051191040708,0.00484647466979791,-0.0116522326382371,"tmx","curr.feb"
"CACO",-0.157060064537019,FALSE,FALSE,-0.322784187499971,0.0480380520800292,-0.00838395061557715,-0.0172303933241483,0.0025642970254387,-0.0208213586834893,"tmx","curr.mar"
"CACO",0.0662715866052798,FALSE,FALSE,-0.159684496529834,0.286955433948843,0.00488970619893614,-0.011781976448014,0.0211723882899505,0.00861685865165998,"tmx","curr.apr"
"CACO",-0.223380944308128,TRUE,FALSE,-0.401220424330312,-0.022435711680969,-0.0175161077597813,-0.0314611445920869,-0.00175926529762162,-0.0284793687833995,"tmx","curr.may"
"CACO",-0.291577371227332,TRUE,TRUE,-0.445460912767819,-0.123185727290441,-0.0283537113785645,-0.043317731063578,-0.0119788876031417,-0.0387672262752453,"tmx","curr.jun"
"CACO",-0.212125619353039,FALSE,FALSE,-0.433304315303425,0.0218217849081401,-0.0206936651172919,-0.0422704924662749,0.00212879854176914,-0.0258058902607956,"tmx","curr.jul"
"CACO",-0.139185072417597,FALSE,FALSE,-0.321655560006853,0.0523048048371893,-0.0140994846303659,-0.0325837932603969,0.00529849055711666,-0.0169045477545907,"tmx","curr.aug"
"CACO",-0.0071011874493595,FALSE,FALSE,-0.207730707868184,0.200568177560264,-0.00053185972301254,-0.0155584678669391,0.015022013729824,-0.000871462292580936,"tmx","curr.sep"
"CACO",0.163691436465572,FALSE,FALSE,-0.0308238012253001,0.32305131987782,0.0124294158863677,-0.00234051244769035,0.024529928346288,0.0202557293568303,"tmx","curr.oct"
"CACO",0.0153557779221908,FALSE,FALSE,-0.18866172671954,0.201161082577355,0.000763534548714323,-0.00938081724679679,0.0100023220694424,0.00193930470633621,"tmn","curr.jan"
"CACO",-0.0729778996755085,FALSE,FALSE,-0.248109542064479,0.10693075393488,-0.00468327991642933,-0.0159221687742681,0.00686216860965558,-0.01011745663895,"tmn","curr.feb"
"CACO",-0.0103819251010725,FALSE,FALSE,-0.18327120293919,0.170177589162234,-0.000739009954872916,-0.0130456771836664,0.0121136428227721,-0.00137668878406277,"tmn","curr.mar"
"CACO",-0.04960546156966,FALSE,FALSE,-0.261600722721243,0.144930364915777,-0.00523910908509108,-0.0276291093703586,0.0153069030608561,-0.00640049385008081,"tmn","curr.apr"
"CACO",-0.171452677304015,FALSE,FALSE,-0.358214801114912,0.034362920519088,-0.0157328152823162,-0.0328704537365692,0.00315320524350346,-0.0215567717388059,"tmn","curr.may"
"CACO",-0.219937190760784,TRUE,FALSE,-0.411684486203368,-0.00535293194167199,-0.0265348370177203,-0.0496686381522979,-0.000645816999607426,-0.0293461970842629,"tmn","curr.jun"
"CACO",-0.0970381922736875,FALSE,FALSE,-0.329986967231817,0.126954214443672,-0.0129744908499903,-0.0441209052502741,0.0169744123944667,-0.011936576940955,"tmn","curr.jul"
"CACO",-0.0523038036019185,FALSE,FALSE,-0.229756971279123,0.127582231266411,-0.00614805667688242,-0.0270068099078187,0.0149966682109568,-0.00662492688968744,"tmn","curr.aug"
"CACO",-0.118723433470295,FALSE,FALSE,-0.325392962491782,0.0718817062461162,-0.0108156618132772,-0.0296431810962749,0.00654839741906426,-0.0154714531334876,"tmn","curr.sep"
"CACO",0.116237011964339,FALSE,FALSE,-0.0938142585398495,0.321522332775673,0.0089738084029742,-0.00724271182970516,0.0248223845644914,0.0152202332747478,"tmn","curr.oct"
"CAGL",-0.0900811555190936,FALSE,FALSE,-0.28607365897126,0.0987716249433974,-0.00350809540456883,-0.0111407728133833,0.00384653462279671,-0.00969164444027526,"tmx","curr.jan"
"CAGL",-0.0695677757502127,FALSE,FALSE,-0.244721067414709,0.126737934602076,-0.00289957434499653,-0.010199936983808,0.00528241789746893,-0.00748465251346555,"tmx","curr.feb"
"CAGL",-0.125339522718338,FALSE,FALSE,-0.319491975806535,0.0912616417017705,-0.00542989218807412,-0.0138408615731106,0.00395358833829964,-0.0134850189420856,"tmx","curr.mar"
"CAGL",0.159073742308084,FALSE,FALSE,-0.0397117037675554,0.361307599225115,0.00971171252743168,-0.0024244645619645,0.0220584207471209,0.0171144135679648,"tmx","curr.apr"
"CAGL",-0.213242089055436,FALSE,FALSE,-0.398778918639522,0.0113873250271387,-0.0141105421921626,-0.0263877866781972,0.000753516020045829,-0.0229422734967997,"tmx","curr.may"
"CAGL",-0.0960112280877829,FALSE,FALSE,-0.28114027049272,0.0769933051152506,-0.00755493503408938,-0.0221223759068767,0.00605845201431765,-0.0103296486322684,"tmx","curr.jun"
"CAGL",-0.0243563068834614,FALSE,FALSE,-0.224292034716396,0.16798851071253,-0.00210132647452467,-0.019350667276023,0.0144931128789441,-0.00262044447401325,"tmx","curr.jul"
"CAGL",-0.0827713961954017,FALSE,FALSE,-0.284558814210319,0.118879791268164,-0.00742751413599933,-0.0255349639153214,0.0106677109571095,-0.00890520261566753,"tmx","curr.aug"
"CAGL",0.0220340622299767,FALSE,FALSE,-0.176104373760984,0.200165029593308,0.00144679366552818,-0.011563310013828,0.0131431732312106,0.00237059899462068,"tmx","curr.sep"
