"","tot","perc","tag","DOY","sp","year","dbh","max_rate_DOY","max_rate","wood_type","site_tag","site","realtag","tag_year","tag_year_perc","doy"
"1",0.52226443442356,0.25,"A11",158,"betual",1998,13.20058442,181,0.00661947614466207,"diffuse-porous","A11","A1",1,"A111998","A1119980.25",169
"2",0.52226443442356,0.5,"A11",180,"betual",1998,13.20058442,181,0.00661947614466207,"diffuse-porous","A11","A1",1,"A111998","A1119980.5",186
"3",0.52226443442356,0.75,"A11",201,"betual",1998,13.20058442,181,0.00661947614466207,"diffuse-porous","A11","A1",1,"A111998","A1119980.75",205
"4",0.52226443442356,0.05,"A11",158,"betual",1998,13.20058442,181,0.00661947614466207,"diffuse-porous","A11","A1",1,"A111998","A1119980.25",152
"5",0.167642289985956,0.25,"A18",171,"betual",1998,23.26795906,189,0.00273095426364733,"diffuse-porous","A18","A1",8,"A181998","A1819980.25",177
"6",0.167642289985956,0.5,"A18",188,"betual",1998,23.26795906,189,0.00273095426364733,"diffuse-porous","A18","A1",8,"A181998","A1819980.5",191
"7",0.167642289985956,0.75,"A18",205,"betual",1998,23.26795906,189,0.00273095426364733,"diffuse-porous","A18","A1",8,"A181998","A1819980.75",207
"8",0.167642289985956,0.05,"A18",171,"betual",1998,23.26795906,189,0.00273095426364733,"diffuse-porous","A18","A1",8,"A181998","A1819980.25",160
"9",0.131595032864261,0.25,"A110",187,"betual",1998,12.45248413,200,0.00279077494379543,"diffuse-porous","A110","A1",10,"A1101998","A11019980.25",189
"10",0.131595032864261,0.5,"A110",199,"betual",1998,12.45248413,200,0.00279077494379543,"diffuse-porous","A110","A1",10,"A1101998","A11019980.5",201
"11",0.131595032864261,0.75,"A110",212,"betual",1998,12.45248413,200,0.00279077494379543,"diffuse-porous","A110","A1",10,"A1101998","A11019980.75",214
"12",0.131595032864261,0.05,"A110",187,"betual",1998,12.45248413,200,0.00279077494379543,"diffuse-porous","A110","A1",10,"A1101998","A11019980.25",172
"13",0.145362054478808,0.25,"B2193",165,"betual",1998,14.90875103,181,0.00281248519114108,"diffuse-porous","B2193","B2",193,"B21931998","B219319980.25",170
"14",0.145362054478808,0.5,"B2193",180,"betual",1998,14.90875103,181,0.00281248519114108,"diffuse-porous","B2193","B2",193,"B21931998","B219319980.5",182
"15",0.145362054478808,0.75,"B2193",194,"betual",1998,14.90875103,181,0.00281248519114108,"diffuse-porous","B2193","B2",193,"B21931998","B219319980.75",195
"16",0.145362054478808,0.05,"B2193",165,"betual",1998,14.90875103,181,0.00281248519114108,"diffuse-porous","B2193","B2",193,"B21931998","B219319980.25",154
"17",0.00250200885551166,0.25,"B3214",148,"betual",1998,15.48871996,151,0.000339942964108886,"diffuse-porous","B3214","B3",214,"B32141998","B321419980.25",149
"18",0.00250200885551166,0.5,"B3214",150,"betual",1998,15.48871996,151,0.000339942964108886,"diffuse-porous","B3214","B3",214,"B32141998","B321419980.5",151
"19",0.00250200885551166,0.75,"B3214",152,"betual",1998,15.48871996,151,0.000339942964108886,"diffuse-porous","B3214","B3",214,"B32141998","B321419980.75",153
"20",0.00250200885551166,0.05,"B3214",148,"betual",1998,15.48871996,151,0.000339942964108886,"diffuse-porous","B3214","B3",214,"B32141998","B321419980.25",147
