"Year","BlueRi_QUMO"
1901,0.978
1902,1.011
1903,1.106
1904,1.066
1905,0.967
1906,1.017
1907,0.993
1908,1.045
1909,1.047
1910,0.87
1911,0.94
1912,1.019
1913,0.947
1914,0.9
1915,1.087
1916,1.172
1917,0.855
1918,0.901
1919,1.039
1920,1.02
1921,1.002
1922,1.009
1923,0.942
1924,1.019
1925,0.845
1926,0.914
1927,1.123
1928,1.05
1929,0.988
1930,0.969
1931,0.952
1932,1.012
1933,0.841
1934,1.064
1935,1.01
1936,0.937
1937,1.083
1938,0.983
1939,1.108
1940,1.114
1941,0.906
1942,1.063
1943,1.063
1944,0.979
1945,0.891
1946,1.125
1947,1.037
1948,1.021
1949,1.101
1950,1.069
1951,1.143
1952,0.996
1953,1.108
1954,0.934
1955,0.978
1956,1.087
1957,1.166
1958,1.007
1959,0.925
1960,0.964
1961,1.05
1962,1.048
1963,0.879
1964,1.051
1965,1.041
1966,0.798
1967,1.005
1968,1.014
1969,0.987
1970,0.966
1971,1.07
1972,0.872
1973,0.942
1974,1.027
1975,1.125
1976,0.891
1977,0.909
1978,1.035
1979,1.055
1980,1
1981,1.035
1982,1.063
1983,0.968
1984,0.909
1985,0.974
1986,0.981
1987,1.079
1988,1.009
1989,1.082
1990,1.01
1991,0.975
1992,0.894
1993,1.04
1994,0.921
1995,1.041
1996,0.933
1997,0.897
1998,0.937
1999,0.868
2000,1.089
2001,0.998
2002,0.996
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
