"Year","OH_Rid_LITU"
1901,1.366
1902,1.017
1903,1.016
1904,0.783
1905,1.019
1906,1.241
1907,1.016
1908,0.862
1909,1.104
1910,0.945
1911,0.899
1912,1.289
1913,1.152
1914,0.704
1915,1.545
1916,1.047
1917,0.945
1918,0.61
1919,0.888
1920,1.067
1921,1.011
1922,1.16
1923,1.279
1924,0.998
1925,0.815
1926,0.949
1927,1.254
1928,1.019
1929,0.828
1930,0.545
1931,0.879
1932,1.147
1933,0.756
1934,0.77
1935,1.151
1936,0.5
1937,0.998
1938,1.246
1939,0.877
1940,1.03
1941,1.115
1942,1.123
1943,1.153
1944,0.724
1945,0.863
1946,1.185
1947,1.037
1948,0.924
1949,1.466
1950,1.071
1951,1.115
1952,0.903
1953,1.101
1954,1.023
1955,1.237
1956,0.954
1957,1.02
1958,1.134
1959,0.766
1960,1.079
1961,1.182
1962,0.786
1963,1.113
1964,0.889
1965,0.598
1966,0.606
1967,1.13
1968,0.969
1969,1.131
1970,0.833
1971,0.952
1972,0.792
1973,1.418
1974,1.098
1975,1.096
1976,0.99
1977,0.796
1978,1.149
1979,0.8
1980,1.615
1981,1.002
1982,0.994
1983,1.273
1984,0.672
1985,1.17
1986,0.736
1987,0.648
1988,0.59
1989,0.787
1990,0.991
1991,1.116
1992,1.018
1993,0.902
1994,1.095
1995,1.304
1996,0.929
1997,1.027
1998,1.489
1999,0.795
2000,1.345
2001,1.273
2002,1.212
2003,1.034
2004,1.13
2005,0.843
2006,1.073
2007,0.928
2008,1.198
2009,0.783
2010,0.927
2011,1.167
2012,0.709
2013,1.109
2014,0.807
2015,0.597
2016,0.997
2017,NA
2018,NA
2019,NA
