"Year","OH_Rid_QUAL"
1901,1.204
1902,1.134
1903,1.313
1904,1.296
1905,1.247
1906,1.134
1907,1.136
1908,0.885
1909,0.925
1910,0.943
1911,0.936
1912,1.401
1913,0.979
1914,0.779
1915,1.215
1916,1.092
1917,0.983
1918,0.721
1919,1.085
1920,1.073
1921,1.052
1922,1.014
1923,1.147
1924,1.083
1925,0.745
1926,1.131
1927,1.028
1928,1.031
1929,0.847
1930,0.756
1931,0.991
1932,1.162
1933,1.037
1934,0.85
1935,1.164
1936,0.847
1937,1.128
1938,1.12
1939,0.876
1940,0.894
1941,0.981
1942,1.003
1943,1.054
1944,0.789
1945,1.055
1946,1.019
1947,0.931
1948,0.621
1949,1.201
1950,1.071
1951,1.171
1952,0.964
1953,1.125
1954,0.821
1955,1.074
1956,1.07
1957,1.043
1958,1.139
1959,0.704
1960,0.925
1961,0.992
1962,0.81
1963,1.007
1964,0.931
1965,0.909
1966,0.853
1967,1.076
1968,1.086
1969,1.024
1970,1.164
1971,1.095
1972,0.843
1973,1.005
1974,1.079
1975,1.027
1976,1.025
1977,0.89
1978,1.083
1979,0.873
1980,1.22
1981,0.826
1982,0.985
1983,1.11
1984,0.922
1985,1.141
1986,0.957
1987,1.005
1988,0.775
1989,1.165
1990,1.055
1991,0.859
1992,1.003
1993,1.183
1994,1.014
1995,1.041
1996,0.928
1997,0.846
1998,1.002
1999,0.805
2000,1.135
2001,1.201
2002,1.119
2003,1.003
2004,0.995
2005,0.891
2006,0.852
2007,0.886
2008,1.104
2009,0.974
2010,0.968
2011,1.082
2012,0.834
2013,1.092
2014,0.992
2015,1.134
2016,1.031
2017,NA
2018,NA
2019,NA
