"Year","ArnotF_QURU"
1901,0.951
1902,1.094
1903,1.098
1904,1.059
1905,1.066
1906,1.031
1907,0.975
1908,0.89
1909,0.905
1910,0.855
1911,1.013
1912,0.89
1913,0.874
1914,1.015
1915,1.275
1916,0.933
1917,1.152
1918,0.904
1919,0.853
1920,1.124
1921,1.014
1922,1.053
1923,0.949
1924,1.139
1925,1.095
1926,0.884
1927,1.1
1928,1.054
1929,0.929
1930,0.972
1931,1.035
1932,1.134
1933,0.782
1934,0.952
1935,1.101
1936,0.679
1937,1.156
1938,0.926
1939,0.851
1940,1.046
1941,0.888
1942,1.002
1943,1.014
1944,1.007
1945,1.025
1946,1.099
1947,1.207
1948,1.018
1949,0.839
1950,1.268
1951,1.06
1952,0.976
1953,1.089
1954,0.823
1955,0.853
1956,0.995
1957,0.849
1958,1.288
1959,1.006
1960,1.037
1961,1.214
1962,0.753
1963,0.955
1964,0.922
1965,0.878
1966,0.755
1967,0.936
1968,1.123
1969,1.091
1970,0.938
1971,1.029
1972,1.182
1973,0.964
1974,1.038
1975,1.154
1976,1.012
1977,0.859
1978,1.251
1979,1.116
1980,1.231
1981,0.874
1982,0.736
1983,0.652
1984,0.918
1985,0.995
1986,0.85
1987,1.136
1988,1.018
1989,1.087
1990,1.105
1991,0.665
1992,0.964
1993,1.087
1994,1.126
1995,0.884
1996,1.032
1997,1.031
1998,1.228
1999,0.936
2000,1.07
2001,0.937
2002,0.902
2003,1.133
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
