"Year","IN_MMS_SAAL"
1901,NA
1902,NA
1903,NA
1904,NA
1905,NA
1906,NA
1907,NA
1908,NA
1909,NA
1910,NA
1911,NA
1912,NA
1913,NA
1914,NA
1915,NA
1916,NA
1917,NA
1918,NA
1919,NA
1920,NA
1921,NA
1922,NA
1923,NA
1924,0.964
1925,0.912
1926,1.155
1927,1.135
1928,0.955
1929,1.015
1930,1.021
1931,0.983
1932,1.094
1933,0.947
1934,1.059
1935,1.096
1936,0.81
1937,0.976
1938,0.886
1939,0.935
1940,0.9
1941,0.979
1942,1.046
1943,1.045
1944,0.714
1945,1.022
1946,1.109
1947,1.152
1948,1.123
1949,1.128
1950,1.055
1951,1.015
1952,0.902
1953,1.064
1954,0.947
1955,0.884
1956,1.086
1957,1.14
1958,1.065
1959,1.074
1960,0.994
1961,1.077
1962,0.889
1963,1.08
1964,0.961
1965,0.939
1966,1.083
1967,1.046
1968,1.022
1969,0.913
1970,0.749
1971,0.991
1972,1.019
1973,1.087
1974,1.004
1975,0.989
1976,1.074
1977,0.863
1978,1.072
1979,1.166
1980,1.08
1981,0.804
1982,1.206
1983,1.013
1984,0.973
1985,1.059
1986,1.155
1987,0.976
1988,0.709
1989,0.926
1990,1.072
1991,0.759
1992,1.087
1993,0.942
1994,0.72
1995,0.92
1996,0.856
1997,0.901
1998,1.302
1999,0.932
2000,1.138
2001,1.239
2002,1.023
2003,1.028
2004,1.08
2005,1.04
2006,1.019
2007,0.918
2008,1.02
2009,0.907
2010,1.112
2011,0.942
2012,0.817
2013,1.159
2014,0.903
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
