"Year","IN_MMS_CAOV"
1901,0.879
1902,1.1
1903,1.047
1904,1.115
1905,0.886
1906,0.667
1907,0.954
1908,0.669
1909,0.798
1910,1.149
1911,0.91
1912,1.174
1913,0.636
1914,0.825
1915,1.227
1916,1.181
1917,0.956
1918,0.739
1919,0.965
1920,1.112
1921,1.035
1922,1.098
1923,0.977
1924,1.05
1925,0.948
1926,1.113
1927,1.123
1928,1.198
1929,1.012
1930,0.797
1931,0.961
1932,1.16
1933,0.852
1934,1.035
1935,1.104
1936,0.66
1937,1.018
1938,1.23
1939,1.075
1940,0.841
1941,0.975
1942,1.16
1943,0.916
1944,0.709
1945,1.267
1946,0.981
1947,0.956
1948,1.103
1949,1.058
1950,1.109
1951,1.071
1952,0.809
1953,0.883
1954,0.974
1955,1.278
1956,1.081
1957,1.046
1958,1.161
1959,0.874
1960,1.033
1961,0.843
1962,0.94
1963,0.994
1964,0.854
1965,1.178
1966,0.86
1967,0.939
1968,0.945
1969,0.911
1970,0.909
1971,1.017
1972,1.044
1973,1.31
1974,1.02
1975,1.049
1976,1.106
1977,0.834
1978,1.076
1979,0.858
1980,0.647
1981,0.75
1982,1.142
1983,0.843
1984,0.774
1985,0.959
1986,1.175
1987,0.831
1988,0.86
1989,1.157
1990,1.04
1991,1.035
1992,1.489
1993,1.151
1994,0.96
1995,1.096
1996,0.822
1997,0.96
1998,0.888
1999,1.095
2000,1.118
2001,1.061
2002,0.879
2003,1.195
2004,0.911
2005,1.07
2006,0.985
2007,0.946
2008,0.87
2009,1.088
2010,0.863
2011,1.007
2012,0.8
2013,1.306
2014,0.969
2015,1.086
2016,NA
2017,NA
2018,NA
2019,NA
