"res","samp.depth"
0.977,1
1.053,1
0.863,1
0.98,1
1.069,2
1.17,3
1.068,3
1.096,3
1.192,3
1.016,3
0.927,3
0.999,3
0.977,3
0.824,3
1.016,4
1.29,4
0.862,4
0.953,4
0.885,4
0.959,4
1.008,4
1.014,4
0.988,4
0.915,4
1.093,4
0.977,4
1.046,4
0.885,4
0.849,4
1.036,4
1,4
0.924,4
0.806,4
1,4
0.975,4
1.103,4
0.784,4
0.958,4
1.187,4
0.857,4
1.131,4
1.069,4
0.926,4
1.136,4
0.742,4
1.201,4
0.793,4
0.915,5
1.001,5
1.121,5
1.078,5
0.984,5
1.159,5
0.914,5
1.005,5
1.032,5
0.927,5
0.985,5
0.927,5
1.153,5
0.967,5
0.945,5
0.907,5
0.836,5
0.728,5
0.9,5
0.863,5
0.886,5
0.935,6
0.813,6
1.024,6
1.112,6
0.966,6
1.035,6
0.967,7
0.997,7
1.104,10
1.077,10
0.893,11
1.002,14
1.049,15
0.926,15
0.916,16
1.021,17
0.98,17
0.886,18
1.041,20
0.927,20
0.826,21
1.007,22
1.04,24
0.967,24
0.984,24
0.905,25
1.007,26
0.92,27
0.828,27
1.066,27
1.137,27
1.384,28
1.059,28
0.915,29
1.04,29
1.288,34
1.151,36
1.042,38
0.975,39
0.873,39
0.934,39
1.152,40
0.93,40
1.118,40
0.928,40
0.852,40
0.934,41
0.9,42
0.86,42
0.921,42
0.955,43
0.621,43
0.979,43
0.903,43
0.943,44
1.276,44
1.19,46
1.077,48
0.728,49
1.107,49
1.086,49
1.087,51
1.081,52
0.756,53
1.192,54
0.838,56
1.067,56
1.104,57
1,57
1.021,57
0.882,57
1.004,58
0.949,59
1.028,61
0.987,61
1.004,61
1.1,62
1.096,62
0.987,62
0.824,62
1.04,62
1.147,62
1.019,62
0.871,62
0.88,62
1.082,62
0.926,62
0.682,62
1,62
0.993,62
1.109,62
0.998,63
0.885,63
0.922,64
1.095,64
1.244,64
1.131,64
1.072,64
1.182,64
0.842,64
1.056,65
1.014,65
0.909,65
0.937,65
0.993,65
0.957,65
0.858,65
1.195,65
1.132,65
1.008,66
1.071,66
0.902,66
0.992,66
0.914,66
0.939,66
0.969,66
1.008,66
0.782,66
1.214,66
0.93,66
0.934,66
1.063,66
1.03,66
1.043,66
1.013,66
1.018,66
0.979,66
0.846,66
1.064,66
1.022,66
1.136,66
0.785,66
0.975,66
1,66
1.029,66
1.035,66
0.8,66
0.966,66
1.081,66
0.878,66
1.041,66
1.186,66
0.989,66
1.006,64
0.926,64
0.947,64
0.978,63
1.038,63
1.079,60
1.098,59
0.932,5
1.089,5
0.884,4
1.092,4
0.907,4
0.753,3
1.169,2
0.931,2
