"res","samp.depth"
1.06,1
0.911,1
0.707,1
1.069,1
0.994,1
0.947,1
1.173,1
1.113,1
1.117,1
1.116,1
0.886,1
0.911,1
1.107,1
1.085,1
0.901,1
0.966,1
1.226,1
0.864,1
0.999,1
0.985,1
0.964,1
0.844,1
1.247,1
0.953,1
0.965,1
1.131,1
0.931,1
1.038,1
1.08,1
0.881,1
0.745,1
1.01,1
0.872,1
1.107,1
0.872,1
0.986,1
0.971,1
1,1
1.016,1
0.93,1
0.782,1
1.084,1
0.895,1
0.928,1
0.932,1
1.213,1
0.991,1
0.992,1
0.733,1
0.93,1
0.852,1
1.022,1
0.838,1
0.93,1
0.887,1
0.922,1
0.742,1
1.149,1
0.784,1
1.073,1
0.94,1
0.999,1
0.873,1
0.894,1
0.808,1
1.009,3
1.103,3
1.272,3
1.207,3
0.94,4
0.966,4
1.084,5
1.122,6
1.022,6
0.913,6
0.873,6
1.075,6
0.977,6
0.793,7
1.252,8
1.028,9
0.93,10
0.882,10
0.936,10
0.99,10
1.052,12
1.012,12
0.713,13
1.008,15
0.961,17
0.94,18
1.251,19
1.126,21
0.988,24
0.854,27
1.198,29
1.016,30
1.083,31
1.134,33
0.842,38
1.13,40
0.807,44
1.068,45
1.153,47
1.054,47
1.001,47
0.714,51
0.911,53
0.768,54
1.042,55
1.007,57
0.996,58
1.062,59
1.117,62
1.118,62
0.896,66
1.13,66
1.037,66
1.03,67
0.869,69
0.95,70
1.144,71
0.947,73
0.928,73
1.033,74
1.146,75
1.06,78
1.158,78
0.838,78
0.944,78
0.851,78
0.918,78
1.132,78
1.138,78
1.268,80
0.852,80
1.036,81
1.048,81
1.017,81
1.045,81
0.937,81
0.947,81
0.825,81
1,81
1.304,82
1.071,83
1.175,83
0.892,83
0.885,83
0.834,83
0.936,83
1.132,83
1.035,83
0.73,83
1.208,83
0.991,83
0.755,83
0.936,83
1.042,83
1.006,83
0.946,83
0.903,83
1.16,83
1.025,83
0.865,83
1.031,83
1.157,83
0.827,83
1.03,83
1.099,83
1.06,83
1.044,83
1.003,83
0.709,83
1.135,83
0.882,83
0.922,83
1.257,83
1.096,83
1.075,83
0.986,83
1.1,82
0.975,82
0.957,81
0.972,81
1.089,79
1.018,11
1.028,11
0.829,11
0.845,11
0.83,9
0.81,8
0.954,4
0.721,2
