"res","samp.depth"
0.992,1
1.262,1
0.931,1
0.659,1
0.893,1
0.78,1
0.981,1
1.044,1
1.343,1
0.911,1
0.771,1
1.124,1
0.831,1
0.996,1
0.939,1
0.836,1
0.978,1
0.928,1
0.873,1
1.006,1
1.146,1
1.453,2
0.742,2
0.783,2
0.739,2
0.777,2
1.161,2
1.068,2
1.294,2
1.056,2
1.113,2
1.115,2
1.04,2
1.08,2
1.34,2
1.089,2
1.007,2
0.938,2
1,3
0.946,3
1.051,3
1.155,3
0.668,3
1.106,3
0.972,3
0.572,3
1.192,3
1.07,3
1.095,3
0.797,3
0.517,3
1.14,4
1.095,7
1.172,7
0.97,8
0.778,8
1.059,8
0.876,8
0.911,9
0.99,9
1.033,9
1.199,10
0.808,11
1.078,11
1.031,11
0.869,11
1.124,11
0.803,12
1.077,12
0.888,12
0.984,12
0.611,12
1.368,13
1.112,13
1.053,13
0.924,14
1.07,14
0.966,14
0.957,15
0.882,15
1.163,16
0.698,16
1.11,17
0.858,17
0.663,17
0.971,17
1.222,17
1.219,17
0.95,17
1.029,17
1.447,17
0.958,17
1.206,17
1.1,17
1.205,17
1.034,17
0.814,17
0.928,17
0.895,17
1.164,17
1.198,17
0.914,17
1.263,17
0.851,17
1.197,17
1.138,17
0.891,17
1.083,17
0.769,17
0.68,17
1.11,17
0.842,17
0.913,17
1.158,17
1.055,17
0.892,17
0.713,17
0.938,17
1.088,17
0.8,17
0.805,17
1.087,17
0.939,17
0.903,17
1.225,17
1.204,17
0.999,17
0.845,17
0.791,17
1.214,16
1.121,16
1.036,16
1.34,16
1.045,15
0.919,15
0.656,15
0.999,15
0.928,14
1.009,14
0.825,14
0.854,13
0.939,11
1.26,9
0.741,8
0.918,8
1.048,7
1.055,6
1.27,5
0.822,4
0.778,1
