"res","samp.depth"
0.89,1
1.117,1
0.883,1
0.81,2
1.068,2
1.092,2
0.88,2
0.999,2
1.056,2
0.933,2
1.177,3
0.967,3
1.224,5
0.876,6
1.023,6
1.047,6
0.924,6
0.979,6
1.015,6
1.006,6
0.952,6
0.747,6
0.973,8
1.04,9
1.096,9
1.082,9
1.011,9
0.981,9
1.114,9
1.148,9
1.063,9
0.896,9
0.934,10
1.098,12
1.003,15
1.029,15
1.002,15
1.058,16
1.034,18
0.828,20
0.899,20
0.931,20
0.943,20
0.776,20
1.016,20
0.896,20
0.841,20
1.121,20
1.176,21
0.911,22
0.805,22
0.898,22
0.929,22
1.131,23
1.141,23
0.91,24
1.22,24
0.987,24
1.077,24
1.1,24
1.075,24
1.065,25
0.926,27
0.905,29
1.062,30
0.997,30
0.937,30
1.016,31
1.208,32
1.15,32
1.07,33
0.764,33
1.153,33
1.084,33
0.938,33
0.849,33
0.961,33
0.985,33
0.894,33
0.721,33
1.008,33
0.988,33
0.952,33
0.962,33
0.884,35
1.012,35
1.126,36
1.134,37
1.149,38
1.067,38
1.222,38
0.81,38
1.167,38
0.991,38
0.854,38
1.039,38
0.854,38
1.037,38
0.823,38
1.156,38
1.161,38
0.954,39
0.986,39
0.935,39
0.957,39
1.094,39
0.85,39
1.049,39
0.99,39
0.792,39
1.086,39
0.981,39
1.155,39
1.042,39
1.045,39
0.964,39
0.853,39
1.01,39
1.025,39
0.936,39
0.995,39
0.966,39
1.172,39
0.846,39
1.03,39
1.044,38
1.025,38
0.924,38
1.035,38
0.859,37
0.962,36
0.943,36
0.953,36
1.06,36
0.952,35
1.082,33
0.934,33
1.033,31
1.003,30
1.003,28
1.016,25
1.038,20
0.912,7
0.826,6
0.917,6
1.102,6
1.095,5
1.198,3
0.994,1
