"res","samp.depth"
0.811,1
0.995,1
0.951,1
1.02,1
0.942,1
0.935,1
0.825,2
1.103,2
0.979,4
0.906,5
0.954,5
1.096,6
1.066,7
1.077,7
0.996,7
0.946,8
1.009,9
0.99,9
0.964,9
1.055,9
0.979,9
0.978,9
0.975,9
0.91,10
0.912,10
0.813,10
0.888,10
0.834,10
0.681,10
0.964,10
0.832,10
1.155,11
1.225,11
0.92,12
0.772,13
1.11,13
1.078,14
1.154,15
1.232,15
0.915,16
1.126,16
1.026,17
1.127,18
1.097,18
0.99,19
1.013,19
0.863,20
1.074,21
0.955,21
0.933,21
0.922,21
0.911,21
1.06,21
1,21
1.134,21
0.842,21
1.013,22
1.126,22
0.944,22
0.904,23
0.88,23
1.064,23
0.886,23
0.792,23
1.122,23
0.94,23
0.882,23
0.932,24
0.864,24
0.857,24
1.179,24
1.131,24
1.162,24
0.937,24
1.249,24
0.888,24
1.124,24
1.02,24
0.865,24
1.032,24
0.878,24
1,24
0.792,24
1.083,24
1.211,24
0.969,24
1.058,24
0.931,24
1.003,24
1.014,24
0.985,24
1.051,24
1.021,24
0.71,24
1.142,24
0.959,24
0.884,24
1.064,24
1.067,24
0.951,24
0.879,24
1.075,24
1.074,24
0.891,24
1.059,24
1.007,24
1.207,24
0.77,24
0.947,24
1.235,24
1.027,24
0.833,24
0.917,23
0.931,23
1.008,23
0.999,23
1.075,23
1.014,23
1.017,23
0.883,23
0.989,23
0.976,22
1.026,22
1.015,20
0.945,19
0.988,14
0.812,2
1.067,1
1.002,1
0.944,1
0.943,1
0.9,1
