"res","samp.depth"
0.744,1
0.743,1
0.954,1
0.987,1
1.015,1
1.164,2
1.409,2
1.074,2
1.042,2
0.858,2
0.89,2
0.848,2
1.209,2
1.018,2
1.243,2
1.06,3
0.779,3
0.951,3
1.002,3
0.994,4
1.059,5
1.043,5
0.764,5
0.963,5
0.875,5
1.006,5
1.086,5
1.226,6
0.832,8
0.859,8
1.055,8
0.845,8
0.988,8
1.031,9
0.813,10
1.3,10
0.848,10
0.931,10
1.186,10
1.084,10
1.174,10
0.856,10
0.931,10
1.091,10
1.014,11
0.977,11
1.136,11
1.073,12
0.948,12
1.074,13
0.808,13
1.089,14
1.112,14
0.984,15
1.017,15
0.796,16
1.056,16
1.029,16
1.067,16
0.965,16
1,16
0.968,16
0.988,16
0.688,16
0.989,16
0.973,16
1.187,16
1.131,16
1.11,16
1.17,16
0.809,16
1.164,16
1.089,17
0.829,17
0.914,17
0.824,17
1.026,17
0.618,17
1.153,18
1.166,18
1.064,18
1.206,18
0.926,18
1.082,18
1.062,18
1.005,18
1.113,18
1.018,18
0.802,18
1.134,18
0.933,18
0.875,18
0.868,18
1.073,18
0.949,18
0.896,18
1.06,18
1.041,18
0.741,18
1.028,18
1.059,18
1.08,18
0.857,18
0.931,18
1.298,18
0.997,18
0.962,18
0.958,18
1.079,18
1.085,18
0.873,18
1.032,18
1.187,18
0.989,18
1.003,18
0.969,18
1.028,18
0.817,18
0.945,17
0.968,17
0.901,15
0.93,13
1.061,12
0.945,12
0.92,10
0.962,7
0.894,6
0.956,4
1.013,2
