"res","samp.depth"
1.038,1
0.75,3
1.109,3
1.026,3
0.963,3
1.034,3
0.92,3
1.071,3
0.839,3
1.05,3
0.957,4
0.779,4
1.165,4
1.011,5
0.967,5
1.016,5
0.897,7
1.125,7
0.936,7
0.982,7
1.185,7
1.016,7
1.096,7
1.05,8
0.865,9
0.999,9
0.932,10
0.912,12
1.046,12
0.981,12
1.02,13
1.082,13
1.278,13
1.049,13
1.283,13
1.029,13
0.933,13
0.922,13
1.052,13
0.878,13
0.961,13
1.071,14
0.756,14
1.218,14
0.998,14
0.946,15
0.974,16
1.077,17
1.003,17
0.939,18
0.941,18
0.925,19
1.011,19
0.832,21
0.793,21
1.112,21
0.963,22
0.995,23
1.175,23
1.114,24
0.966,26
0.849,26
1.043,27
1.025,27
1.043,29
1.091,32
0.99,34
0.896,36
0.959,40
1.198,41
0.845,41
0.969,43
0.995,43
1.043,46
0.989,47
0.936,48
1.073,49
0.925,50
0.811,50
0.983,51
0.973,53
1.161,53
1.096,54
0.973,54
1.065,55
1.005,58
1.087,58
0.896,60
1.103,61
1.169,63
0.972,63
0.916,64
0.996,65
0.79,65
0.985,65
0.844,65
0.873,65
0.902,65
1.064,65
1.029,65
0.99,65
1.085,65
1.109,65
1.103,65
1.088,65
0.914,67
1.041,67
1.007,67
0.783,67
0.948,67
0.973,67
1.06,67
1.028,67
1.024,67
1.136,68
1.083,68
1.084,68
1.041,68
0.863,68
1.03,68
1.054,68
0.955,69
0.82,69
1.032,69
0.988,69
1.015,69
1.039,69
0.879,69
0.962,69
0.988,69
1.003,69
1.061,68
1.061,67
1.112,66
1.077,66
0.886,66
0.963,64
0.978,64
1.053,63
0.918,57
0.871,57
0.912,39
0.973,38
0.942,34
0.978,29
0.986,22
0.912,20
0.957,14
1.032,5
