"res","samp.depth"
0.93,1
0.847,1
1.223,1
0.913,1
0.95,1
1.203,1
0.755,1
1.047,1
1.064,1
0.987,1
1.022,1
0.872,1
1.049,1
1.038,1
1.198,1
1.111,2
1.14,2
1.124,2
1.057,2
0.744,2
0.902,2
0.766,2
1.048,2
1.064,2
0.687,2
0.755,2
0.937,2
1.098,2
0.905,2
1.144,2
1.012,2
0.776,2
1.052,2
1.049,3
1.119,4
1.164,4
0.885,4
1.129,4
1.003,4
0.822,4
1.172,4
1.156,5
1.119,5
0.714,6
0.998,6
0.835,7
1.125,8
0.878,8
0.987,8
1.051,9
0.979,9
1.119,9
0.933,9
0.947,11
1.06,11
1.095,12
0.747,12
0.786,14
1.283,14
1.184,15
0.943,15
1.063,17
1.092,17
1.137,20
0.946,23
0.796,25
0.896,27
0.925,34
0.932,37
1.102,38
1.009,38
1.216,41
0.894,44
1.131,47
1.065,49
0.908,52
0.992,55
0.756,59
0.933,59
0.651,60
1.107,62
1.127,64
1.235,67
0.949,68
0.96,71
1.025,71
0.938,72
0.855,74
0.799,76
1.04,76
0.879,78
1.005,78
0.821,80
1.461,80
1.21,80
1.203,80
0.979,81
1.015,81
1.008,81
1.009,81
0.906,81
0.938,81
0.821,81
1.018,81
0.697,81
1.009,81
1.116,81
1.115,81
0.852,81
1.11,81
1.064,81
0.901,81
0.684,81
1.278,81
1.101,80
0.945,79
1.107,78
0.89,78
0.943,77
0.957,75
1.095,73
0.918,68
1.166,63
