"res","samp.depth"
0.945,1
0.742,1
1.14,1
0.806,1
0.804,3
1.114,5
1.062,7
0.957,9
1.256,10
1.043,14
0.857,14
1.168,14
0.902,15
1.015,16
1.107,19
0.93,22
1.078,23
0.827,24
0.746,24
0.765,27
0.816,27
0.786,28
0.937,29
1.323,30
1.138,31
1.102,31
1.056,31
0.997,32
1.204,32
1.097,32
1.026,32
1.167,33
0.961,34
0.9,34
0.971,34
0.566,34
1.245,34
1.196,34
0.937,35
1.034,35
0.924,35
1.05,35
0.955,35
0.936,35
0.889,35
1.108,35
0.91,35
0.972,35
0.729,35
1.087,36
1.033,36
1.101,36
1.11,36
0.955,36
1.069,36
0.896,36
0.922,36
1.192,36
0.932,36
1.113,36
1.006,36
0.807,36
0.864,36
0.833,36
1.207,36
1.071,36
1.155,36
0.875,36
0.645,36
1.344,36
0.945,36
1.006,36
0.986,36
1.068,35
1.026,34
0.882,32
0.954,31
0.931,30
1.08,30
0.9,2
0.926,1
0.933,1
0.819,1
1.527,1
1.129,1
1.11,1
