"res","samp.depth"
0.874,1
0.928,1
0.829,1
0.727,1
0.921,1
0.957,1
0.809,1
0.942,1
0.936,1
1.487,1
1.222,1
1.084,2
0.873,2
0.871,2
0.823,2
1.02,2
0.867,2
0.926,2
1.007,3
0.843,3
1.03,3
1.265,3
0.751,3
1.402,3
0.933,4
1.024,4
0.947,4
0.987,5
1.031,5
0.999,5
1.193,6
0.898,6
1.234,6
1.259,7
0.886,9
1.02,11
1.367,12
0.959,12
0.721,13
1.157,13
0.981,13
0.82,13
1.118,13
0.742,14
0.949,15
0.732,16
0.957,16
1.076,16
1.343,17
0.805,18
0.541,19
1.343,19
1.021,19
1.11,20
0.89,21
0.945,22
1.189,22
1.163,22
0.926,22
0.935,22
1.166,22
1.211,22
1.091,22
0.827,23
0.897,23
1.198,24
0.705,24
1.119,24
1.034,25
1.127,25
1.203,26
1.079,26
1.055,26
1.178,26
1.2,26
1.099,27
1.074,27
0.964,27
1.11,28
0.76,28
0.961,28
0.872,28
0.763,29
0.71,29
0.759,29
0.978,29
0.487,30
1.033,30
1.115,30
1.128,30
1.153,30
0.853,30
1.093,30
0.95,30
0.864,30
1.123,30
1.207,30
0.764,30
1.205,30
0.732,30
0.916,30
1.085,31
1.136,31
1.027,31
0.901,31
1.086,31
1.198,31
0.782,31
0.861,31
1.176,31
1.12,31
0.685,31
1.062,31
1.205,31
1.048,31
0.923,31
0.823,31
0.799,31
1.025,31
0.831,31
1.112,31
1.082,30
0.912,30
0.913,28
1.133,27
0.927,27
0.961,27
1.061,27
1.11,27
1.183,26
0.787,2
