"Year","MountP_QUVE"
1901,1.017
1902,1.037
1903,1.086
1904,1.029
1905,0.968
1906,1.099
1907,0.977
1908,1.101
1909,0.964
1910,0.952
1911,0.881
1912,0.997
1913,0.901
1914,0.891
1915,0.997
1916,1.058
1917,0.972
1918,0.871
1919,0.879
1920,0.981
1921,0.908
1922,1.008
1923,0.862
1924,1.171
1925,0.685
1926,0.868
1927,1.052
1928,0.946
1929,1.111
1930,0.961
1931,0.876
1932,0.875
1933,0.844
1934,1.019
1935,1.171
1936,1.011
1937,1.183
1938,1.096
1939,0.999
1940,1.163
1941,1.116
1942,1.071
1943,1.124
1944,0.802
1945,1.04
1946,1.022
1947,1.133
1948,1.012
1949,1.111
1950,1.073
1951,1.251
1952,1.013
1953,0.973
1954,0.609
1955,0.925
1956,0.903
1957,1.134
1958,1.16
1959,0.916
1960,1.054
1961,1.172
1962,1.055
1963,0.804
1964,0.979
1965,0.998
1966,0.727
1967,1.042
1968,1.158
1969,0.977
1970,1.01
1971,1.008
1972,0.738
1973,0.991
1974,1.102
1975,1.155
1976,0.719
1977,0.837
1978,1.159
1979,0.84
1980,1.099
1981,0.923
1982,1.18
1983,0.994
1984,0.873
1985,1.059
1986,1
1987,1.03
1988,0.945
1989,1.096
1990,1.019
1991,1.009
1992,1.019
1993,1.011
1994,0.914
1995,1.079
1996,1.039
1997,0.843
1998,1.064
1999,0.883
2000,1.039
2001,1.036
2002,0.914
2003,NA
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
