wood_type,refday,winopen,winclose,ref month,win open month,win close month
ring porous,147,57,55,4.9,3,3.066666667
ring porous,147,57,55,4.9,3,3.066666667
diffuse-porous,171,79,76,5.7,3.066666667,3.166666667
diffuse-porous,171,79,76,5.7,3.066666667,3.166666667
other,165,69,60,5.5,3.2,3.5
other,165,69,60,5.5,3.2,3.5
