"Year","OH_Heu_FAGR"
1901,0.704
1902,0.778
1903,1.276
1904,1.092
1905,0.923
1906,1.068
1907,1.036
1908,0.956
1909,0.835
1910,0.964
1911,0.908
1912,1.283
1913,1.088
1914,0.794
1915,1.429
1916,1.096
1917,0.947
1918,0.868
1919,0.971
1920,0.921
1921,0.775
1922,0.863
1923,0.968
1924,1.267
1925,0.839
1926,1.117
1927,1.12
1928,0.959
1929,0.951
1930,0.761
1931,0.685
1932,1.178
1933,0.881
1934,0.775
1935,1.312
1936,0.751
1937,0.807
1938,1.384
1939,1.157
1940,0.758
1941,1.031
1942,1.239
1943,1.124
1944,0.752
1945,0.992
1946,1.239
1947,1.255
1948,0.957
1949,0.823
1950,1.353
1951,1.155
1952,0.67
1953,0.926
1954,0.93
1955,1.358
1956,1.063
1957,1.137
1958,1.05
1959,1.053
1960,0.929
1961,0.904
1962,1.134
1963,0.798
1964,0.946
1965,0.904
1966,0.837
1967,0.919
1968,1.218
1969,1.209
1970,1.009
1971,1.002
1972,1.045
1973,0.951
1974,1.189
1975,0.952
1976,0.838
1977,0.764
1978,0.904
1979,1.009
1980,1.247
1981,0.894
1982,1.222
1983,0.887
1984,0.632
1985,1.308
1986,1.146
1987,0.699
1988,0.605
1989,0.817
1990,0.991
1991,1.251
1992,1.147
1993,1.264
1994,0.979
1995,1.249
1996,0.768
1997,1.019
1998,1.21
1999,1.204
2000,0.881
2001,1.369
2002,1.054
2003,1.106
2004,0.91
2005,1.101
2006,1.088
2007,0.743
2008,0.936
2009,0.842
2010,1.271
2011,0.646
2012,0.674
2013,1.123
2014,1.084
2015,0.887
2016,1.07
2017,NA
2018,NA
2019,NA
