"Year","AL_Sip_CAGL"
1901,1.147
1902,0.915
1903,1.194
1904,1.013
1905,0.73
1906,1.204
1907,1.109
1908,1.195
1909,1.194
1910,1.007
1911,0.826
1912,1.065
1913,1.027
1914,0.731
1915,0.911
1916,1.166
1917,1.162
1918,0.897
1919,1.118
1920,1.089
1921,0.995
1922,1.152
1923,1.041
1924,1
1925,0.846
1926,1.007
1927,0.698
1928,1.054
1929,1.377
1930,0.892
1931,0.833
1932,1.157
1933,1.091
1934,1.011
1935,1.052
1936,0.791
1937,1.02
1938,1.123
1939,1.094
1940,0.867
1941,0.776
1942,0.985
1943,0.821
1944,0.731
1945,1.348
1946,1.185
1947,1.075
1948,0.962
1949,0.711
1950,0.958
1951,1.284
1952,0.786
1953,0.712
1954,1.074
1955,0.916
1956,0.902
1957,0.971
1958,0.905
1959,0.81
1960,1.028
1961,1.07
1962,0.806
1963,0.966
1964,1.005
1965,1.002
1966,1.001
1967,1.155
1968,0.905
1969,0.951
1970,0.933
1971,1.118
1972,1.063
1973,1.166
1974,1.001
1975,1.05
1976,1.281
1977,0.69
1978,1.125
1979,0.964
1980,1.042
1981,1.024
1982,1.034
1983,1.041
1984,1.039
1985,0.994
1986,1.049
1987,0.913
1988,0.961
1989,1.041
1990,0.966
1991,0.863
1992,1.12
1993,0.981
1994,1.067
1995,1.012
1996,0.888
1997,1.113
1998,0.994
1999,1.063
2000,0.871
2001,1.018
2002,1.108
2003,0.962
2004,1.013
2005,1.054
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
