"Year","Winoos_QUMO"
1901,1.304
1902,1.263
1903,0.841
1904,1.038
1905,1.143
1906,1.187
1907,0.992
1908,0.8
1909,0.762
1910,0.998
1911,0.739
1912,0.869
1913,0.992
1914,0.783
1915,0.778
1916,0.887
1917,1.029
1918,1.15
1919,0.829
1920,1.01
1921,1.025
1922,1.093
1923,0.863
1924,0.835
1925,1.189
1926,0.948
1927,0.889
1928,1.037
1929,1.04
1930,1.041
1931,1.059
1932,1.308
1933,0.577
1934,0.901
1935,1.079
1936,0.814
1937,1.131
1938,0.843
1939,1.261
1940,1.101
1941,0.712
1942,1.174
1943,1.132
1944,1.049
1945,0.874
1946,0.778
1947,1.137
1948,0.901
1949,0.594
1950,0.813
1951,1.364
1952,0.991
1953,0.854
1954,0.894
1955,0.956
1956,0.965
1957,1.113
1958,1.229
1959,0.83
1960,0.953
1961,1.134
1962,0.957
1963,0.701
1964,1.348
1965,0.972
1966,1.021
1967,1.241
1968,1.089
1969,1.042
1970,1.224
1971,1.025
1972,1.333
1973,1.208
1974,1.111
1975,0.907
1976,1.156
1977,0.641
1978,0.642
1979,0.805
1980,0.975
1981,0.96
1982,0.682
1983,0.773
1984,0.993
1985,1.211
1986,1.031
1987,1.209
1988,0.978
1989,1.125
1990,1.061
1991,0.757
1992,0.84
1993,0.997
1994,1.123
1995,0.892
1996,1.205
1997,0.963
1998,1.412
1999,0.975
2000,1.007
2001,0.799
2002,1.102
2003,0.824
2004,NA
2005,NA
2006,NA
2007,NA
2008,NA
2009,NA
2010,NA
2011,NA
2012,NA
2013,NA
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
