"res","samp.depth"
1.264,1
0.989,1
1.011,1
1.212,1
0.969,1
0.946,1
0.927,1
1.083,1
0.768,1
1.068,1
1.078,1
1.129,1
0.95,1
1.038,1
0.885,1
0.998,1
1.071,1
1.196,1
1.011,1
0.682,1
0.797,1
1.183,1
1.01,1
0.958,1
0.796,1
0.734,1
1.107,1
0.85,1
1.01,1
0.981,1
0.904,1
1.062,1
0.824,1
1.068,1
1.008,1
0.962,1
1.057,1
1.223,1
1.095,1
1.036,1
0.954,1
0.881,1
1.126,1
1.035,1
0.979,1
0.849,1
0.808,1
1.043,1
0.996,1
0.835,1
0.83,1
1.151,1
0.889,1
1.223,2
0.63,2
0.894,2
1.075,2
0.98,2
0.846,2
0.992,2
0.911,2
0.939,2
0.953,2
0.996,2
1.066,2
1.036,2
0.804,2
0.974,2
0.972,2
1.008,2
0.837,2
0.946,3
0.958,3
0.905,3
0.903,3
1.077,3
1.06,3
1.45,3
1.476,3
0.872,3
1.073,3
1.004,3
1.08,3
0.964,3
1.081,3
1.013,3
1.329,3
0.926,3
1.039,3
1.03,3
0.889,3
0.901,3
1.123,3
1.123,4
0.751,4
1.131,4
0.877,4
0.826,4
1.012,5
1.105,5
0.909,6
1.229,6
0.881,6
0.951,7
0.996,8
1.105,10
1.004,10
1.076,10
0.906,10
1.142,10
0.924,10
0.982,10
1.086,10
1.069,11
1.246,11
1.001,12
0.928,13
0.963,14
1.059,14
1.172,15
0.976,15
0.874,16
0.858,17
1.007,19
1.111,19
0.86,19
1.18,21
1.007,22
0.944,22
0.989,23
0.859,23
0.824,23
0.945,23
0.933,24
0.665,24
1.001,24
0.983,24
0.845,24
1.248,25
1.206,27
1.075,28
0.777,28
1.121,30
0.959,30
1.017,30
1.142,32
0.829,32
1.219,34
0.833,36
1.223,36
1.155,37
0.973,37
0.952,37
0.945,41
1.032,41
0.925,43
1.048,44
1.01,45
0.98,46
1.006,48
1.171,48
1.029,51
0.859,52
1.139,53
0.991,53
1.08,53
0.856,55
0.923,55
1.101,56
0.852,56
0.519,56
0.875,57
0.989,58
1.018,58
0.937,58
0.884,59
0.941,60
1.072,60
1.179,61
1.214,61
1.113,62
1.283,63
0.869,65
1.026,65
1.072,65
0.907,65
0.948,66
1.089,66
0.972,66
0.969,66
1.091,66
1.141,66
0.997,66
1.091,66
0.952,66
0.94,67
0.95,67
0.942,67
0.932,67
0.946,67
0.596,67
1.2,67
0.881,67
0.833,67
0.991,67
1.1,67
1.148,67
0.834,67
0.978,67
1.153,67
0.932,67
1.131,67
1.066,67
1.127,67
0.756,67
1.02,67
1.051,67
1.02,67
1.106,67
0.83,67
0.924,67
1.107,67
0.84,67
1.065,67
1.187,67
0.944,67
1.058,64
0.822,63
1.048,63
0.844,61
0.965,59
1.055,59
1.112,59
1.134,12
1.201,10
0.946,9
0.9,7
0.975,7
0.913,6
0.777,5
1.066,1
