"Year","IL_Bea_FRAM"
1901,0.929
1902,0.971
1903,1.198
1904,1.23
1905,1.073
1906,1.074
1907,1.272
1908,1.13
1909,1.031
1910,0.743
1911,0.841
1912,1.098
1913,1.07
1914,0.838
1915,1.252
1916,1.146
1917,1.083
1918,0.932
1919,0.944
1920,1.212
1921,0.859
1922,1.005
1923,1.066
1924,1.192
1925,0.813
1926,0.859
1927,1.362
1928,1.069
1929,1.054
1930,0.898
1931,0.856
1932,0.981
1933,1.031
1934,0.78
1935,1.124
1936,0.744
1937,0.791
1938,1.145
1939,1.029
1940,0.812
1941,0.801
1942,0.97
1943,1.112
1944,0.828
1945,0.952
1946,1.022
1947,1.17
1948,0.929
1949,1.006
1950,1.048
1951,1.157
1952,1.039
1953,0.991
1954,0.735
1955,0.947
1956,0.899
1957,0.962
1958,1.134
1959,1.039
1960,1.12
1961,0.903
1962,0.801
1963,0.816
1964,0.839
1965,0.869
1966,0.911
1967,0.86
1968,0.866
1969,1.098
1970,0.998
1971,0.996
1972,0.959
1973,1.221
1974,1.151
1975,0.945
1976,1.036
1977,1.048
1978,0.819
1979,1.004
1980,1.346
1981,1.015
1982,1.127
1983,0.936
1984,0.853
1985,1.045
1986,0.984
1987,0.864
1988,0.804
1989,1.373
1990,1.092
1991,0.797
1992,1.006
1993,1.104
1994,1.102
1995,1.182
1996,0.919
1997,0.921
1998,1.084
1999,1.141
2000,0.966
2001,0.956
2002,1.144
2003,1.056
2004,1.052
2005,0.942
2006,1.209
2007,0.795
2008,0.92
2009,1.079
2010,0.867
2011,1.145
2012,0.619
2013,1.103
2014,0.999
2015,0.855
2016,1.143
2017,0.766
2018,NA
2019,NA
