"wood_type","percs","refwoy","refmonth","refday","winopenwoy","winclosewoy","bestmodel_beta","median_windowopendate","median_windowclosedate"
"ring-porous",0.25,18,"05","07",1,1,-1.59210749861253,"2011-04-02","2011-05-07"
"ring-porous",0.5,22,"06","02",8,1,-4.31986951715501,"2011-04-09","2011-05-28"
"ring-porous",0.75,26,"06","29",11,5,-4.66064127005262,"2011-04-16","2011-05-28"
"diffuse-porous",0.25,22,"06","04",11,0,-4.9683180862617,"2011-04-02","2011-05-17"
"diffuse-porous",0.5,25,"06","22",9,6,-3.89297826082204,"2011-04-09","2011-06-18"
"diffuse-porous",0.75,27,"07","09",14,4,-6.66428698260722,"2011-04-05","2011-06-18"
