"wood_type","percs","refwoy","refmonth","refday","winopenwoy","winclosewoy","bestmodel_beta","median_windowopendate","median_windowclosedate"
"ring-porous",0.25,17,"05","01",6,4,-1.86038749438955,"2011-03-15","2011-04-02"
"ring-porous",0.5,22,"06","01",10,1,-3.37295317954343,"2011-03-22","2011-05-28"
"ring-porous",0.75,26,"07","01",20,20,-1.15400980393853,"2011-04-09","2011-05-21"
"diffuse-porous",0.25,22,"06","04",11,0,-4.65272157921689,"2011-03-19","2011-05-21"
"diffuse-porous",0.5,25,"06","22",11,0,-6.30485835335525,"2011-04-09","2011-06-18"
"diffuse-porous",0.75,27,"07","10",14,4,-6.96432733338764,"2011-04-05","2011-06-18"
