"wood_type","percs","refwoy","refmonth","refday","winopenwoy","winclosewoy","bestmodel_beta","median_windowopendate","median_windowclosedate"
"ring-porous",0.25,18,"05","08",7,7,-1.06891319066347,"2011-03-12","2011-03-19"
"ring-porous",0.5,22,"06","05",13,2,-1.94846266879679,"2011-03-05","2011-05-21"
"ring-porous",0.75,26,"07","05",7,6,-1.54020388372816,"2011-04-23","2011-05-28"
"diffuse-porous",0.25,22,"06","05",11,1,-3.43177298397428,"2011-03-19","2011-05-24"
"diffuse-porous",0.5,25,"06","22",13,2,-4.78489899776905,"2011-03-26","2011-06-07"
"diffuse-porous",0.75,27,"07","09",14,1,-6.52089659070705,"2011-04-02","2011-06-25"
