"wood_type","percs","refwoy","refmonth","refday","winopenwoy","winclosewoy","bestmodel_beta","median_windowopendate","median_windowclosedate"
"ring-porous",0.25,18,"05","05",4,4,-2.01912206232995,"2011-04-09","2011-04-09"
"ring-porous",0.5,22,"06","01",8,1,-3.88103473459912,"2011-04-09","2011-05-28"
"ring-porous",0.75,26,"06","29",1,0,-5.66108410774464,"2011-05-21","2011-06-14"
"diffuse-porous",0.25,22,"06","04",15,2,-3.88474668647229,"2011-02-12","2011-05-21"
"diffuse-porous",0.5,24,"06","21",13,1,-5.35356387794869,"2011-03-19","2011-06-04"
"diffuse-porous",0.75,27,"07","09",14,1,-8.16195889692861,"2011-04-09","2011-06-25"
