field_site_id,field_latitude,field_longitude,field_utm_easting,field_utm_northing,field_utm_zone,centroid_lat,centroid_lon,target
BART,44.063889,-71.287375,316812.1595,4881511.552,19N,,,0
HARV,42.53691,-72.17265,732183.1938,4713265.041,18N,42.54,-72.18,1
SCBI,38.892925,-78.139494,748090.6473,4308784.078,17N,38.89,-78.15,1
SERC,38.890131,-76.560014,364703.6624,4305735.3,18N,,,0
JERC,31.194839,-84.468623,741205.7224,3453956.371,16N,,,0
OSBS,29.689282,-81.993431,403886.418,3284767.489,17N,,,0
GUAN,17.96955,-66.8687,725706.1285,1988112.213,19N,,,0
STEI,45.50894,-89.58637,297968.6864,5042743.852,16N,,,0
TREE,45.49369,-89.58571,297965.3164,5041047.894,16N,,,0
UNDE,46.23391,-89.537254,304366.9502,5123162.886,16N,,,0
UKFS,39.040431,-95.19215,310276.2976,4323549.848,15N,,,0
GRSM,35.68896,-83.50195,273599.8765,3952335.289,17N,,,0
MLBS,37.378314,-80.524847,542067.64,4136943.44,17N,,,0
ORNL,35.964128,-84.282588,745052.4354,3983383.087,16N,,,0
DELA,32.541727,-87.803877,389258.9837,3524154.818,16N,,,0
LENO,31.853861,-88.161181,390139.6172,3524827.167,16N,,,0
TALL,32.95047,-87.393259,463241.7192,3645863.573,16N,,,0
CLBJ,33.40123,-97.57,632982.2183,3696682.441,14N,,,0
YELL,44.95348,-110.53914,536352.1992,4977885.935,12N,,,0
WREF,45.82049,-121.95191,581417.8024,5074636.87,10N,,,0
SJER,37.10878,-119.73228,257213.9752,4110433.937,11N,,,0
SOAP,37.03337,-119.26219,298792.741,4100967.253,11N,,,0
TEAK,37.00583,-119.00602,321515.7352,4097400.183,11N,,,0
BONA,65.15401,-147.50258,476436.7395,7225712.648,6N,,,0
DEJU,63.88112,-145.75136,561330.0608,7084367.216,6N,,,0
