date,lat,lon,pointid,Nadir_Reflectance_Band1,Nadir_Reflectance_Band2,BRDF_Albedo_Band_Mandatory_Quality_Band1,BRDF_Albedo_Band_Mandatory_Quality_Band2,EVI2
2000-02-27,-78.139494,38.8929252624512,SCBI,678,1572,0,0,0.16932844414813
2000-02-28,-78.139494,38.8929252624512,SCBI,675,1566,0,0,0.16892916729865
2000-02-29,-78.139494,38.8929252624512,SCBI,674,1556,0,0,0.167380214975405
2000-03-01,-78.139494,38.8929252624512,SCBI,684,1564,0,0,0.166595989580178
2000-03-02,-78.139494,38.8929252624512,SCBI,686,1569,0,0,0.167039968521573
2000-03-03,-78.139494,38.8929252624512,SCBI,688,1573,0,0,0.167306907034074
2000-03-04,-78.139494,38.8929252624512,SCBI,690,1577,0,0,0.167573490516134
2000-03-05,-78.139494,38.8929252624512,SCBI,691,1580,0,0,0.16788282571912
2000-03-06,-78.139494,38.8929252624512,SCBI,693,1585,0,0,0.168324753551426
2000-03-07,-78.139494,38.8929252624512,SCBI,695,1584,0,0,0.16771053425898
2000-03-08,-78.139494,38.8929252624512,SCBI,706,1593,0,0,0.166887427186658
2000-03-09,-78.139494,38.8929252624512,SCBI,700,1578,0,0,0.165560416352391
2000-03-10,-78.139494,38.8929252624512,SCBI,701,1582,0,0,0.166045957600796
2000-03-11,-78.139494,38.8929252624512,SCBI,697,1576,0,0,0.165864078256144
2000-03-30,-78.139494,38.8929252624512,SCBI,742,1777,0,0,0.190849547861747
2000-03-31,-78.139494,38.8929252624512,SCBI,778,1889,0,0,0.201908957415565
2000-04-01,-78.139494,38.8929252624512,SCBI,782,1900,0,0,0.202877300969746
2000-04-02,-78.139494,38.8929252624512,SCBI,809,1987,0,0,0.211435463722126
2000-04-03,-78.139494,38.8929252624512,SCBI,815,1992,0,0,0.21096214511041
2000-04-04,-78.139494,38.8929252624512,SCBI,841,2073,0,0,0.218573030358942
2000-04-05,-78.139494,38.8929252624512,SCBI,846,2084,0,0,0.219279600974891
2000-04-06,-78.139494,38.8929252624512,SCBI,851,2095,0,0,0.21998387256497
2000-04-07,-78.139494,38.8929252624512,SCBI,859,2128,0,0,0.223579241134352
2000-04-08,-78.139494,38.8929252624512,SCBI,864,2137,0,0,0.223952542468298
2000-04-09,-78.139494,38.8929252624512,SCBI,829,2237,0,0,0.247423839849296
2000-04-12,-78.139494,38.8929252624512,SCBI,841,2242,0,0,0.245610221312165
2000-04-13,-78.139494,38.8929252624512,SCBI,843,2250,0,0,0.246440882212818
2000-05-02,-78.139494,38.8929252624512,SCBI,427,2902,0,0,0.444287273458368
2000-05-03,-78.139494,38.8929252624512,SCBI,426,2918,0,0,0.446902527904508
2000-05-04,-78.139494,38.8929252624512,SCBI,399,3088,0,0,0.478619638890471
2000-05-05,-78.139494,38.8929252624512,SCBI,396,3107,0,0,0.48213040818359
2000-05-06,-78.139494,38.8929252624512,SCBI,394,3125,0,0,0.485231617699316
2000-05-07,-78.139494,38.8929252624512,SCBI,392,3144,0,0,0.488469839827332
2000-05-08,-78.139494,38.8929252624512,SCBI,382,3216,0,0,0.501316087399525
2000-05-09,-78.139494,38.8929252624512,SCBI,370,3136,0,0,0.493083285795779
2000-05-10,-78.139494,38.8929252624512,SCBI,371,3138,0,0,0.493106840409455
2000-05-11,-78.139494,38.8929252624512,SCBI,328,3303,0,0,0.527849143376248
2000-07-02,-78.139494,38.8929252624512,SCBI,211,4221,0,0,0.680703993916102
2000-07-03,-78.139494,38.8929252624512,SCBI,211,4218,0,0,0.680333324278069
2000-07-04,-78.139494,38.8929252624512,SCBI,211,4214,0,0,0.679838863074373
2000-07-05,-78.139494,38.8929252624512,SCBI,211,4210,0,0,0.679344133076024
2000-07-06,-78.139494,38.8929252624512,SCBI,210,4206,0,0,0.67912984364378
2000-07-07,-78.139494,38.8929252624512,SCBI,210,4202,0,0,0.678634570923433
2000-07-08,-78.139494,38.8929252624512,SCBI,209,4198,0,0,0.678419820947509
2000-09-22,-78.139494,38.8929252624512,SCBI,160,2810,0,0,0.502122176747006
2000-09-23,-78.139494,38.8929252624512,SCBI,159,2816,0,0,0.503311208098442
2000-09-24,-78.139494,38.8929252624512,SCBI,159,2810,0,0,0.502403044361563
2000-09-25,-78.139494,38.8929252624512,SCBI,171,2833,0,0,0.502514460032922
2000-09-26,-78.139494,38.8929252624512,SCBI,168,2834,0,0,0.503505273018463
2000-09-27,-78.139494,38.8929252624512,SCBI,168,2826,0,0,0.502297946965803
2000-09-28,-78.139494,38.8929252624512,SCBI,168,2819,0,0,0.501240338219056
2000-09-29,-78.139494,38.8929252624512,SCBI,169,2819,0,0,0.50096033150341
2000-10-04,-78.139494,38.8929252624512,SCBI,183,2781,0,0,0.491293626420175
2000-10-05,-78.139494,38.8929252624512,SCBI,188,2765,0,0,0.48746992327598
2000-10-06,-78.139494,38.8929252624512,SCBI,193,2728,0,0,0.480433925647401
2000-10-07,-78.139494,38.8929252624512,SCBI,225,2744,0,0,0.474066546221018
2000-10-08,-78.139494,38.8929252624512,SCBI,226,2731,0,0,0.471808278210557
2000-10-09,-78.139494,38.8929252624512,SCBI,252,2720,0,0,0.463046349663785
2000-10-10,-78.139494,38.8929252624512,SCBI,253,2709,0,0,0.46109250386747
2000-10-12,-78.139494,38.8929252624512,SCBI,282,2647,0,0,0.44375478467104
2000-10-13,-78.139494,38.8929252624512,SCBI,312,2559,0,0,0.422120861449676
2000-10-14,-78.139494,38.8929252624512,SCBI,328,2518,0,0,0.411493250759102
2000-10-15,-78.139494,38.8929252624512,SCBI,326,2510,0,0,0.410761036381692
2000-10-16,-78.139494,38.8929252624512,SCBI,352,2429,0,0,0.391184137172475
2000-10-17,-78.139494,38.8929252624512,SCBI,340,2460,0,0,0.399216631515517
2000-10-18,-78.139494,38.8929252624512,SCBI,340,2447,0,0,0.397157505843324
2000-10-19,-78.139494,38.8929252624512,SCBI,336,2467,0,0,0.401366643060557
2000-10-20,-78.139494,38.8929252624512,SCBI,416,2346,0,0,0.361574892838944
2000-10-21,-78.139494,38.8929252624512,SCBI,421,2331,0,0,0.357908465378446
2000-10-22,-78.139494,38.8929252624512,SCBI,442,2298,0,0,0.347336587118603
2000-10-23,-78.139494,38.8929252624512,SCBI,476,2077,0,0,0.302774709896062
2000-10-24,-78.139494,38.8929252624512,SCBI,478,2129,0,0,0.310894683719739
2000-10-25,-78.139494,38.8929252624512,SCBI,482,2069,0,0,0.299981853649685
2000-10-26,-78.139494,38.8929252624512,SCBI,471,2106,0,0,0.308807530748542
2000-10-27,-78.139494,38.8929252624512,SCBI,471,2098,0,0,0.307482386380817
2000-10-28,-78.139494,38.8929252624512,SCBI,471,2077,0,0,0.303996244529582
2000-10-29,-78.139494,38.8929252624512,SCBI,478,2054,0,0,0.298457715965215
2000-10-30,-78.139494,38.8929252624512,SCBI,488,2001,0,0,0.287157802037625
2000-10-31,-78.139494,38.8929252624512,SCBI,489,1977,0,0,0.282876826912841
2000-11-01,-78.139494,38.8929252624512,SCBI,507,1924,0,0,0.269580238646049
2000-11-02,-78.139494,38.8929252624512,SCBI,507,1918,0,0,0.268561378932302
2000-11-03,-78.139494,38.8929252624512,SCBI,530,1904,0,0,0.260701275045537
2000-11-04,-78.139494,38.8929252624512,SCBI,530,1899,0,0,0.259851188216536
2000-11-05,-78.139494,38.8929252624512,SCBI,518,1845,0,0,0.25347259363396
2000-11-06,-78.139494,38.8929252624512,SCBI,518,1840,0,0,0.252614039378745
2000-11-07,-78.139494,38.8929252624512,SCBI,518,1799,0,0,0.245549063808253
2000-11-25,-78.139494,38.8929252624512,SCBI,472,1256,0,0,0.158207413147359
2000-11-26,-78.139494,38.8929252624512,SCBI,410,1059,0,0,0.134725566719256
2000-11-27,-78.139494,38.8929252624512,SCBI,389,1023,0,0,0.13256276868006
2001-02-22,-78.139494,38.8929252624512,SCBI,668,1541,0,0,0.166042817364313
2001-02-25,-78.139494,38.8929252624512,SCBI,679,1566,0,0,0.168048440389221
2001-03-05,-78.139494,38.8929252624512,SCBI,700,1613,0,0,0.171706913413075
2001-03-06,-78.139494,38.8929252624512,SCBI,701,1618,0,0,0.172363237195874
2001-03-07,-78.139494,38.8929252624512,SCBI,701,1599,0,0,0.16903338503471
2001-03-12,-78.139494,38.8929252624512,SCBI,699,1614,0,0,0.172101176683018
2001-03-13,-78.139494,38.8929252624512,SCBI,702,1620,0,0,0.172494137454152
2001-03-14,-78.139494,38.8929252624512,SCBI,704,1627,0,0,0.173279966357779
2001-03-15,-78.139494,38.8929252624512,SCBI,707,1635,0,0,0.174020012301415
2001-03-16,-78.139494,38.8929252624512,SCBI,711,1643,0,0,0.174539679685978
2001-03-18,-78.139494,38.8929252624512,SCBI,702,1635,0,0,0.1751152419706
2001-03-19,-78.139494,38.8929252624512,SCBI,713,1641,0,0,0.173754137894879
2001-03-20,-78.139494,38.8929252624512,SCBI,715,1646,0,0,0.174187995809011
2001-03-21,-78.139494,38.8929252624512,SCBI,718,1650,0,0,0.174229055125176
2001-03-22,-78.139494,38.8929252624512,SCBI,720,1655,0,0,0.174661884480311
2001-05-04,-78.139494,38.8929252624512,SCBI,409,3168,0,0,0.487469610448352
