"Year","IN_Gin_LITU"
1901,0.989
1902,1.121
1903,0.976
1904,0.875
1905,1.219
1906,1.074
1907,1.064
1908,0.944
1909,0.955
1910,0.769
1911,0.824
1912,1.275
1913,1.066
1914,0.561
1915,1.381
1916,1.146
1917,0.834
1918,0.785
1919,0.971
1920,0.93
1921,0.817
1922,0.866
1923,0.994
1924,1.062
1925,1.039
1926,1.474
1927,1.084
1928,1.235
1929,1.061
1930,0.794
1931,0.913
1932,1.059
1933,0.549
1934,0.561
1935,0.942
1936,0.543
1937,0.927
1938,1.347
1939,0.959
1940,0.604
1941,0.87
1942,1.317
1943,1.222
1944,0.62
1945,1.196
1946,1.195
1947,1.19
1948,1.069
1949,1.21
1950,1.061
1951,1.154
1952,0.764
1953,1.141
1954,0.513
1955,1.353
1956,1.004
1957,1.296
1958,1.404
1959,0.755
1960,1.275
1961,1.147
1962,1.202
1963,1.129
1964,0.694
1965,0.473
1966,0.494
1967,0.508
1968,1.123
1969,1.213
1970,1.224
1971,0.771
1972,1.076
1973,1.445
1974,0.685
1975,1.191
1976,0.998
1977,0.407
1978,1.016
1979,1.157
1980,1.644
1981,1.202
1982,0.98
1983,0.691
1984,0.596
1985,1.17
1986,1.158
1987,0.916
1988,0.403
1989,1.076
1990,1.455
1991,0.996
1992,1.137
1993,1.197
1994,0.8
1995,0.895
1996,0.697
1997,0.735
1998,1.638
1999,0.969
2000,1.077
2001,1.356
2002,0.667
2003,1.376
2004,1.264
2005,0.638
2006,1.023
2007,0.574
2008,1.157
2009,0.732
2010,1.374
2011,0.838
2012,0.554
2013,1.161
2014,0.953
2015,1.432
2016,0.687
2017,NA
2018,NA
2019,NA
