"Year","PM1_BEAL"
1901,1.039
1902,1.146
1903,0.949
1904,1.155
1905,0.888
1906,1.144
1907,0.865
1908,1.137
1909,0.841
1910,1.012
1911,0.986
1912,1.089
1913,0.9
1914,1.193
1915,1.002
1916,1.036
1917,1.015
1918,0.996
1919,1.034
1920,1.127
1921,0.984
1922,1.007
1923,0.712
1924,1.005
1925,0.843
1926,1.02
1927,1.155
1928,1.011
1929,0.947
1930,0.95
1931,1.069
1932,1.014
1933,0.841
1934,0.799
1935,1.044
1936,0.991
1937,1.078
1938,1.083
1939,0.904
1940,0.944
1941,0.954
1942,0.888
1943,0.833
1944,0.939
1945,0.967
1946,1.059
1947,1.094
1948,0.9
1949,0.893
1950,1.063
1951,1.189
1952,1.026
1953,1.011
1954,0.99
1955,1.183
1956,1.041
1957,0.884
1958,1.101
1959,0.855
1960,0.742
1961,1.073
1962,0.81
1963,1.092
1964,1.013
1965,0.84
1966,1.03
1967,1.063
1968,1.123
1969,1.094
1970,0.963
1971,1.122
1972,1.241
1973,0.894
1974,0.954
1975,1.183
1976,1.002
1977,1.097
1978,1.082
1979,1.026
1980,0.942
1981,0.788
1982,1.255
1983,0.907
1984,0.733
1985,1.188
1986,0.912
1987,0.827
1988,1.082
1989,0.738
1990,1.086
1991,0.936
1992,0.98
1993,1.063
1994,1.077
1995,1.075
1996,0.961
1997,0.876
1998,0.81
1999,0.846
2000,1.008
2001,1.077
2002,0.976
2003,1.096
2004,1.084
2005,1.087
2006,0.856
2007,1.043
2008,0.992
2009,1.185
2010,0.994
2011,0.889
2012,1.082
2013,0.788
2014,NA
2015,NA
2016,NA
2017,NA
2018,NA
2019,NA
