"wood_type","refdoy","refmonth","refday","winopendoy","winclosedoy","bestmodel_beta","median_windowopendate","median_windowclosedate"
"ring porous",21,"05","28",9,9,0.123789406405318,"2011-03-26","2011-03-26"
"diffuse-porous",24,"06","21",18,0,-0.236969919648334,"2011-02-19","2011-05-14"
"other",24,"06","15",16,12,0.643691845981622,"2011-03-05","2011-04-05"
