"wood_type","percs","refwoy","refmonth","refday","winopenwoy","winclosewoy","bestmodel_beta","median_windowopendate","median_windowclosedate"
"ring porous",0.25,16,"04","24",5,4,-3.02944631401966,"2011-03-19","2011-04-02"
"ring porous",0.5,21,"05","28",10,7,-4.23627616138236,"2011-03-19","2011-04-09"
"ring porous",0.75,26,"07","01",4,0,-6.60964431566951,"2011-05-10","2011-06-04"
"diffuse-porous",0.25,22,"06","03",6,4,-1.6852796585308,"2011-02-26","2011-04-30"
"diffuse-porous",0.5,24,"06","21",5,2,-2.912715654142,"2011-03-12","2011-05-14"
"diffuse-porous",0.75,27,"07","10",8,5,-4.11084016457102,"2011-04-02","2011-06-11"
"other",0.25,21,"05","27",7,3,-12.270254058843,"2011-03-12","2011-04-30"
"other",0.5,24,"06","15",12,4,-10.8682758850754,"2011-03-19","2011-05-21"
"other",0.75,26,"07","04",13,7,-11.4231961988462,"2011-04-02","2011-06-04"
